,aba,agepr,aise,amr,ancons,cataeu,chaufp,cs42cj,cs42pr,decile,decuc,dip14cj,dip14pr,htl,ident_men,mchof,mchof_d,mfac_eau1_d,mfac_eg1_d,mloy_d,nactifs,nbh1,nbphab,nenfants,ocde10,pondmen,poste_coicop_451,poste_coicop_4511,poste_coicop_452,poste_coicop_453,revtot,situacj,situapr,surfhab_d,tau,tuu,typmen,zeat,part_energies_revtot
12,2,60.0,4,0.0,5,111,1,77,78,2,2.0,71,71,2,10011,,,,,290.0,0.0,1.0,4.0,0.0,1.5,6186.465363226179,600.0,0.0,0.0,0.0,16390.0,7,5,78.0,6,5.0,3,7,0.036607687614399025
13,1,54.0,4,164.0,2,111,2,0,56,1,1.0,0,20,2,10014,,,212.0,,296.0,1.0,1.0,3.0,1.0,1.5,3134.0711940583674,500.0,1200.0,790.0,0.0,4603.0,0,4,40.0,7,6.0,2,7,0.2802520095589833
14,2,77.0,3,0.0,4,111,1,0,77,2,4.0,0,71,8,10016,,,,,237.0,0.0,9.0,4.0,0.0,1.0,3884.466618495088,216.0,0.0,192.0,0.0,16106.0,0,5,60.0,7,6.0,1,2,0.025332174344964608
15,2,64.0,2,0.0,5,112,4,74,75,7,8.0,70,70,1,10017,,,180.0,,,0.0,2.0,4.0,0.0,1.5,1682.583381047865,1385.0,0.0,0.0,0.0,37148.0,5,5,71.0,10,0.0,3,2,0.03728329923549047
16,2,58.0,3,0.0,5,112,2,0,78,8,9.0,0,50,1,10018,,,258.0,,,1.0,1.0,4.0,1.0,1.5,2244.3244404912575,560.0,1327.0,836.0,0.0,46604.0,0,5,98.0,7,1.0,2,7,0.029954510342459873
17,2,73.0,3,0.0,1,221,5,0,77,2,3.0,0,70,2,10019,,,,,201.0,0.0,2.0,2.0,0.0,1.0,2292.4776815900336,930.0,0.0,0.0,0.0,14226.0,0,5,50.0,1,3.0,1,7,0.065373260227752
18,2,34.0,1,0.0,5,111,4,0,34,9,10.0,0,10,2,1002,,,119.0,,,1.0,0.0,2.0,0.0,1.0,1971.793488671841,470.0,0.0,0.0,0.0,53695.0,0,1,45.0,8,6.0,1,5,0.008753142750721669
19,2,40.0,2,0.0,8,111,1,67,45,8,6.0,50,31,1,10020,,,225.0,,,2.0,0.0,5.0,2.0,2.3,2529.3678696450543,457.0,0.0,693.0,0.0,47272.0,1,1,110.0,7,6.0,4,7,0.024327297343036045
20,2,22.0,2,0.0,7,111,4,0,46,4,7.0,0,50,2,10021,,,,,445.0,1.0,0.0,1.0,0.0,1.0,3672.7274431704373,430.0,0.0,0.0,0.0,21830.0,0,1,18.0,9,7.0,1,8,0.019697663765460376
21,2,67.0,3,0.0,99,111,2,78,77,9,8.0,70,70,2,10022,,,,,,1.0,2.0,5.0,0.0,2.0,1918.1117686787602,310.0,0.0,330.0,0.0,53490.0,5,5,90.0,8,7.0,5,5,0.011964853243596934
22,2,62.0,2,0.0,7,111,5,71,77,4,4.0,71,60,1,10025,,,,,,0.0,1.0,4.0,0.0,1.5,3507.8951889101977,770.0,0.0,0.0,0.0,22532.0,5,5,125.0,9,7.0,3,7,0.034173619740813066
23,2,35.0,1,0.0,5,111,1,37,37,10,10.0,12,31,2,10027,,,,,,2.0,0.0,4.0,1.0,1.8,4131.035496796082,350.0,0.0,0.0,0.0,183051.0,1,1,72.0,10,8.0,4,1,0.0019120354436741674
24,2,49.0,3,0.0,7,112,2,56,62,7,4.0,71,71,1,10028,,,470.0,,,3.0,1.0,5.0,2.0,2.5,3152.524227620716,1300.0,0.0,0.0,0.0,39812.0,1,1,100.0,7,0.0,4,7,0.03265347131518135
25,2,45.0,2,0.0,7,112,4,48,48,10,8.0,42,71,1,10029,,,337.0,,,2.0,0.0,5.0,2.0,2.5,2277.880171966629,1177.0,47.0,0.0,0.0,65199.0,1,1,100.0,10,1.0,4,2,0.01805242411693431
