,aba,agepr,amr,ancons,cataeu,coml13,coml3,cs42cj,cs42pr,dip14pr,gchauf_1,gchauf_2,gchauf_3,gchauf_4,gchauf_5,gchauf_6,gchauf_7,gchaufs_1,gchaufs_2,gchaufs_3,gchaufs_4,gchaufs_5,gmoy1,gmur,gtoit2,gtt1,gvit1,gvit1b,htl,iaat,idlog,mchof_d,mdiplo,mdiploc,mfac_eau1_d,mloy_d,mtyad,nactifs,nbh1,nbphab,nenfants,ocde10,pondmen,poste_coicop_451,poste_coicop_452,poste_coicop_453,revtot,situacj,situapr,surfhab_d,tau,tuu,zeat,part_energies_revenu
5765,2,42.0,0.0,9,221,0.0,0.0,90,34,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,2,1,10,109207,,9,8,480.0,,402,2.0,0.0,6.0,2.0,2.1,495.52339135,800.0,1340.0,0.0,36680.0,4,1,120.0,1,3,2,0.0583424209378
5766,2,63.0,0.0,1,111,0.0,66.0,0,56,50,2,2,1,2,2,1,2,2,1,2,2,2,0,1,0,,2,1,2,3,108460,,4,0,0.0,,120,1.0,4.0,4.0,0.0,1.0,357.120331472,350.0,0.0,0.0,12712.0,0,1,80.0,7,5,2,0.0275330396476
5767,0,79.0,0.0,4,221,0.0,40.0,0,77,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,2,1,6,124983,,3,0,272.0,,120,0.0,2.0,4.0,0.0,1.0,554.89517835,219.0,0.0,2535.0,29908.0,0,5,71.0,1,3,2,0.0920823859837
5768,2,62.0,0.0,5,221,1900.0,0.0,0,77,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,1,7,105882,,1,0,217.0,,120,0.0,1.0,5.0,0.0,1.0,562.724426719,0.0,0.0,0.0,16107.0,0,5,84.0,1,3,2,0.0
5769,2,29.0,0.0,1,111,0.0,0.0,0,52,50,2,2,2,1,2,2,2,2,1,2,2,2,0,1,0,,1,2,2,3,116533,45.0,4,0,0.0,308.0,200,1.0,0.0,3.0,0.0,1.5,336.248560863,390.0,197.0,0.0,30588.0,0,1,113.0,7,5,2,0.0191905322349
5770,2,85.0,0.0,1,221,0.0,0.0,77,78,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,1,2,104940,,1,2,285.0,,400,0.0,0.0,2.0,0.0,1.5,525.469212873,380.0,1153.0,0.0,25789.0,5,5,60.0,1,3,2,0.0594439489705
5771,2,64.0,0.0,3,111,0.0,0.0,77,78,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,2,2,5,125637,98.0,4,4,0.0,249.0,400,0.0,0.0,3.0,0.0,1.5,276.550984439,266.0,98.0,0.0,17688.0,5,5,103.0,7,5,2,0.020578923564
5772,2,59.0,0.0,1,221,0.0,0.0,78,35,70,1,2,2,2,2,2,2,1,1,2,2,2,2,2,3,15.0,1,2,1,3,100577,,2,5,858.0,,400,1.0,2.0,8.0,0.0,1.5,510.016664592,2594.0,102.0,0.0,50878.0,5,1,206.0,1,3,2,0.0529895043044
5773,1,51.0,43.0,1,111,0.0,0.0,0,68,50,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5.0,1,2,2,3,105834,478.0,4,0,0.0,243.0,120,1.0,1.0,2.0,0.0,1.0,297.936988975,380.0,180.0,0.0,13585.0,0,1,46.0,7,5,2,0.0412219359588
5774,1,59.0,182.0,2,221,0.0,0.0,77,78,60,1,2,2,1,2,2,2,2,1,2,2,2,0,3,0,,2,1,2,4,117312,689.0,3,1,260.0,283.0,400,0.0,5.0,3.0,0.0,1.5,663.979634155,250.0,160.0,0.0,20269.0,5,7,60.0,1,3,2,0.0202279342839
5775,2,55.0,0.0,5,111,0.0,0.0,68,54,60,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,15.0,1,2,1,7,124417,,3,3,310.0,374.0,403,2.0,2.0,4.0,4.0,3.3,227.09145132,600.0,773.0,0.0,36733.0,1,1,70.0,7,5,2,0.0373778346446
5776,1,48.0,377.0,2,111,0.0,0.0,68,67,70,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,30.0,1,2,2,4,128979,586.0,2,4,0.0,337.0,402,2.0,1.0,4.0,2.0,2.1,261.514864575,0.0,0.0,0.0,27820.0,4,1,75.0,7,5,2,0.0
5777,1,46.0,421.0,1,111,0.0,0.0,85,85,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,1,1,2,3,119663,1133.0,4,1,0.0,346.0,403,0.0,4.0,4.0,6.0,3.3,277.798245508,764.0,0.0,0.0,26713.0,6,7,60.0,7,5,2,0.0286003069666
5778,2,65.0,0.0,2,221,0.0,0.0,0,77,71,2,2,2,1,2,2,2,2,1,2,2,2,0,2,0,,1,1,2,4,125485,796.0,1,0,430.0,286.0,200,1.0,1.0,3.0,0.0,1.5,705.856501936,280.0,280.0,0.0,28465.0,0,5,80.0,1,3,2,0.0196732829791
5779,1,44.0,270.0,1,111,995.0,0.0,85,55,20,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,18.0,1,2,2,3,117643,1000.0,9,4,0.0,362.0,403,1.0,0.0,5.0,4.0,2.7,267.949037882,0.0,0.0,0.0,25839.0,6,1,120.0,7,5,2,0.0
5780,1,39.0,248.0,1,221,300.0,48.0,0,55,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,2,3,112342,,6,0,250.0,234.0,110,1.0,2.0,3.0,0.0,1.0,741.190540307,0.0,0.0,0.0,5713.0,0,4,50.0,1,3,2,0.0
5781,2,57.0,0.0,1,111,0.0,0.0,62,56,71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,1,2,1,3,133612,,1,1,300.0,,401,3.0,3.0,4.0,0.0,2.0,254.393486508,600.0,1500.0,0.0,23633.0,1,1,110.0,7,5,2,0.0888587991368
5782,2,81.0,0.0,1,221,0.0,0.0,0,77,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,1,3,108964,,1,0,156.0,,200,0.0,3.0,6.0,0.0,1.5,538.708215498,240.0,1930.0,0.0,15041.0,0,5,80.0,1,3,2,0.144272322319
5783,0,76.0,0.0,1,111,0.0,0.0,0,78,71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,1,2,1,2,110367,,1,0,150.0,,120,0.0,5.0,3.0,0.0,1.0,273.865876794,385.0,922.0,0.0,12659.0,0,5,70.0,7,5,2,0.103246701951
5784,1,46.0,162.0,1,221,0.0,120.0,85,62,50,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,5.0,1,2,1,3,117874,,4,3,680.0,468.0,403,1.0,2.0,6.0,4.0,3.3,515.58749833,784.0,1386.0,0.0,37910.0,6,1,127.0,1,3,2,0.0572408335532
5785,1,34.0,280.0,1,111,2400.0,0.0,85,68,71,2,2,2,1,2,2,2,1,2,2,2,2,0,2,0,,1,2,2,3,114568,,1,1,785.0,550.0,403,1.0,0.0,5.0,4.0,2.9,355.473893043,0.0,0.0,0.0,23338.0,7,4,100.0,7,5,2,0.0
5786,2,76.0,0.0,1,221,0.0,360.0,78,77,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,1,3,130772,,2,4,350.0,,400,0.0,2.0,3.0,0.0,1.5,510.016664592,370.0,1400.0,0.0,29214.0,5,5,40.0,1,3,2,0.0605873896077
5787,2,60.0,0.0,1,111,0.0,0.0,78,62,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,1,2,100046,,2,1,378.0,,400,1.0,3.0,5.0,0.0,1.5,212.980888663,880.0,1112.0,0.0,17691.0,6,4,90.0,7,5,2,0.112599626929
5788,2,61.0,0.0,5,221,0.0,0.0,72,31,10,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,15.0,1,2,1,7,122853,,9,8,860.0,,400,4.0,0.0,6.0,0.0,3.0,545.737708863,2406.0,0.0,0.0,109487.0,6,1,180.0,1,3,2,0.021975211669
5789,1,21.0,28.0,1,111,0.0,0.0,0,55,50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,30.0,2,2,1,2,110564,,4,0,0.0,350.0,120,1.0,0.0,1.0,0.0,1.0,314.934150382,0.0,0.0,0.0,14244.0,0,1,28.0,7,5,2,0.0
5790,1,51.0,404.0,7,221,0.0,0.0,0,52,71,2,1,2,2,2,2,2,2,1,2,2,2,0,1,2,,1,2,1,9,121839,,1,0,578.0,369.0,323,2.0,2.0,5.0,3.0,3.0,483.543503083,698.0,1314.0,0.0,17182.0,0,4,89.0,1,3,2,0.117099289955
5791,2,25.0,0.0,2,111,0.0,0.0,56,63,60,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,12.0,1,2,1,4,104226,,3,6,440.0,450.0,401,2.0,0.0,4.0,1.0,1.8,274.971669369,390.0,1300.0,0.0,25305.0,1,1,73.0,7,5,2,0.0667852203122
5792,2,41.0,0.0,1,221,0.0,120.0,85,63,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,2,1,3,127345,,4,6,498.0,,402,1.0,0.0,4.0,2.0,2.6,511.935342436,1800.0,0.0,0.0,41975.0,6,1,98.0,1,3,2,0.0428826682549
5793,2,60.0,0.0,4,111,0.0,100.0,56,77,71,2,2,2,1,2,2,2,2,2,2,2,1,0,2,2,,1,1,1,6,125433,,1,1,800.0,345.0,400,1.0,2.0,4.0,0.0,1.5,219.032284663,1500.0,0.0,0.0,22717.0,1,5,122.0,7,5,2,0.0660298454902
5794,1,65.0,145.0,2,111,0.0,0.0,0,77,50,2,2,2,2,2,1,2,1,2,2,2,2,0,3,0,,1,1,2,4,106715,564.0,4,0,0.0,313.0,120,0.0,4.0,3.0,0.0,1.0,296.567554935,540.0,0.0,0.0,9045.0,0,5,92.0,7,5,2,0.0597014925373
5795,2,40.0,0.0,4,111,0.0,0.0,0,33,43,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,120.0,1,2,1,6,132263,,5,0,164.0,,110,1.0,0.0,4.0,0.0,1.0,238.610940327,954.0,0.0,0.0,22474.0,0,1,85.0,7,5,2,0.0424490522381
