nomf,nomc,code_bdf,categorie_fiscale,sante,environnement,mixte,tva_sociale
10 : Plant-based foods high in sugar,1115 : Autres céréales et produits à base de céréales,c01115,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
10 : Plant-based foods high in sugar,1181 : sucre,c01181,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
10 : Plant-based foods high in sugar,"1182 : confitures, compote, gelées, purées et pâtes de fruits, miel",c01182,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
10 : Plant-based foods high in sugar,1183 : chocolat,c01183,tva_taux_plein,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
10 : Plant-based foods high in sugar,"1184 : sucreries, bonbons et autres confiseries",c01184,tva_taux_plein,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
10 : Plant-based foods high in sugar,1213 : cacao et chocolat en poudre,c01213,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
13 : Beef,1121 : Viande bovine fraîche ou surgelée,c01121,tva_taux_reduit,tva_taux_intermediaire,tva_taux_plein,tva_taux_plein,tva_taux_intermediaire
13 : Beef,"1126 : Conserve de viande, plat préparé de viandes",c01126,tva_taux_reduit,tva_taux_intermediaire,tva_taux_plein,tva_taux_plein,tva_taux_intermediaire
14 : Other meats,1122 : Viande porcine fraîche ou surgelée,c01122,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire
14 : Other meats,1123 : Viande ovine ou caprine fraîche ou surgelée,c01123,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire
14 : Other meats,1124 : Viande de volaille fraîche ou surgelée,c01124,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire
14 : Other meats,"1126 : Conserve de viande, plat préparé de viandes",c01126,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire
14 : Other meats,1127 : Autres viandes comestibles fraîches ou surgelées,c01127,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire
14 : Other meats,1147 : Oeufs,c01147,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire
15 : Cooked meats,"1125 : Viande séchée salée ou fumée, charcuterie et abats, frais ou surgelé",c01125,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire,tva_taux_plein,tva_taux_intermediaire
16 : Animal-based foods high in fats,"1125 : Viande séchée salée ou fumée, charcuterie et abats, frais ou surgelé",c01125,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
16 : Animal-based foods high in fats,"1146 : Autres produits laitiers (dessert à base de lait, crème fraîche, lait aromatisé)",c01146,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
16 : Animal-based foods high in fats,1151 : Beurre,c01151,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
16 : Animal-based foods high in fats,1155 : saindoux et autres graisses d'origine animale,c01155,tva_taux_plein,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
16 : Animal-based foods high in fats,1191 : sauces et condiments,c01191,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
18 : Fish and seafoods,1130 : Poissons frais,c01130,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire
18 : Fish and seafoods,1131 : Poissons surgelés ou congelés ,c01131,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire
18 : Fish and seafoods,1132 : Fruits de mer frais ou surgelés,c01132,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire
18 : Fish and seafoods,"1133 : Poissons et fruits de mer salés, fumés, séchés",c01133,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire,tva_taux_intermediaire
