,poste_coicop,nomc,nomf,expenditures,budget_share
78,poste_01_1_8_1_2,"1182 : confitures, compote, gelées, purées et pâtes de fruits, miel",10 : Plant-based foods high in sugar,82486288.0,0.145928810229
79,poste_01_1_8_1_2,"1182 : confitures, compote, gelées, purées et pâtes de fruits, miel",12 : Processed fruits and vegetables,482763904.0,0.854071189771
83,poste_01_1_9_1_1_a,1191 : sauces et condiments,7 : Spices,63343296.0,0.1129112948
84,poste_01_1_9_1_1_a,1191 : sauces et condiments,12 : Processed fruits and vegetables,283135136.0,0.504696737113
85,poste_01_1_9_1_1_a,1191 : sauces et condiments,16 : Animal-based foods high in fats,214522096.0,0.382391968087
87,poste_01_1_9_3_2,"1193 : levure , préparations pour desserts, soupes",9 : Plant-based dishes,242780192.0,0.681246027237
88,poste_01_1_9_3_2,"1193 : levure , préparations pour desserts, soupes",20 : Prepared mixed meals,113596480.0,0.318753972763
95,poste_01_2_2_2_3,"1223 : jus de fruits et de légumes, sirops, boissons aromatisées",1 : Juices,874932992.0,0.72645687629
96,poste_01_2_2_2_3,"1223 : jus de fruits et de légumes, sirops, boissons aromatisées",3 : Soft drinks,329450944.0,0.27354312371
100,poste_02_1_3_1_1,2131 : bière et boissons à base de bière,2 : Alcohol,511300320.0,0.971902441555
101,poste_02_1_3_1_1,2131 : bière et boissons à base de bière,3 : Soft drinks,14781618.0,0.0280975584454
