;1;2;3
1;45.090933409054664;10.683435309083665;3.340760830361964
2;16.606864455821427;-0.11061803450614628;24.040637947484139
3;28.166757877235145;9.1299544778859847;21.240637018939342
4;26.159615278362647;7.3777496332183032;8.5919535887940572
5;3.1834380399229305;-0.63133332514259022;9.1625238688411095
6;-8.9341504148048401;-5.9100631150589313;7.5864952620016393
7;4.3038766237528501;-8.535838582867104;6.3020630042448937
8;-24.975426603731005;-9.7267324285933565;-1.2136994174042344
9;-20.206632153162722;-22.384013668922936;-10.556270909405377
10;-43.22825616159998;-49.023614892104533;-29.159376565128081
