;perdant_cheque_officiel
1;0.23876096875970557
2;0.18465881293204173
3;0.12691855981370123
4;0.13675518650087531
5;0.18455846152517338
6;0.20694587878890414
7;0.23000474402084201
8;0.2739010278313575
9;0.33271578904908145
10;0.40677010441828959
