;0;1;2
1;106.25333554227683;-63.404872028384439;-29.765121607847973
2;76.234226406344533;-23.632593898902826;-22.56410204681162
3;73.093827363234837;5.2444768926073015;-37.628768852180436
4;70.832270636318995;-8.8485785188676758;-58.532527217440951
5;46.380094920548331;-14.607972413751682;-46.18041931709304
6;39.266914056298511;-27.67494800032657;-54.31187995744024
7;43.417805096835224;-28.360811202784387;-74.764373963616308
8;38.785899431206076;-48.48228521042406;-97.45366213296866
9;28.065907073799931;-56.763220409076261;-124.96242136881963
10;38.165977133031284;-109.53624625378042;-175.73290112403691
