;0;1;2
1;85.355118757018033;-44.660368607244379;-21.448494974167044
2;54.867457366179138;-22.917265629574914;-21.004902259169203
3;53.87547970367072;0.95804134038885291;-28.96490977566781
4;47.451693030276537;-4.2466826623869043;-38.658762469818605
5;31.536804445484023;-11.871863037394951;-34.245540903389482
6;23.172893919055575;-20.572670835079837;-38.024893665926363
7;28.217486314738597;-20.41917668744949;-51.264058742947782
8;25.841767450407978;-37.9246198577153;-63.270024473962245
9;19.417701209860272;-37.183158675502867;-85.095516600977746
10;22.498092638503032;-73.767343681850718;-120.62132561525976
