;0;1;2;3;4
1;12.528756102336116;9.7159970506966093;47.634492157087102;31.073655708959414;39.483241443006733
2;26.145977500139796;7.4710798328462538;11.712029164111922;14.702671642460135;68.729201848870758
3;6.8283038096902144;21.887665903651211;14.739737557319858;44.241112446790005;72.553968612717824
4;11.75188768076031;16.446519543904717;21.855372697250633;11.045289936412214;58.551773009134862
5;-19.34192659815163;-1.9865227862400061;-3.2433980556713498;13.465408791202828;68.994726830808716
6;-17.744257089431674;-13.552611700236207;-11.59598038832995;8.3722730037846844;42.648932384888376
7;-18.856755414584697;3.6620341453129823;-13.29341690009136;3.6349669658639301;36.36190586470201
8;-42.514671520375728;-6.1170484429361025;-30.028138962319556;-16.656907538145905;30.037674031799774
9;-51.251721839494252;-47.24311720723194;-37.754584392069646;-31.84361563748125;18.054830474177095
10;-99.037022084763279;-79.530734426396123;-97.439440460097671;-67.030349958996041;-18.145888448608822
