;quantile_10;quantile_25;quantile_50;quantile_75;quantile_90
1;-88.8626953125;-27.11429500579834;39.159929275512695;83.45243263244629;94.37869338989258
2;-82.97659301757812;-18.788482666015625;31.35526466369629;70.82664489746094;89.37287139892578
3;-75.24128875732421;-15.5472412109375;35.05790710449219;68.26180267333984;89.37287139892578
4;-73.07383499145507;-23.442206382751465;25.738859176635742;62.805850982666016;87.7576675415039
5;-91.0614074707031;-40.73373794555664;13.194782257080078;54.26704025268555;79.56344223022462
6;-90.11973190307617;-40.54873275756836;9.091200828552246;48.07588863372803;76.71468582153321
7;-102.71510391235351;-41.78618621826172;8.735980987548828;50.577598571777344;75.18688507080078
8;-111.79669952392578;-59.597787857055664;1.2758865356445312;43.84155464172363;73.63078308105469
9;-131.42698669433594;-69.40523529052734;-8.40040111541748;42.59684085845947;75.20988388061524
10;-188.199755859375;-102.64331436157227;-27.152639389038086;36.48426818847656;71.16271514892578
