"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_coicop_722","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance_autre_carbu","distance_diesel","distance_essence"
"9839",9838,0,6,19,111,84,41,0,9286,0,250,0,300,0,1,0,1,1,4041.5963288851,0,NA,3890,3,3,8,6,1,1,0,1,0,0,1,0,0,0,0,1,3890,1,1,"1_0","1_0_0",0,3000,0
"9872",9871,NA,NA,42,111,85,50,NA,9337,NA,NA,NA,0,0,6,1,2,1.3,2491.52119762472,0,NA,11970,6,3,8,7,2,0,NA,NA,0,0,0,1,0,1,0,0,9207.69230769231,1,1,"1_1","1_0_1",NA,NA,NA
"9892",9891,8,16,52,400,69,50,0,9367,0,300,600,0,2,4,2,4,2.5,1042.08393835922,7280,NA,23760,1,1,0,0,4,3,0,1,1,0,0,0,0,0,2,1,9504,1,1,"1_0","1_1_0",0,5445,0
"9918",9917,8,10,72,300,71,70,0,9395,0,0,NA,0,0,3,0,1,1,1810.99539497544,0,NA,7964,5,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,7964,1,1,"1_0","1_1_0",NA,NA,NA
"9923",9922,NA,NA,71,112,86,70,NA,9405,NA,NA,NA,0,0,5,0,1,1,1214.20804911774,0,NA,6300,5,1,8,0,1,0,NA,NA,1,0,0,0,0,0,0,0,6300,1,1,"1_0","1_1_0",NA,NA,NA
"9934",9933,1,14,29,111,85,71,2,9424,0,0,200,162,1,4,3,5,2.4,3086.46970817081,2080,1200,22872,6,3,10,8,4,1,0,1,0,0,0,0,1,1,1,0,9530,1,1,"1_1","1_0_1",NA,NA,NA
"9937",9936,NA,NA,50,111,54,50,NA,9431,NA,NA,NA,260,1,2,0,1,1,2813.73221219944,0,NA,8550,4,3,10,8,1,0,NA,NA,0,0,0,0,1,1,0,0,8550,1,1,"1_1","1_0_1",NA,NA,NA
"9941",9940,NA,NA,20,111,55,41,NA,9437,NA,NA,NA,479,1,3,0,1,1,4584.89894069561,0,NA,7904,1,4,9,7,1,0,NA,NA,0,0,0,1,0,1,0,0,7904,1,1,"1_1","1_0_1",NA,NA,NA
"9952",9951,7,11,65,111,86,41,0,9451,0,0,NA,0,0,5,0,1,1,3303.38946829272,1562,NA,9114,6,1,10,8,1,1,0,0,0,0,0,0,1,0,1,0,9114,1,1,"1_0","1_0_0",NA,NA,NA
"9965",9964,0,21,56,112,56,50,0,9476,0,0,0,0,1,6,1,2,1.5,1293.07348714294,0,NA,8208,5,2,9,0,2,2,0,0,1,0,0,0,0,0,1,0,5472,1,1,"1_0","1_1_0",NA,NA,NA
