"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_coicop_722","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance_autre_carbu","distance_diesel","distance_essence"
"14",13,5,21,54,111,56,20,0,10014,0,NA,0,296,1,3,1,2,1.5,3134.07119405837,1561,NA,4603,4,3,7,6,2,1,0,0,0,0,1,0,0,1,0,1,3068.66666666667,1,1,"1_1","1_0_1",0,109172,0
"73",72,0,19,57,111,77,71,0,10093,0,NA,0,0,0,3,0,1,1,3436.92926380056,1560,NA,7740,7,4,9,7,1,1,0,0,0,0,0,1,0,0,0,1,7740,1,1,"1_0","1_0_0",0,3500,0
"93",92,0,12,20,111,84,31,0,10121,0,0,NA,0,0,1,0,1,1,3751.89473267099,0,NA,3123,3,3,8,7,1,1,0,0,0,0,0,1,0,1,1,0,3123,1,1,"1_1","1_0_1",NA,NA,NA
"117",116,2,2,42,300,11,71,0,10153,0,NA,0,0,2,5,2,4,2.5,3033.13866050324,0,NA,13180,1,1,0,0,4,1,0,0,1,0,0,0,0,0,0,1,5272,1,1,"1_0","1_1_0",0,15000,0
"128",127,3,10,19,111,84,41,0,10170,0,NA,0,235,0,2,0,1,1,3606.74135618675,1768,NA,3770,3,4,8,7,1,1,0,0,0,0,0,1,0,0,0,1,3770,1,1,"1_0","1_0_0",0,55144,0
"138",137,2,8,29,112,21,50,0,10182,0,400,0,0,2,6,3,5,2.4,1641.66912321956,2601,NA,18317,1,2,7,1,4,2,0,1,0,1,0,0,0,1,0,2,7632.08333333333,1,1,"1_1","1_0_1",0,23000,0
"150",149,1,3,40,111,22,31,2,10198,0,NA,0,0,2,4,1,3,1.8,2728.51000428255,0,7500,12592,1,3,3,4,4,2,0,0,0,0,1,0,0,0,0,2,6995.55555555556,1,1,"1_0","1_0_0",0,20625,0
"156",155,1,13,29,111,55,31,0,10204,0,0,80,384,1,2,0,1,1,2315.56563525339,0,NA,5043,1,3,7,5,1,1,0,1,0,0,1,0,0,0,1,0,5043,1,1,"1_0","1_0_0",NA,NA,NA
"159",158,3,4,24,111,84,10,0,10208,0,0,NA,0,1,2,0,2,1.5,2798.5512825039,2601,NA,10248,3,4,9,7,3,1,1,0,0,0,0,1,0,0,1,0,6832,1,1,"1_0","1_0_0",NA,NA,NA
"172",171,0,16,27,112,47,41,0,10232,0,0,NA,0,2,2,0,2,1.5,2765.51319354424,2288,NA,11192,1,2,10,4,3,1,0,0,0,0,1,0,0,0,1,0,7461.33333333333,1,1,"1_0","1_0_0",NA,NA,NA
"182",181,1,5,61,300,13,50,2,10244,0,NA,0,0,1,7,0,1,1,2254.64141502962,0,8200,9036,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,9036,1,1,"1_0","1_1_0",0,8000,0
"193",192,6,29,35,111,85,50,0,10260,0,NA,0,0,1,5,2,4,2.1,1684.46533283948,0,NA,9980,7,2,5,4,4,3,0,0,0,0,1,0,0,1,0,3,4752.38095238095,1,1,"1_1","1_0_1",0,75000,0
"203",202,1,1,49,300,85,50,1,10274,0,0,NA,0,0,3,1,2,1.5,1859.96457609368,0,11500,10630,6,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0,7086.66666666667,1,1,"1_0","1_1_0",NA,NA,NA
"208",207,3,10,22,111,84,41,0,10284,0,0,NA,678,1,4,0,3,2,4008.05135736297,0,NA,13474,3,3,9,7,5,1,0,0,0,0,0,1,0,1,1,0,6737,1,1,"1_1","1_0_1",NA,NA,NA
"223",222,12,23,57,112,78,50,0,10302,0,0,NA,0,1,6,1,3,2,1172.71109064321,1044,NA,17861,4,3,7,1,4,1,0,0,0,1,0,0,0,1,1,0,8930.5,1,1,"1_1","1_0_1",NA,NA,NA
"251",250,NA,NA,84,400,72,70,NA,10339,NA,NA,NA,0,0,6,0,1,1,2834.35538709101,0,NA,8320,5,1,0,1,1,0,NA,NA,0,1,0,0,0,0,0,0,8320,1,1,"1_0","1_0_0",NA,NA,NA
"266",265,NA,NA,21,111,84,31,NA,10365,NA,NA,NA,0,0,1,0,1,1,4042.49660420559,0,NA,4814,3,4,10,8,1,0,NA,NA,0,0,0,0,1,0,0,0,4814,1,1,"1_0","1_0_0",NA,NA,NA
"267",266,NA,NA,26,111,45,20,NA,10366,NA,NA,NA,0,1,2,0,1,1,3959.67755271361,0,NA,6834,1,4,10,8,1,0,NA,NA,0,0,0,0,1,0,0,0,6834,1,1,"1_0","1_0_0",NA,NA,NA
"270",269,0,20,19,111,84,41,0,1037,0,0,500,156,0,1,0,1,1,3679.78236637068,1768,NA,4388,3,3,8,6,1,1,0,1,0,0,1,0,0,1,1,0,4388,1,1,"1_1","1_0_1",NA,NA,NA
"323",322,11,18,45,111,85,71,0,10442,0,0,0,275,1,4,1,3,2,3499.20913146527,1560,NA,18952,7,3,9,7,4,3,0,0,0,0,0,1,0,1,1,2,9476,1,1,"1_1","1_0_1",0,21500,0
"345",344,6,20,23,111,84,31,0,10475,0,0,60,261,0,2,0,1,1,3637.34314350075,0,NA,3987,3,3,8,7,1,1,0,1,0,0,0,1,0,1,1,0,3987,1,1,"1_1","1_0_1",NA,NA,NA
"349",348,6,12,41,111,21,50,0,1048,0,0,0,283,1,1,0,1,1,5609.40478495857,0,NA,5801,1,3,7,5,1,1,0,1,0,0,1,0,0,1,0,1,5801,1,1,"1_1","1_0_1",0,25000,0
"372",371,NA,NA,82,111,78,71,NA,10510,NA,NA,NA,0,0,4,0,3,2,3176.1847845362,0,NA,15232,5,3,10,8,5,0,NA,NA,0,0,0,0,1,1,0,0,7616,1,1,"1_1","1_0_1",NA,NA,NA
"374",373,1,24,22,111,46,31,0,10513,0,50,0,354,1,1,0,2,1.5,4129.86605390475,2540,NA,6651,1,3,8,6,3,1,0,1,0,0,1,0,0,1,0,1,4434,1,1,"1_1","1_0_1",0,16000,0
"388",387,1,20,28,120,85,60,2,10533,0,0,NA,317,0,2,0,1,1,3040.71879195775,1040,1800,9124,7,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0,9124,1,1,"1_0","1_1_0",NA,NA,NA
"390",389,6,8,57,112,56,71,0,10535,0,NA,0,0,1,5,1,3,2,2989.90803649927,0,NA,15723,1,2,9,3,4,2,0,0,0,1,0,0,0,1,0,2,7861.5,1,1,"1_1","1_0_1",0,19891,0
"395",394,NA,NA,36,111,22,50,NA,1054,NA,NA,NA,0,1,3,2,4,2.1,3434.43850872832,0,NA,14780,4,3,8,7,4,0,NA,NA,0,0,0,1,0,1,0,0,7038.09523809524,1,1,"1_1","1_0_1",NA,NA,NA
"400",399,NA,NA,62,112,78,41,NA,10545,NA,NA,NA,0,0,5,0,1,1,2979.69888279717,0,NA,8695,5,4,9,2,1,0,NA,NA,0,1,0,0,0,0,0,0,8695,1,1,"1_0","1_0_0",NA,NA,NA
"410",409,1,10,22,111,84,31,2,10557,0,0,30,0,0,2,0,1,1,3942.61191571412,1040,5000,6298,3,4,9,7,1,1,0,1,0,0,0,1,0,0,1,0,6298,1,1,"1_0","1_0_0",NA,NA,NA
"421",420,NA,NA,18,111,84,41,NA,10573,NA,NA,NA,330,0,1,0,1,1,4133.45888804377,0,NA,4823,3,3,8,7,1,0,NA,NA,0,0,0,1,0,0,0,0,4823,1,1,"1_0","1_0_0",NA,NA,NA
"427",426,8,8,58,111,85,31,0,10583,0,150,0,0,0,6,0,1,1,1308.68598950372,0,NA,1230,6,1,4,4,1,1,0,1,0,0,1,0,0,0,0,1,1230,1,1,"1_0","1_0_0",0,41226,0
"433",432,3,14,39,112,31,31,0,10590,0,NA,0,0,1,4,0,1,1,2910.20461045813,4319,NA,4557,1,4,7,1,1,1,1,0,0,1,0,0,0,0,0,1,4557,1,1,"1_0","1_0_0",0,6000,0
"438",437,6,12,43,400,42,20,0,10600,0,0,300,0,1,4,3,4,2.1,2574.71148667843,1040,NA,12703,1,4,0,0,2,1,0,1,1,0,0,0,0,0,1,0,6049.04761904762,1,1,"1_0","1_1_0",NA,NA,NA
"447",446,NA,NA,20,111,84,41,NA,10611,NA,NA,NA,275,0,3,0,1,1,3785.69569636385,0,NA,9534,3,3,9,7,1,0,NA,NA,0,0,0,1,0,1,0,0,9534,1,1,"1_1","1_0_1",0,0,4265
"456",455,4,6,54,221,46,41,0,10627,0,0,400,0,1,3,0,1,1,2034.38633868639,1827,NA,3042,1,1,1,2,1,1,0,1,0,1,0,0,0,0,1,0,3042,1,1,"1_0","1_0_0",NA,NA,NA
"472",471,0,11,61,112,78,70,0,1065,0,0,120,0,0,5,0,2,1.5,1822.01373813317,1019,NA,14440,5,1,8,0,3,1,0,1,1,0,0,0,0,0,1,0,9626.66666666667,1,1,"1_0","1_1_0",NA,NA,NA
"489",488,4,15,34,111,55,20,0,10669,0,NA,0,0,2,4,2,4,2.1,3021.69104410729,3120,NA,11590,1,3,9,7,4,1,0,0,0,0,0,1,0,1,0,1,5519.04761904762,1,1,"1_1","1_0_1",0,10000,0
"490",489,NA,NA,22,111,84,41,NA,1067,NA,NA,NA,310,0,1,0,1,1,3313.09055577329,0,NA,911,3,3,9,7,1,0,NA,NA,0,0,0,1,0,0,0,0,911,1,1,"1_0","1_0_0",NA,NA,NA
"517",516,11,12,68,111,86,50,0,10714,0,NA,0,0,0,3,0,2,1.5,1619.44639773873,1560,NA,13920,6,1,9,7,3,1,0,0,0,0,0,1,0,0,0,1,9280,1,1,"1_0","1_0_0",0,8000,0
"527",526,0,5,34,111,62,71,2,10728,0,300,0,306,1,4,3,5,2.4,5243.24460839373,1040,6000,20463,1,3,6,5,4,1,0,1,0,0,1,0,0,0,0,1,8526.25,1,1,"1_0","1_0_0",0,4000,0
"546",545,NA,NA,22,111,84,31,NA,10752,NA,NA,NA,135,0,1,0,1,1,4129.34117930984,0,NA,6440,3,3,7,5,1,0,NA,NA,0,0,1,0,0,1,0,0,6440,1,1,"1_1","1_0_1",NA,NA,NA
"594",593,8,11,45,300,85,33,0,10816,0,NA,0,0,2,6,5,6,3.1,582.678598015338,5724,NA,28511,4,2,0,0,2,1,1,0,1,0,0,0,0,1,0,1,9197.09677419355,1,1,"1_1","1_1_1",0,23000,0
"603",602,0,13,29,111,64,71,2,10828,0,NA,0,425,1,1,0,1,1,3673.89923470205,0,1000,0,4,3,10,8,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,"1_0","1_0_0",0,20000,500
"623",622,3,6,21,111,84,41,0,10857,0,0,0,300,0,1,0,1,1,3703.30740645102,0,NA,8951,3,3,9,7,1,1,0,1,0,0,0,1,0,1,1,0,8951,1,1,"1_1","1_0_1",NA,NA,NA
"625",624,0,3,54,111,63,60,0,1086,0,NA,0,0,1,2,0,1,1,3274.96863816015,1565,NA,8406,4,3,7,5,1,1,0,0,0,0,1,0,0,1,0,1,8406,1,1,"1_1","1_0_1",0,0,10000
"629",628,1,15,37,111,85,41,2,10867,0,NA,0,0,0,3,2,4,2.1,2828.21274664511,0,1400,18617,4,3,7,5,4,1,0,0,0,0,1,0,0,1,0,1,8865.2380952381,1,1,"1_1","1_0_1",0,12000,0
"642",641,NA,NA,48,111,42,60,NA,10881,NA,NA,NA,1060,1,4,3,4,2.3,3594.8039309239,0,NA,14861,4,3,10,8,2,0,NA,NA,0,0,0,0,1,0,0,0,6461.30434782609,1,1,"1_0","1_0_0",NA,NA,NA
"644",643,NA,NA,40,112,67,71,NA,10884,NA,NA,NA,0,1,4,2,3,2,2600.14828193295,0,NA,14136,4,3,10,5,2,0,NA,NA,0,0,1,0,0,1,0,0,7068,1,1,"1_1","1_0_1",0,0,4000
"645",644,NA,NA,24,111,43,41,NA,10886,NA,NA,NA,125,1,1,0,1,1,3829.20214212678,0,NA,6830,2,3,9,7,1,0,NA,NA,0,0,0,1,0,1,0,0,6830,1,1,"1_1","1_0_1",NA,NA,NA
"650",649,NA,NA,38,111,64,50,NA,10890,NA,NA,NA,0,2,3,2,4,2.1,6755.33264737792,0,NA,15810,1,1,10,8,4,0,NA,NA,0,0,0,0,1,0,0,0,7528.57142857143,1,1,"1_0","1_0_0",NA,NA,NA
"675",674,6,11,40,120,62,71,0,10933,0,100,0,0,1,3,0,1,1,3264.86453308709,0,NA,8895,4,3,0,0,1,1,0,1,1,0,0,0,0,0,0,1,8895,1,1,"1_0","1_1_0",0,5500,0
"679",678,7,9,55,112,52,50,0,10939,0,200,0,0,1,4,0,1,1,1952.81188646091,2080,NA,7365,1,3,9,2,1,1,0,1,0,1,0,0,0,1,0,1,7365,1,1,"1_1","1_0_1",0,17102,0
"691",690,0,7,25,111,56,50,0,10950,0,NA,0,0,2,5,1,3,1.8,2834.13706894059,2808,NA,10950,1,3,8,7,4,2,0,0,0,0,0,1,0,1,0,2,6083.33333333333,1,1,"1_1","1_0_1",0,8000,0
"708",707,0,31,35,112,85,41,0,10971,0,0,0,0,0,3,2,3,1.6,3172.67842003912,1821,NA,13756,6,3,7,0,2,2,0,0,1,0,0,0,0,1,1,1,8597.5,1,1,"1_1","1_1_1",0,10716,0
"713",712,5,9,27,111,64,60,0,10979,0,NA,0,360,1,3,2,4,2.1,3428.19280518215,1820,NA,15560,4,3,9,7,4,1,0,0,0,0,0,1,0,1,0,1,7409.52380952381,1,1,"1_1","1_0_1",0,12000,0
"726",725,7,11,33,112,85,20,0,1100,0,0,0,350,0,3,1,2,1.3,2978.9363325776,0,NA,6912,7,3,9,0,2,1,0,1,1,0,0,0,0,1,0,1,5316.92307692308,1,1,"1_1","1_1_1",0,15000,0
"739",738,3,9,43,112,46,60,0,11018,0,NA,0,0,2,5,2,4,2.1,3164.31727788715,2860,NA,17598,1,2,7,2,4,2,1,0,0,1,0,0,0,1,0,2,8380,1,1,"1_1","1_0_1",0,3000,0
"789",788,NA,NA,30,111,85,50,NA,11080,NA,NA,NA,300,0,2,0,1,1,2912.12640846265,0,NA,9234,7,3,8,7,1,0,NA,NA,0,0,0,1,0,0,0,0,9234,1,1,"1_0","1_0_0",NA,NA,NA
"793",792,NA,NA,44,111,68,50,NA,11088,NA,NA,NA,56,1,3,0,1,1,1683.98446027457,0,NA,8190,4,3,9,7,1,0,NA,NA,0,0,0,1,0,1,0,0,8190,1,1,"1_1","1_0_1",NA,NA,NA
"799",798,NA,NA,59,111,56,50,NA,11096,NA,NA,NA,21,1,2,0,1,1,2560.96796285777,0,NA,8224,4,3,9,7,1,0,NA,NA,0,0,0,1,0,1,0,0,8224,1,1,"1_1","1_0_1",NA,NA,NA
"806",805,NA,NA,87,120,71,70,NA,11106,NA,NA,NA,0,0,5,0,1,1,2179.91547996208,0,NA,6541,5,1,0,0,1,0,NA,NA,1,0,0,0,0,0,0,0,6541,1,1,"1_0","1_1_0",NA,NA,NA
"807",806,8,14,82,400,71,70,0,11107,0,NA,0,0,0,5,0,1,1,2425.64415070024,2809,NA,8990,5,4,0,0,1,1,0,0,1,0,0,0,0,0,0,1,8990,1,1,"1_0","1_1_0",0,700,0
"811",810,NA,NA,25,111,56,50,NA,11114,NA,NA,NA,45,1,2,0,1,1,2501.2319839683,0,NA,2790,4,4,9,7,1,0,NA,NA,0,0,0,1,0,1,0,0,2790,1,1,"1_1","1_0_1",NA,NA,NA
"823",822,4,17,37,111,85,50,0,11130,0,0,0,206,0,3,1,3,1.8,2506.88527507393,2080,NA,13390,4,3,6,5,4,1,0,1,0,0,1,0,0,1,0,1,7438.88888888889,1,1,"1_1","1_0_1",0,15000,0
"838",837,0,15,46,111,67,60,0,1115,0,0,NA,0,2,5,1,2,1.5,3171.83303914081,1820,NA,11780,1,2,9,7,2,1,1,0,0,0,0,1,0,0,1,0,7853.33333333333,1,1,"1_0","1_0_0",NA,NA,NA
"840",839,3,25,36,111,21,50,0,11151,0,NA,0,405,1,3,1,2,1.3,3513.74677592421,0,NA,290,4,3,7,5,2,1,0,0,0,0,1,0,0,0,0,1,223.076923076923,1,1,"1_0","1_0_0",0,15000,0
"860",859,13,13,70,112,71,50,0,11183,0,0,NA,0,0,4,0,2,1.5,1636.83749259419,0,NA,13960,5,1,8,0,3,1,0,0,1,0,0,0,0,0,1,0,9306.66666666667,1,1,"1_0","1_1_0",NA,NA,NA
"865",864,4,9,57,221,68,71,0,11189,0,0,NA,125,1,2,0,1,1,4061.83575809249,1820,NA,7540,4,3,1,2,1,1,0,0,0,1,0,0,0,1,1,0,7540,1,1,"1_1","1_0_1",NA,NA,NA
"886",885,2,11,29,111,54,20,0,11217,0,NA,0,60,1,3,0,1,1,2082.62058185009,0,NA,5670,4,3,8,6,1,1,0,0,0,0,1,0,0,1,0,1,5670,1,1,"1_1","1_0_1",0,15000,0
"893",892,NA,NA,71,111,78,50,NA,11225,NA,NA,NA,50,0,1,0,1,1,3088.16811859248,0,NA,9593,5,3,8,7,1,0,NA,NA,0,0,0,1,0,1,0,0,9593,1,1,"1_1","1_0_1",NA,NA,NA
"907",906,8,12,47,112,13,50,0,11246,0,80,0,0,2,5,2,4,2.1,1882.65582886517,0,NA,2600,1,1,6,0,4,1,0,1,1,0,0,0,0,0,0,1,1238.09523809524,1,1,"1_0","1_1_0",0,5000,0
"908",907,0,4,67,400,86,50,2,11247,0,NA,0,0,0,5,0,2,1.5,1236.5545341904,1966,7000,14110,5,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1,9406.66666666667,1,1,"1_0","1_1_0",0,10000,0
"913",912,12,12,63,111,74,10,0,11254,0,0,NA,0,0,8,0,1,1,1736.2336869634,0,NA,2081,5,1,8,7,1,1,0,0,0,0,0,1,0,0,1,0,2081,1,1,"1_0","1_0_0",NA,NA,NA
"919",918,0,21,18,111,84,41,0,11264,0,0,NA,0,0,1,0,1,1,3576.19380707399,0,NA,3134,3,3,9,7,1,1,0,0,0,0,0,1,0,1,1,0,3134,1,1,"1_1","1_0_1",NA,NA,NA
"923",922,2,10,52,300,22,50,0,1127,0,NA,0,0,1,6,0,1,1,2603.73014933291,879,NA,5010,1,4,0,0,1,1,1,0,1,0,0,0,0,0,0,1,5010,1,1,"1_0","1_1_0",0,10000,0
"924",923,2,8,28,111,85,42,0,11271,0,NA,0,0,0,2,0,1,1,3248.03864181763,2501,NA,5220,7,2,8,6,1,1,0,0,0,0,1,0,0,0,0,1,5220,1,1,"1_0","1_0_0",0,41226,0
"928",927,3,15,55,400,21,41,0,11277,0,350,0,0,1,3,0,2,1.5,3829.4189708625,3037,NA,6810,1,1,0,0,3,1,0,1,1,0,0,0,0,0,0,1,4540,1,1,"1_0","1_1_0",0,10000,0
"929",928,6,8,33,111,34,20,0,11278,0,0,675,0,1,3,0,2,1.5,3510.01553841712,4940,NA,8331,6,1,9,7,5,1,0,1,0,0,0,1,0,0,1,0,5554,1,1,"1_0","1_0_0",NA,NA,NA
"930",929,NA,NA,91,111,72,70,NA,11279,NA,NA,NA,0,0,4,0,1,1,3250.18306519467,0,NA,5920,5,1,9,7,1,0,NA,NA,0,0,0,1,0,0,0,0,5920,1,1,"1_0","1_0_0",NA,NA,NA
"946",945,0,10,23,111,52,43,2,11300,0,NA,0,11,1,3,2,4,2.1,2877.90775005398,1733,3150,13032,4,3,10,8,4,1,0,0,0,0,0,0,1,1,0,1,6205.71428571429,1,1,"1_1","1_0_1",0,20000,0
"956",955,NA,NA,60,111,77,60,NA,11312,NA,NA,NA,0,0,3,0,1,1,3013.34052279985,0,NA,6840,5,1,8,7,1,0,NA,NA,0,0,0,1,0,0,0,0,6840,1,1,"1_0","1_0_0",0,0,4000
"961",960,1,15,47,111,22,42,2,11318,0,NA,0,0,3,5,1,3,2,1415.01800781581,4165,3500,16900,1,1,7,5,4,2,0,0,0,0,1,0,0,0,0,2,8450,1,1,"1_0","1_0_0",0,44336,0
"964",963,8,20,80,111,71,70,0,11323,0,0,NA,0,0,3,0,1,1,2834.65856344589,1011,NA,7871,5,1,7,5,1,1,0,0,0,0,1,0,0,0,1,0,7871,1,1,"1_0","1_0_0",NA,NA,NA
"973",972,4,4,61,400,78,70,0,11335,0,NA,0,0,0,4,0,1,1,2677.72410883528,936,NA,5010,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,5010,1,1,"1_0","1_1_0",0,10000,0
"977",976,NA,NA,53,111,67,71,NA,11339,NA,NA,NA,73,1,1,0,1,1,5327.51900772925,0,NA,8744,4,3,8,7,1,0,NA,NA,0,0,0,1,0,1,0,0,8744,1,1,"1_1","1_0_1",0,0,1000
"979",978,1,7,53,111,52,50,0,11341,0,0,60,320,3,4,2,6,3.3,1233.85472534977,0,NA,29960,1,3,10,8,5,1,0,1,0,0,0,0,1,0,1,0,9078.78787878788,1,1,"1_0","1_0_0",NA,NA,NA
"980",979,11,11,44,221,11,50,0,11344,0,NA,0,0,2,6,3,5,2.8,2667.08227167808,0,NA,13570,1,1,1,1,4,2,0,0,0,1,0,0,0,0,0,2,4846.42857142857,1,1,"1_0","1_0_0",0,10716,0
"991",990,6,11,46,112,11,43,0,11360,0,100,0,519,1,4,0,1,1,3040.44283985753,0,NA,5085,1,3,8,0,1,1,0,1,1,0,0,0,0,0,0,1,5085,1,1,"1_0","1_1_0",0,26000,0
"1000",999,8,8,71,111,77,50,0,11371,0,0,NA,0,0,4,0,1,1,2858.21568615151,0,NA,8060,5,1,9,7,1,1,0,0,0,0,0,1,0,0,1,0,8060,1,1,"1_0","1_0_0",NA,NA,NA
"1007",1006,12,17,57,112,78,71,0,11379,0,NA,0,0,1,5,3,5,3,3441.94740416204,1040,NA,21414,5,3,9,3,4,1,0,0,0,1,0,0,0,1,0,1,7138,1,1,"1_1","1_0_1",0,20000,0
"1025",1024,9,9,33,111,85,50,0,11399,0,NA,0,0,0,4,0,1,1,2568.08843307095,4836,NA,6072,7,3,6,5,1,1,0,0,0,0,1,0,0,1,0,1,6072,1,1,"1_1","1_0_1",0,20000,0
"1032",1031,10,10,80,111,74,50,0,11406,0,0,NA,0,0,5,0,2,1.5,1749.34526994981,2637,NA,12860,5,1,10,8,3,1,1,0,0,0,0,0,1,0,1,0,8573.33333333333,1,1,"1_0","1_0_0",NA,NA,NA
"1035",1034,6,13,60,120,54,50,0,11411,0,0,NA,0,1,4,0,1,1,1762.32890669572,1565,NA,8100,4,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,8100,1,1,"1_0","1_1_0",NA,NA,NA
"1054",1053,4,4,59,300,34,20,0,11442,0,50,0,0,2,6,0,2,1.5,2143.39676192174,2600,NA,11362,1,1,0,0,3,2,0,1,1,0,0,0,0,0,0,2,7574.66666666667,1,1,"1_0","1_1_0",0,6859,0
"1089",1088,0,6,24,111,37,10,2,11490,0,100,0,320,1,3,0,1,1,3818.36431831057,3381,15500,397,1,3,9,7,1,1,0,1,0,0,0,1,0,0,0,1,397,1,1,"1_0","1_0_0",0,3000,0
"1160",1159,2,12,32,112,55,71,0,11584,0,NA,0,0,2,3,2,4,2.1,2850.61684417438,3640,NA,11020,4,2,10,0,4,1,0,0,1,0,0,0,0,1,0,1,5247.61904761905,1,1,"1_1","1_1_1",0,15000,0
"1176",1175,2,13,50,111,52,43,0,11610,0,150,0,0,1,6,2,3,2,1413.86621825438,2601,NA,15131,1,1,9,7,2,2,0,0,0,0,0,1,0,0,1,1,7565.5,1,1,"1_0","1_0_0",0,21500,0
"1184",1183,8,9,46,111,56,71,0,11619,0,200,0,0,2,5,0,2,1.5,2193.08174332024,0,NA,9276,4,1,8,7,3,2,0,1,0,0,0,1,0,0,0,2,6184,1,1,"1_0","1_0_0",0,10000,0
"1191",1190,NA,NA,31,111,54,31,NA,11631,NA,NA,NA,0,1,4,0,1,1,2551.616550115,0,NA,8,4,4,8,7,1,0,NA,NA,0,0,0,1,0,0,0,0,8,1,1,"1_0","1_0_0",NA,NA,NA
"1219",1218,0,2,21,111,84,41,0,11672,0,70,0,0,0,1,0,1,1,3343.5924884239,0,NA,971,3,3,9,7,1,1,0,1,0,0,0,1,0,0,0,1,971,1,1,"1_0","1_0_0",0,15000,0
"1232",1231,5,13,50,211,68,71,0,11692,0,400,0,483,1,5,1,3,2,2898.18523563797,1635,NA,18437,1,3,1,2,4,1,0,1,0,1,0,0,0,1,0,1,9218.5,1,1,"1_1","1_0_1",0,10172,0
"1247",1246,NA,NA,60,111,77,70,NA,11707,NA,NA,NA,0,0,7,0,1,1,1652.61988024129,0,NA,8933,5,1,7,5,1,0,NA,NA,0,0,1,0,0,0,0,0,8933,1,1,"1_0","1_0_0",NA,NA,NA
"1251",1250,1,1,20,111,84,41,1,11712,0,0,NA,0,0,1,0,1,1,3691.41737270993,0,8000,4705,3,3,9,7,1,1,0,0,0,0,0,1,0,1,1,0,4705,1,1,"1_1","1_0_1",NA,NA,NA
"1258",1257,NA,NA,38,111,68,71,NA,11722,NA,NA,NA,43,1,2,1,2,1.5,5109.60070820315,0,NA,12771,4,3,5,4,2,0,NA,NA,0,0,1,0,0,1,0,0,8514,1,1,"1_1","1_0_1",NA,NA,NA
"1267",1266,NA,NA,77,111,86,71,NA,11739,NA,NA,NA,0,0,3,0,1,1,3140.2545153129,0,NA,1988,6,1,9,7,1,0,NA,NA,0,0,0,1,0,0,0,0,1988,1,1,"1_0","1_0_0",0,0,3543
"1280",1279,2,2,50,120,42,31,0,11757,0,450,300,0,1,4,1,3,1.8,2455.86497634123,5171,NA,13542,1,1,0,2,4,3,0,1,0,1,0,0,0,0,2,1,7523.33333333333,1,1,"1_0","1_0_0",0,500,0
"1293",1292,6,6,51,111,54,43,0,11773,0,NA,0,0,2,5,2,5,3,1713.57909827194,3120,NA,25759,1,1,10,8,5,1,0,0,0,0,0,0,1,0,0,1,8586.33333333333,1,1,"1_0","1_0_0",0,15311,0
"1301",1300,1,11,20,111,56,41,2,11784,0,0,400,79,1,3,0,1,1,2975.13389755597,0,3500,6580,3,3,5,4,1,1,0,1,0,0,1,0,0,1,1,0,6580,1,1,"1_1","1_0_1",NA,NA,NA
"1302",1301,16,18,44,300,52,41,0,11785,0,390,780,0,2,5,2,4,2.3,1993.54293937846,3692,NA,2420,1,1,0,0,4,3,0,1,1,0,0,0,0,0,1,2,1052.17391304348,1,1,"1_0","1_1_0",0,17343,0
"1310",1309,8,15,39,112,22,41,0,11796,0,0,NA,0,1,3,1,2,1.3,3379.9891959085,0,NA,4273,1,2,8,0,2,1,0,0,1,0,0,0,0,1,1,0,3286.92307692308,1,1,"1_1","1_1_1",NA,NA,NA
"1314",1313,0,19,49,112,85,50,0,11800,0,0,NA,0,0,3,2,3,1.8,1810.76747147378,1300,NA,13100,6,3,8,0,2,1,0,0,1,0,0,0,0,1,1,0,7277.77777777778,1,1,"1_1","1_1_1",NA,NA,NA
"1316",1315,7,11,48,300,68,71,0,11802,0,NA,0,0,1,4,2,3,2,2954.13682614155,0,NA,18838,4,1,0,0,2,2,1,0,1,0,0,0,0,0,0,2,9419,1,1,"1_0","1_1_0",0,23000,0
"1326",1325,6,7,52,300,63,41,0,11816,0,200,0,0,1,5,0,1,1,1760.32573280632,0,NA,8418,1,2,0,0,1,1,0,1,1,0,0,0,0,1,0,1,8418,1,1,"1_1","1_1_1",0,20000,0
"1347",1346,NA,NA,48,111,67,71,NA,11845,NA,NA,NA,24,1,1,0,1,1,2342.00742649559,0,NA,9123,1,3,7,5,1,0,NA,NA,0,0,1,0,0,1,0,0,9123,1,1,"1_1","1_0_1",NA,NA,NA
