"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_07_2_2_1_1","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance","distance_autre_carbu","distance_diesel","distance_essence"
"4022",4021,3,22,56,111,54,50,0,15504,0,120,0,0,2,4,0,2,1.5,1208.88964042,1560,0,48100,1,1,9,7,3,2,0,1,0,0,0,1,0,0,0,2,32066.6666667,9,5,"9","9_0",5000,0,5000,0
"4026",4025,11,17,35,111,65,50,0,1551,0,760,0,0,2,6,2,4,2.1,2422.41404359,3120,0,61290,1,2,9,7,4,4,0,1,0,0,0,1,0,0,1,3,29185.7142857,9,5,"9","9_0",24480,0,24480,0
"4027",4026,7,19,32,112,38,31,0,15510,0,1000,0,0,2,6,2,4,2.1,4371.18304503,3068,0,67183,1,1,8,0,4,2,0,1,1,0,0,0,0,0,0,2,31991.9047619,9,5,"9","9_1",41859,0,41859,0
"4043",4042,0,22,53,112,31,42,0,15527,0,0,0,0,2,4,0,2,1.5,2757.75677843,0,0,55683,1,2,9,0,3,2,0,0,1,0,0,0,0,0,2,0,37122,9,5,"9","9_1",7000,0,0,7000
"4045",4044,2,2,49,111,52,50,0,15531,0,150,0,0,2,4,0,2,1.5,2143.37364874,0,0,52187,1,1,10,8,3,1,0,1,0,0,0,0,1,0,0,1,34791.3333333,9,5,"9","9_0",20000,0,20000,0
"4048",4047,1,1,62,112,75,10,1,15536,0,0,0,0,0,5,0,1,1,1512.14975851,3986,12000,29874,5,1,7,0,1,2,0,0,1,0,0,0,0,0,1,1,29874,9,5,"9","9_1",20000,0,20000,0
"4076",4075,2,17,51,300,38,50,0,15579,0,300,0,0,1,4,0,1,1,2404.37411388,0,0,30874,1,1,0,0,1,4,0,0,1,0,0,0,0,0,2,2,30874,9,5,"9","9_1",12000,0,12000,0
"4091",4090,6,6,69,111,75,30,0,15603,0,0,0,0,0,4,0,1,1,3295.4620691,1604,0,32497,5,1,5,4,1,1,0,0,0,0,1,0,0,0,1,0,32497,9,5,"9","9_0",5000,0,0,5000
"4130",4129,6,6,84,112,75,31,0,15659,0,0,0,0,0,7,0,1,1,2589.54546379,2099,0,34128,5,1,10,0,1,1,0,0,1,0,0,0,0,0,1,0,34128,9,5,"9","9_1",5108,0,0,5108
"4131",4130,0,0,65,111,74,70,0,1566,0,0,0,351,0,2,0,1,1,2167.3905894,0,0,29698,5,3,8,6,1,0,0,0,0,0,1,0,0,0,0,0,29698,9,5,"9","9_0",0,0,0,0
"4142",4141,11,11,61,111,74,10,0,15682,0,0,0,0,0,4,0,2,1.5,2025.59259951,1167,0,49317,5,1,10,8,3,1,0,0,0,0,0,0,1,0,1,0,32878,9,5,"9","9_0",10000,0,0,10000
"4143",4142,6,10,48,211,65,50,0,15686,0,700,0,0,1,5,0,1,1,1135.05275472,3640,0,36811,1,2,3,4,1,1,0,1,0,0,1,0,0,0,0,1,36811,9,5,"9","9_0",18625,0,18625,0
"4149",4148,4,4,40,111,43,10,0,15695,0,0,0,0,2,5,3,5,2.4,1472.9972309,0,0,84488,1,2,8,7,4,1,0,0,0,0,0,1,0,0,0,1,35203.3333333,9,5,"9","9_0",30000,0,30000,0
"4150",4149,3,5,38,111,42,20,0,15698,0,246,0,0,2,3,0,2,1.5,1816.75457269,0,0,45987,1,2,7,5,3,2,0,1,0,0,1,0,0,0,0,2,30658,9,5,"9","9_0",20000,0,20000,0
"4151",4150,0,0,21,111,56,71,0,15699,0,0,0,0,2,2,0,2,1.5,3657.79758744,0,0,45638,1,3,10,8,3,0,0,0,0,0,0,0,1,0,0,0,30425.3333333,9,5,"9","9_0",0,0,0,0
"4159",4158,3,7,48,111,37,50,0,1571,0,0,3,410,1,2,0,1,1,4038.61470457,0,0,31636,1,3,4,3,1,1,0,1,0,1,0,0,0,0,1,0,31636,9,5,"9","9_0",15000,0,0,15000
"4166",4165,0,0,44,111,21,41,1,1572,0,0,0,0,1,6,1,3,1.8,4136.17206793,0,75200,61126,4,1,9,7,4,2,0,0,0,0,0,1,0,0,0,2,33958.8888889,9,5,"9","9_0",10444,0,10444,0
"4187",4186,0,0,24,111,46,20,0,15749,0,0,0,500,1,2,0,1,1,3524.08451741,0,0,31585,1,3,9,7,1,0,0,0,0,0,0,1,0,0,0,0,31585,9,5,"9","9_0",0,0,0,0
"4199",4198,5,11,49,111,46,71,0,15764,0,0,99999,0,3,6,2,4,2.5,2707.99125283,0,0,74250,1,2,10,8,4,2,0,1,0,0,0,0,1,0,2,0,29700,9,5,"9","9_0",18666,0,0,18666
"4207",4206,1,3,29,111,55,31,2,15776,0,150,0,549,1,2,0,1,1,3355.9533402,0,16144,31869,1,3,8,6,1,1,0,1,0,0,1,0,0,0,0,1,31869,9,5,"9","9_0",12000,0,12000,0
"4210",4209,0,0,32,111,38,20,0,1578,0,0,0,494,1,1,0,1,1,3447.21661316,0,0,31566,1,3,10,8,1,0,0,0,0,0,0,0,1,0,0,0,31566,9,5,"9","9_0",0,0,0,0
"4219",4218,6,7,58,111,38,31,0,15789,0,135,0,0,2,4,0,2,1.5,2729.52537729,2209,0,48859,1,1,9,7,3,2,0,1,0,0,0,1,0,0,1,1,32572.6666667,9,5,"9","9_0",18525,0,6859,11666
"4244",4243,4,4,58,111,48,41,0,1604,0,0,0,0,1,2,0,1,1,3092.52112487,0,0,32193,1,1,7,5,1,1,0,0,0,0,1,0,0,0,1,0,32193,9,5,"9","9_0",15000,0,0,15000
"4248",4247,8,8,53,111,43,33,0,1610,0,0,30,0,1,2,0,1,1,1799.0872937,0,0,32588,1,2,6,4,1,1,0,1,0,0,1,0,0,0,1,0,32588,9,5,"9","9_0",17000,0,0,17000
"4255",4254,3,3,42,111,48,31,0,1620,0,0,250,0,2,5,2,4,2.1,2183.54088923,3068,0,65311,1,2,8,7,4,1,0,1,0,0,0,1,0,0,1,0,31100.4761905,9,5,"9","9_0",6000,0,0,6000
"4256",4255,13,13,73,111,74,31,0,1624,0,0,0,0,0,5,0,2,1.5,4019.35824512,0,0,52310,5,1,9,7,3,2,0,0,0,0,0,1,0,0,0,2,34873.3333333,9,5,"9","9_0",12000,0,12000,0
"4264",4263,0,0,78,111,75,41,0,1639,0,0,0,0,0,4,0,1,1,4681.85919808,0,0,32780,5,1,10,8,1,0,0,0,0,0,0,0,1,0,0,0,32780,9,5,"9","9_0",0,0,0,0
"4289",4288,8,8,73,120,72,50,0,1666,0,0,0,0,0,6,0,2,1.5,1804.50619768,0,0,45512,5,1,0,1,3,1,0,0,0,1,0,0,0,0,1,0,30341.3333333,9,5,"9","9_0",9000,0,0,9000
"4308",4307,3,3,33,112,38,12,0,1694,0,0,0,0,2,4,2,4,2.1,1792.75525327,3195,0,71544,1,2,9,0,4,2,0,0,1,0,0,0,0,0,0,2,34068.5714286,9,5,"9","9_1",45908,0,45908,0
"4313",4312,19,19,91,111,74,10,0,170,0,0,0,0,0,4,0,1,1,2064.28090199,0,0,30877,5,1,7,5,1,1,0,0,0,0,1,0,0,0,0,1,30877,9,5,"9","9_0",6000,0,6000,0
"4318",4317,2,2,64,111,74,42,0,1705,0,0,0,0,0,6,0,2,1.5,1722.93195337,6306,0,50624,5,1,7,6,3,2,0,0,0,0,1,0,0,0,1,1,33749.3333333,9,5,"9","9_0",27000,0,14000,13000
