,age_carte_grise,age_vehicule,agepr,cataeu,cs42pr,dip14pr,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1_1,prix_achat,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3
20,2.0,3.0,80.0,112,75,41,0.0,10023,0.0,99999.0,84.0,0.0,0.0,4.0,0.0,2.0,1.5,2358.517384134897,0.0,0.0,36047.0,5,1,6,0.0,3,2.0,1.0,1.0,1,0,0,0,0,0,1.0,1.0,24031.333333333332,4,0,4_0,4_1
21,4.0,5.0,57.0,111,46,41,0.0,10024,0.0,24.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1183.8782637373797,1303.12,0.0,27200.0,1,2,8,7.0,1,1.0,0.0,1.0,0,0,0,1,0,0,0.0,1.0,27200.0,4,0,4_0,4_0
22,17.0,21.0,67.0,400,75,44,0.0,10025,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.5,1489.0665280073092,0.0,0.0,49124.0,5,1,0,1.0,3,2.0,0.0,0.0,0,1,0,0,0,0,1.0,1.0,32749.333333333332,5,0,5,5_0
23,2.0,2.0,61.0,400,21,50,0.0,10027,0.0,0.0,15.0,0.0,2.0,7.0,0.0,2.0,1.5,1826.9007474498637,0.0,0.0,23309.0,1,1,0,0.0,3,2.0,0.0,1.0,1,0,0,0,0,0,1.0,1.0,15539.333333333334,2,0,2_0,2_1
24,2.0,5.0,94.0,111,77,41,0.0,10028,0.0,180.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3099.0424474992815,0.0,0.0,23951.0,5,1,9,7.0,1,1.0,0.0,1.0,0,0,0,1,0,0,0.0,1.0,23951.0,4,0,4_0,4_0
25,3.0,3.0,83.0,111,71,71,0.0,10029,0.0,108.0,280.0,0.0,0.0,4.0,0.0,1.0,1.0,2319.6124029501498,0.0,0.0,13330.0,5,4,8,7.0,1,2.0,0.0,1.0,0,0,0,1,0,0,1.0,1.0,13330.0,1,0,1_0,1_0
26,0.0,0.0,75.0,300,74,20,0.0,1003,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.5,2502.8744272918652,2413.84,0.0,86138.0,5,1,0,0.0,3,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,57425.333333333336,5,0,5,5_1
27,3.0,8.0,40.0,111,38,31,0.0,10031,0.0,400.0,0.0,700.0,1.0,1.0,0.0,1.0,1.0,3084.972843542195,0.0,0.0,9115.0,1,3,10,8.0,1,1.0,0.0,1.0,0,0,0,0,1,0,0.0,1.0,9115.0,1,0,1_0,1_0
28,1.0,6.0,67.0,211,72,70,2.0,10032,0.0,40.0,150.0,0.0,1.0,4.0,0.0,2.0,1.5,1692.7512095508978,2340.0,4000.0,31748.0,5,1,1,2.0,3,3.0,0.0,1.0,0,1,0,0,0,0,2.0,1.0,21165.333333333332,3,0,3_0,3_0
29,1.0,1.0,38.0,112,63,41,2.0,10034,0.0,200.0,0.0,0.0,2.0,5.0,3.0,5.0,2.4,1529.016562525534,0.0,18400.0,33099.0,1,2,8,1.0,4,1.0,1.0,1.0,0,1,0,0,0,0,0.0,1.0,13791.25,1,0,1_0,1_0
