,Unnamed: 0,X,age_carte_grise,age_vehicule,agepr,cataeu,cs42pr,dip14pr,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1_1,prix_achat,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3,distance,distance_autre_carbu,distance_diesel,distance_essence,age_carte_grise.1,age_vehicule.1,distance_routiere_hebdomadaire_teg,duree_moyenne_trajet_aller_retour_teg,mode_principal_deplacement_teg,vp_deplacements_pro.1,vp_domicile_travail.1,depenses_carburants_corrigees_entd,depenses_diesel_corrigees_entd,depenses_essence_corrigees_entd
14,171,170,3,3,32,112,43,50,0,10215,0,750,0,52,1,3,1,2,1.3,599.85662962,0.0,0,14056.0,4,3,9,3,2,2,0,1,0,1,0,0,0,0,0,2,10812.3076923077,1,1,1_0,1_0,24000,0,24000,0,2,2,0.0,20.0,3.3,0,1,1397.7636160723619,1397.7636160723619,0.0
15,187,186,7,7,61,111,56,50,0,10235,0,99999,145,0,2,3,1,3,2.0,1897.1538616,440.96,0,10130.0,1,2,9,7,4,2,0,1,0,0,0,1,0,0,1,1,5065.0,1,1,1_0,1_0,10000,0,10000,0,4,7,0.0,7.33333333333333,1.1,0,1,582.4015066968174,582.4015066968174,0.0
16,195,194,1,5,47,112,56,50,2,10244,0,0,0,0,1,3,0,2,1.5,1738.6445445,1040.0,8200,13500.0,4,3,9,3,3,1,1,0,0,1,0,0,0,0,0,1,9000.0,1,1,1_0,1_0,10000,0,10000,0,3,6,0.0,20.0,1.1,0,0,582.4015066968174,582.4015066968174,0.0
17,206,205,2,2,39,400,85,30,0,10262,0,0,0,0,1,5,5,7,3.0,1809.2095938,0.0,0,13612.0,6,1,0,0,4,1,0,0,1,0,0,0,0,0,1,0,4537.33333333333,1,1,1_0,1_1,7000,0,0,7000,5,11,0.0,0.0,0.0,0,0,778.128857630509,0.0,778.128857630509
18,208,207,4,8,49,300,85,42,0,10264,0,0,100149,0,0,4,0,1,1.0,1870.9359087,2132.52,0,481.0,4,4,0,1,1,2,0,1,0,1,0,0,0,0,2,0,481.0,1,1,1_0,1_0,2500,0,0,2500,3,5,0.0,0.0,0.0,0,0,145.60037667420434,0.0,145.60037667420434
19,209,208,13,13,45,211,69,71,0,10265,0,410,0,86,1,4,4,6,3.1,3723.5739298,2080.0,0,31821.0,1,3,1,2,4,1,0,1,0,1,0,0,0,0,0,1,10264.8387096774,1,1,1_0,1_0,17102,0,17102,0,4,10,0.0,0.0,0.0,0,0,996.0230567528971,996.0230567528971,0.0
20,236,235,2,2,22,111,34,30,0,10299,0,0,0,78,2,3,0,2,1.5,5073.6441742,0.0,0,8672.0,3,3,9,7,5,2,0,0,0,0,0,1,0,0,1,1,5781.33333333333,1,1,1_0,1_0,11000,0,11000,0,3,6,38.0,45.0,3.3,0,1,640.6416573664992,640.6416573664992,0.0
21,237,236,3,8,18,111,84,43,0,103,0,0,0,0,0,2,0,1,1.0,2129.2120248,0.0,0,2211.0,3,3,8,7,1,1,0,0,0,0,0,1,0,0,1,0,2211.0,1,1,1_0,1_0,3452,0,0,3452,8,8,0.0,0.0,0.0,0,0,201.04500011174136,0.0,201.04500011174136
22,246,245,4,4,45,221,21,44,0,10311,0,0,0,0,1,4,0,1,1.0,1424.672553,1691.56,0,3404.0,1,2,1,3,1,1,0,0,0,1,0,0,0,0,0,1,3404.0,1,1,1_0,1_0,41226,0,41226,0,8,8,0.0,0.0,0.0,0,0,2401.0084515082995,2401.0084515082995,0.0
23,248,247,2,2,45,111,85,71,0,10313,0,500,400,0,0,4,3,4,1.9,765.90380895,0.0,0,19248.0,6,3,8,6,2,2,1,1,0,0,1,0,0,0,1,1,10130.5263157895,1,1,1_0,1_0,12000,0,12000,0,3,9,0.0,0.0,0.0,0,1,698.8818080361809,698.8818080361809,0.0
24,251,250,5,5,43,300,67,71,0,10322,0,0,0,163,1,4,3,4,2.1,464.36740086,2600.0,0,17489.0,4,3,0,0,2,2,0,0,1,0,0,0,0,0,0,2,8328.09523809524,1,1,1_0,1_1,18059,0,18059,0,0,8,0.0,0.0,0.0,1,0,2007.4612914213374,2007.4612914213374,0.0
25,258,257,0,0,55,112,67,71,0,1033,0,0,0,0,1,2,0,1,1.0,3467.4019257,0.0,0,9189.0,4,3,7,0,1,0,0,0,1,0,0,0,0,0,0,0,9189.0,1,1,1_0,1_1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
