,age_carte_grise,age_vehicule,agepr,cataeu,consommation,cs42pr,dip14pr,distance_autre_carbu,distance_commerces,distance_diesel,distance_essence,distance_transports_communs,etat_veh_achat,ident_men,mloy_d,nactifs,nbphab,nenfants,nivie10,npers,ocde10,pondmen,puissance,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3
16107,7.0,7.0,79.0,211.0,6.0,77.0,50.0,0.0,2.0,10000.0,0.0,3.0,1.0,73140102000.0,0.0,0.0,6.0,0.0,3.0,2.0,1.5,1171.833572,5.0,5.0,2.0,4.0,4.0,3.0,2.0,0.0,0.0,0,0,1,0,0,0,0.0,2.0,12000.0,3,2,3_0,3_0_0
16108,2.0,2.0,78.0,211.0,6.5,75.0,50.0,0.0,1.0,0.0,10000.0,1.0,1.0,73140202000.0,0.0,0.0,4.0,0.0,2.0,2.0,1.5,953.6334025,6.0,5.0,2.0,4.0,4.0,3.0,1.0,0.0,0.0,0,0,1,0,0,0,1.0,0.0,10392.0,2,1,2_0,2_0_0
16109,6.0,6.0,52.0,211.0,7.0,55.0,50.0,0.0,4.0,0.0,7000.0,1.0,1.0,73140302000.0,0.0,2.0,5.0,0.0,5.0,2.0,1.5,781.31485361,7.0,1.0,2.0,4.0,4.0,3.0,1.0,0.0,1.0,0,0,1,0,0,0,1.0,0.0,15696.0,5,3,5,5_0
16110,5.0,17.0,44.0,211.0,6.0,56.0,20.0,0.0,1.0,15000.0,0.0,1.0,3.0,73140404000.0,142.0,1.0,2.0,0.0,4.0,1.0,1.0,2248.9689329,5.0,1.0,4.0,4.0,4.0,1.0,1.0,0.0,1.0,0,0,1,0,0,0,0.0,1.0,12480.0,4,2,4_0,4_0_0
16111,7.0,8.0,45.0,211.0,7.0,52.0,50.0,0.0,1.0,5000.0,0.0,1.0,2.0,73140502000.0,550.0,1.0,5.0,2.0,2.0,3.0,2.0,1071.0540027,6.0,1.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,0,0,1,0,0,1,0.0,1.0,9000.0,2,1,2_1,2_0_1
16112,,,36.0,211.0,,85.0,71.0,,1.0,,,1.0,,73140602000.0,0.0,0.0,4.0,4.0,1.0,5.0,2.4,1286.3933356,,6.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0,0,1,0,0,1,0.0,0.0,3504.0,1,1,1_1,1_0_1
16113,3.0,3.0,74.0,211.0,7.0,72.0,50.0,0.0,2.0,0.0,8000.0,4.0,1.0,73141002000.0,0.0,0.0,4.0,0.0,4.0,2.0,1.5,660.18412775,6.0,5.0,2.0,4.0,4.0,3.0,2.0,0.0,0.0,0,0,1,0,0,0,2.0,0.0,12252.0,4,2,4_0,4_0_0
16114,1.0,3.0,64.0,211.0,10.0,74.0,20.0,0.0,4.0,6859.0,0.0,4.0,3.0,73141202000.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,436.2617971,11.0,5.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,1.0,10548.0,3,2,3_0,3_0_0
16115,1.0,6.0,37.0,111.0,7.0,31.0,20.0,0.0,1.0,7716.0,0.0,1.0,4.0,73141402000.0,650.0,2.0,3.0,1.0,4.0,3.0,1.8,1234.119232,5.0,1.0,4.0,9.0,7.0,4.0,1.0,0.0,1.0,0,0,0,1,0,0,0.0,1.0,13332.0,4,2,4_0,4_0_0
16116,18.0,18.0,71.0,111.0,,72.0,50.0,0.0,1.0,16337.0,0.0,1.0,3.0,73141512000.0,0.0,0.0,4.0,0.0,1.0,3.0,2.0,538.64350753,7.0,5.0,2.0,9.0,7.0,5.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,1.0,7200.0,1,1,1_0,1_0_0
