;change_in_diesel;change_in_essence;change_in_combustibles_liquides;change_in_gaz_ville
0;-0.026518657370221247;-0.014268758506636019;-0.043319522971371038;-0.031389019150855763
1;-0.025414234345190703;-0.013093138661156823;-0.040866544853206441;-0.030438231157183505
2;-0.022219921237661127;-0.011847882820764011;-0.037606324676002056;-0.024521670431685585
3;-0.022300779332148996;-0.011075120877331869;-0.035527005991991323;-0.021490185323361787
4;-0.017690369408625273;-0.0087318194826054851;-0.037807032191444205;-0.016663410729701865
