"","X","ident_men","pondmen","agepr","cataeu","chomage","cs42pr","nactifs","nactoccup","npers","ocde10","prest_precarite_hand","prest_precarite_rsa","prest_precarite_vieil","retraites","rev_valeurs_mobilieres_bruts","rev_etranger","rev_disponible","rsa_act","salaires","stalog","tau","tuu","typmen","donation_class_1","revdecm"
"5655",5654,8605,2331.2919660625,34,112,0,53,2,2,2,1.5,0,0,0,0,0,0,57457,0,60540,2,9,2,3,2,69270
"5659",5658,8613,1018.20512245944,46,120,0,65,2,2,4,2.5,0,0,0,0,0,0,64700.75,0,69070,2,0,1,4,2,70120
"5662",5661,8616,3424.28719992532,23,111,4080,64,2,2,2,1.5,0,0,0,0,0,0,20295,0,16070,2,9,7,3,2,16350
"5664",5663,8620,1739.98177457043,38,111,18940,56,2,2,4,2.3,0,0,0,0,0,0,32469.5,0,8990,2,6,4,4,2,36020
"5666",5665,8622,2147.01890053653,54,400,0,64,2,2,2,1.5,0,0,0,0,0,0,25362.4,0,25670,1,0,0,3,2,20580
"5669",5668,8626,1637.98827772671,48,112,0,52,2,2,5,2.8,0,0,0,0,66,0,30454.75,0,18630,1,6,0,4,2,17560
"5670",5669,8627,3799.46879957733,32,111,0,38,2,2,2,1.5,0,0,0,0,0,0,49543.1,0,53460,3,10,8,3,2,54280
"5672",5671,8629,2377.03648865131,34,300,0,47,2,2,4,2.1,0,0,0,0,0,0,45201.45,0,34130,2,0,0,4,2,53030
"5673",5672,8630,3622.4845695671,53,400,0,11,2,2,2,1.5,0,0,0,0,0,0,9918.9,0,0,1,0,0,3,2,10160
"5674",5673,8631,2775.08179637991,46,112,0,52,2,2,3,1.8,0,0,0,0,0,0,46347.8,0,48230,2,5,0,4,2,55100
"5676",5675,8634,2125.77428492406,39,111,0,64,2,1,3,1.8,0,0,0,0,0,0,20505.7,0,14590,3,9,7,4,2,12470
"5682",5681,8644,1336.53298877677,45,300,0,47,2,2,4,2.3,0,0,0,0,0,0,39676.55,0,38770,2,0,0,4,2,43790
"5691",5690,8659,1927.50236362944,36,112,0,52,2,2,2,1.5,0,0,0,0,0,0,31804.1,0,33770,2,9,1,3,2,32490
"5692",5691,8660,2680.21734616428,48,112,10850,63,2,1,4,2.3,0,0,0,0,0,0,28344.3,0,15780,2,7,0,4,2,29310
"5696",5695,8669,1986.10240066997,53,400,0,37,2,2,4,2.5,0,0,0,0,0,0,50102.95,0,55590,1,0,0,4,2,60430
"5703",5702,8677,1116.23853375796,32,111,0,43,2,2,5,2.4,0,0,0,0,0,0,55161.85,0,31430,2,9,7,4,2,57930
"5704",5703,8678,2049.03496436129,51,112,0,47,2,2,2,1.5,0,0,0,0,0,0,47697.7,0,52260,1,8,0,3,2,51700
"5705",5704,8679,2827.37965141421,44,112,0,55,2,2,3,1.8,0,0,0,0,0,0,47760.35,0,49160,2,9,0,4,2,57930
"5716",5715,8696,1574.48480078944,47,111,0,46,2,2,3,2,0,0,0,0,0,0,37146.1,0,37800,3,5,4,2,2,39910
"5717",5716,8699,1739.5933821922,44,112,0,53,2,2,4,2.3,0,0,0,0,0,0,65824.7,0,74360,2,9,3,4,2,91090
"5719",5718,8702,2587.24963798845,25,300,8360,69,2,0,3,1.8,0,0,0,0,0,0,23582.3,0,9890,3,0,0,4,2,22820
"5721",5720,8705,3706.18828539787,36,111,0,37,2,2,4,2.1,0,0,0,0,0,0,63040.65,0,60560,2,9,7,4,2,79990
"5723",5722,8708,3424.77869135415,27,111,0,33,2,2,2,1.5,0,0,0,0,0,0,29390.85,0,30730,3,8,7,3,2,23500
"5724",5723,8711,1010.17730396923,53,112,0,64,2,2,2,1.5,0,0,0,0,0,0,46390.85,0,49200,2,10,0,3,2,50660
"5732",5731,8727,4343.14439263023,54,112,12880,43,2,1,3,2,0,0,0,0,0,0,46363.45,0,35750,2,7,0,4,2,57440
"5736",5735,8734,2123.88625648592,42,221,0,48,2,2,4,2.3,0,0,0,0,0,0,23458.1,0,19990,3,1,1,4,2,26330
"5739",5738,8739,6161.07928668074,37,111,0,21,2,2,4,2.1,0,0,0,0,0,0,53927.5,0,16730,1,4,4,4,2,51780
