"","X","ident_men","pondmen","agepr","cataeu","chomage","cs42pr","nactifs","nactoccup","npers","ocde10","prest_precarite_hand","prest_precarite_rsa","prest_precarite_vieil","retraites","rev_valeurs_mobilieres_bruts","rev_etranger","rev_disponible","rsa_act","salaires","stalog","tau","tuu","typmen","donation_class_1","revdecm"
"2",1,2,656.70655944347,77,300,0,71,0,0,2,1.5,0,0,0,18720,0,0,25288.5,0,0,1,0,0,3,0,30270
"3",2,3,3494.51619730826,20,111,0,84,0,0,1,1,0,0,0,0,0,0,6007,0,0,3,8,7,1,0,80
"10",9,12,3847.42308842512,75,111,0,75,0,0,1,1,0,0,0,20510,0,0,20290.85,0,0,3,9,7,1,0,24650
"11",10,13,2997.94313624583,65,111,0,78,0,0,2,1.5,0,0,0,30950,0,0,29746.5,0,0,1,8,6,3,0,29810
"18",17,22,2739.63997746812,75,221,0,77,0,0,2,1.5,0,0,0,31830,0,0,30333.8,0,0,1,1,1,3,0,41730
"20",19,24,2041.88523561573,68,111,0,74,0,0,2,1.5,0,0,0,45550,0,0,38891.8,0,0,1,9,7,3,0,57510
"21",20,26,1979.13039415737,75,221,0,72,0,0,2,1.5,0,0,0,19100,0,0,20455,0,0,5,1,2,3,0,25320
"22",21,27,1834.42587481825,64,112,0,77,0,0,1,1,0,0,2670,6040,0,0,10977.4,0,0,1,8,2,1,0,0
"24",23,32,3495.06329161857,68,112,0,74,0,0,2,1.5,0,0,0,96860,0,0,82067.4,0,0,5,9,1,3,0,213110
"25",24,36,2565.97415459213,58,111,0,75,0,0,2,1.5,0,0,0,42350,0,0,39646.45,0,0,1,9,7,3,0,44690
"30",29,43,4750.34743819285,86,111,0,72,0,0,1,1,0,0,0,13450,0,0,13565,0,0,3,4,3,1,0,8500
"32",31,45,1375.82605633765,82,111,0,75,0,0,2,1.5,0,0,0,32710,0,0,31813.55,0,0,3,8,7,3,0,44020
"34",33,50,1641.86881775581,69,112,0,77,0,0,1,1,0,0,0,21110,0,0,24906.65,0,0,1,8,0,1,0,27010
"36",35,56,2665.46899130069,66,112,0,72,0,0,2,1.5,0,0,0,20960,445,0,24156.75,0,0,1,10,4,3,0,27800
"46",45,73,1596.78015378068,65,111,0,75,0,0,2,1.5,0,0,0,37640,0,0,43718.8,0,2440,1,8,7,3,0,15920
"50",49,81,3373.23869376706,65,111,0,74,0,0,2,1.5,0,0,0,21880,227,0,81859.55,0,9280,1,9,7,3,0,186020
"51",50,83,1403.78041864602,70,300,0,71,0,0,2,1.5,0,0,0,19930,0,0,22266.1,0,0,1,0,0,3,0,27350
"52",51,84,1717.57306219909,72,111,0,78,0,0,2,1.5,0,0,0,29220,0,0,28416.7,0,1160,1,10,8,3,0,34810
"56",55,90,4976.1992833094,65,112,0,77,0,0,1,1,0,0,0,2440,0,0,1715.35,0,0,3,9,3,1,0,0
"57",56,91,2776.40863140352,66,111,0,77,0,0,1,1,0,0,0,15240,0,0,15024.15,0,0,1,8,7,1,0,15120
"62",61,99,2204.15368474896,60,120,0,78,0,0,2,1.5,0,0,0,25540,0,0,24918.5,0,0,1,0,0,3,0,30110
"65",64,103,3213.44354688311,73,400,0,77,0,0,1,1,0,0,0,11360,0,0,12636,0,0,3,0,0,1,0,0
"71",70,112,3115.85596265283,76,111,0,78,0,0,2,1.5,0,0,0,21280,0,0,21331,0,0,3,9,7,3,0,22210
"76",75,119,4168.75399277601,77,112,0,77,0,0,2,1.5,0,0,0,23190,11,0,21725.85,0,0,1,7,0,3,0,22490
"84",83,129,2923.60160763947,84,221,0,74,0,0,2,1.5,0,0,0,33810,0,0,33626.85,0,0,1,1,2,3,0,41060
"87",86,133,3403.26956605739,82,300,0,71,0,0,2,1.5,0,0,0,13450,0,0,14734.7,0,0,1,0,0,2,0,17110
"91",90,137,3117.08265836012,30,111,21650,84,0,0,1,1,0,0,0,0,0,0,22170,0,0,3,8,7,1,0,27690
"93",92,139,3497.76810841345,67,111,0,75,0,0,1,1,0,0,0,27860,0,0,24790.6,0,0,1,9,7,1,0,28690
"95",94,145,3543.68071095777,89,112,0,71,0,0,2,1.5,0,0,0,16580,0,0,16251.75,0,0,1,6,0,3,0,18400
"98",97,150,2732.18621204544,66,111,0,75,0,0,1,1,0,0,0,17370,0,0,16962.5,0,440,3,8,6,1,0,19310
"100",99,153,1797.4026435823,78,300,0,71,0,0,2,1.5,0,0,0,19410,382,0,21934.7,0,0,1,0,0,3,0,24470
"103",102,157,3329.98398492858,19,111,0,84,0,0,1,1,0,0,0,0,0,0,2400,0,0,3,8,7,1,0,0
"104",103,158,2717.96736009448,46,111,0,85,0,0,2,1.5,1490,5880,0,0,0,0,7370,0,0,4,8,7,3,0,6830
"107",106,164,2097.0647676458,61,111,0,74,0,0,1,1,0,0,0,20590,0,0,25559.1,0,6040,5,9,7,1,0,31980
"112",111,170,2064.28090198558,91,111,0,74,0,0,1,1,0,0,0,25230,120,0,30127.55,0,0,1,7,5,1,0,6270
"114",113,177,1029.66572448887,73,112,0,78,0,0,2,1.5,0,0,0,34020,0,0,34725.6,0,0,1,8,2,3,0,45300
"116",115,180,2636.69256708809,77,111,0,77,0,0,1,1,0,0,0,20580,0,0,20355.8,0,0,3,8,6,1,0,23590
"121",120,185,2189.64631779538,66,111,0,74,0,0,2,1.5,0,0,0,50930,1888,0,52572.95,0,0,1,6,5,3,0,76410
"124",123,189,1069.57724370119,59,112,0,78,0,0,2,1.5,0,0,0,23090,0,0,22368.55,0,0,1,9,2,3,0,27930
"127",126,193,5162.07821372362,86,221,0,78,0,0,2,1.5,0,0,0,26030,6,0,26789.45,0,0,1,1,2,3,0,33920
"129",128,196,5417.54489290069,74,120,0,77,0,0,2,1.5,0,0,0,29830,0,0,27990.9,0,260,1,0,2,3,0,34540
"134",133,207,2042.86815526605,63,112,3910,77,0,0,2,1.5,0,0,0,25640,0,0,28312.35,0,0,5,6,0,3,0,35720
"135",134,208,3138.32164308326,78,112,0,78,0,0,1,1,0,0,0,16400,0,0,14846.8,0,0,1,8,1,1,0,17480
"137",136,212,4096.87468919734,60,111,5520,77,0,0,1,1,0,0,0,5330,0,0,13990,0,0,3,8,7,1,0,17840
"138",137,215,2971.5614613485,73,111,0,77,0,0,1,1,0,0,0,33320,0,0,30176.9,0,0,1,10,8,1,0,35300
"143",142,221,2493.39018895764,63,111,0,77,0,0,1,1,0,0,0,11650,0,0,11561.2,0,0,1,5,4,1,0,11690
"146",145,228,4058.50846202965,88,111,0,77,0,0,1,1,0,0,0,22480,0,0,22351.15,0,0,3,8,7,1,0,22530
"156",155,243,2177.89028380472,62,111,0,78,0,0,7,3.2,0,0,0,22660,0,0,36563,0,0,3,10,8,4,0,48590
"161",160,249,2650.9502889902,63,111,0,78,0,0,2,1.5,0,0,0,44980,0,0,41620.1,0,0,3,9,7,3,0,56750
"165",164,256,3330.05823225049,67,300,0,78,0,0,2,1.5,0,0,0,27230,0,0,26456.3,0,0,1,0,0,3,0,20990
"171",170,265,1712.09358212807,61,112,0,72,0,0,2,1.5,0,0,0,23440,52,0,39595.2,0,8980,1,7,1,3,0,51920
"172",171,266,4088.49623521809,84,111,0,78,0,0,2,1.5,0,0,0,27890,0,0,27834.85,0,0,3,10,8,3,0,34810
"174",173,268,1358.50256817269,64,300,0,74,0,0,3,2,0,0,0,44840,0,0,43110.75,0,0,1,0,0,4,0,58850
"178",177,275,3360.85287749251,69,111,0,86,0,0,2,1.5,0,0,0,9450,0,0,12750,0,0,3,9,7,5,0,14540
"181",180,280,3564.62372810352,19,111,0,84,0,0,1,1,0,0,0,0,0,0,2192,0,0,5,8,7,1,0,0
"183",182,282,1359.48796573659,70,111,0,74,0,0,2,1.5,0,0,0,54520,635,0,51408.75,0,0,1,4,4,3,0,73150
"185",184,284,2264.50390009945,32,111,0,85,0,0,3,1.8,8750,0,0,0,0,0,15520,0,1720,3,8,7,4,0,19330
"191",190,293,2389.36661009873,63,111,0,77,0,0,1,1,0,0,0,16030,0,0,15141.8,0,0,3,7,5,1,0,15860
"196",195,301,2228.18007664174,75,111,0,75,0,0,2,1.5,0,0,0,23910,0,0,23305.75,0,0,3,10,8,3,0,26390
"199",198,304,2368.88009561033,58,112,0,75,0,0,2,1.5,0,0,0,34860,0,0,32829.15,0,0,1,7,0,3,0,39670
"200",199,307,1429.16900643567,65,221,0,77,0,0,1,1,0,0,0,8780,0,0,8660.5,0,0,1,1,2,1,0,8250
"201",200,309,2458.88359624074,64,111,0,78,0,0,1,1,0,0,0,9360,0,0,9486,0,0,3,9,7,1,0,7870
"202",201,311,2848.89201655327,79,111,0,75,0,0,1,1,0,0,0,31370,0,0,32202.9,0,0,3,8,7,1,0,41660
"203",202,312,1961.06543761357,66,111,0,78,0,0,2,1.5,9150,0,0,12970,0,0,24538,0,0,3,7,5,3,0,28050
"208",207,324,2034.92694129162,71,111,0,74,0,0,2,1.5,0,0,0,59310,706,0,75546.9,0,0,1,10,8,3,0,90650
"212",211,329,2316.29831735012,66,111,0,74,0,0,1,1,0,0,0,34540,308,0,31137.05,0,0,1,8,7,1,0,37750
"215",214,332,3095.10231665721,59,111,0,78,0,0,1,1,0,0,0,3170,0,0,5570,0,0,3,9,7,1,0,70
"222",221,346,1699.97805676574,84,300,0,72,0,0,2,1.5,0,0,0,9980,0,0,10108.85,0,0,1,0,0,3,0,13160
"227",226,351,1410.13527901124,65,300,0,78,0,0,2,1.5,0,0,0,29230,0,0,27806.55,0,0,1,0,0,3,0,34360
"228",227,352,5611.5800169882,76,111,0,78,0,0,2,1.5,0,0,0,23620,0,0,23661.6,0,0,3,4,4,3,0,24720
"230",229,355,2430.2948155227,65,112,0,78,0,0,1,1,0,0,0,12810,0,0,12630.7,0,0,3,6,1,1,0,11260
"232",231,357,2748.04326273962,70,112,0,72,0,0,1,1,0,0,0,16780,0,0,17928.15,0,0,1,9,0,1,0,9390
"237",236,365,1357.84901373654,70,111,0,77,0,0,1,1,0,0,0,16180,0,0,16161.95,0,0,5,7,6,1,0,11850
"240",239,368,2351.46060803737,32,111,0,85,0,0,4,1.9,0,4760,0,0,0,0,23415,0,0,3,9,7,2,0,24190
"250",249,383,3351.21913324816,62,221,0,72,0,0,2,1.5,0,0,0,18030,16,0,18285,0,0,2,1,2,3,0,22510
"253",252,388,2756.41483191634,86,111,0,74,0,0,2,1.5,0,0,0,42240,0,0,38028.55,0,0,1,9,7,3,0,46740
"262",261,401,1812.12052806029,67,300,0,77,0,0,2,1.5,0,0,0,18020,0,0,18060.8,0,0,1,0,0,3,0,22420
"264",263,404,2019.37878629667,77,112,0,71,0,0,2,1.5,0,0,0,17710,0,0,17547,0,0,1,4,0,3,0,0
"265",264,407,1872.73416099251,61,111,0,75,0,0,2,1.5,0,0,0,42080,0,0,43016.75,0,0,1,3,4,3,0,55070
"275",274,418,4283.60002683278,22,111,0,84,0,0,1,1,0,0,0,0,0,0,6119.4,0,0,3,9,7,1,0,4810
"278",277,424,2474.78796099429,64,111,0,77,0,0,1,1,0,0,0,19340,0,0,17932.2,0,0,3,9,7,1,0,22280
"282",281,430,5180.13300457785,68,112,0,74,0,0,1,1,0,0,0,36310,28,0,32760.95,0,0,1,9,2,1,0,42330
"283",282,431,2383.70491905719,69,111,0,75,0,0,1,1,0,0,0,32320,0,0,29146.8,0,510,3,9,7,1,0,36180
"287",286,440,4495.27203615039,25,111,0,84,0,0,1,1,0,0,0,0,0,0,6341.9,0,3400,3,9,7,1,0,2400
"289",288,442,2281.4046746389,46,300,0,85,0,0,2,1.3,0,0,0,12950,0,0,13116.85,0,0,1,0,0,2,0,14330
"294",293,449,4943.5284181796,21,111,0,84,0,0,2,1.5,0,0,0,0,0,0,11534,0,0,3,8,7,5,0,11920
"295",294,450,4167.31651171765,24,111,0,84,0,0,1,1,0,0,0,0,0,0,11696,0,0,3,9,7,1,0,12140
"296",295,453,2066.44124804255,82,400,0,71,0,0,2,1.5,0,0,0,16760,15,0,16615.15,0,0,1,0,0,3,0,19510
"300",299,458,2270.04225178545,59,112,0,74,0,0,2,1.5,0,0,0,24940,30,0,28643.8,0,0,1,7,4,3,0,29880
"302",301,461,3949.25477879962,62,120,0,77,0,0,2,1.5,0,0,0,42300,0,0,56754.05,0,0,1,0,2,3,0,68240
"303",302,462,2087.31364047621,67,221,0,75,0,0,2,1.5,0,0,0,31410,0,0,29484.85,0,0,1,1,2,3,0,37190
"305",304,466,1695.36646678684,63,120,0,74,0,0,2,1.5,0,0,0,52680,988,0,49526.45,0,0,1,0,0,3,0,71400
"311",310,475,1230.58336119181,62,111,0,77,0,0,2,1.5,0,0,0,36510,0,0,36349.75,0,0,1,6,4,3,0,47210
"312",311,476,3311.73527886924,85,120,0,78,0,0,2,1.5,0,0,0,18860,0,0,18566.2,0,0,1,0,0,3,0,8210
"314",313,479,1984.0411316086,60,400,0,75,0,0,2,1.5,0,0,0,29490,0,0,31159.95,0,0,1,0,0,3,0,35200
"318",317,486,2795.91317311556,64,111,0,77,0,0,2,1.5,0,0,0,26490,0,0,26648.6,0,0,3,9,7,3,0,30270
"320",319,488,2592.54708153703,70,111,0,72,0,0,2,1.5,0,0,0,29770,0,0,28057.3,0,0,3,9,7,3,0,31980
"321",320,490,611.875307117258,69,112,0,75,0,0,2,1.5,0,0,0,39750,85,0,36453.6,0,0,1,10,0,3,0,46740
"323",322,497,2523.27366450163,71,111,0,78,0,0,2,1.5,0,0,0,24000,0,0,23166.9,0,0,1,6,5,3,0,24630
"324",323,499,2365.92558665684,85,111,0,75,0,0,1,1,0,0,0,23500,0,0,12145.25,0,0,1,8,6,1,0,14240
"329",328,506,3758.86752524417,60,111,0,75,0,0,1,1,0,0,0,13640,0,0,15615.2,0,0,3,10,8,1,0,8180
"330",329,507,2933.76282387074,72,111,0,78,0,0,1,1,0,0,0,21590,91,0,20563.95,0,0,3,10,8,1,0,24480
"335",334,513,3795.87134236133,78,221,0,78,0,0,2,1.5,0,0,0,21950,0,0,21950,0,0,3,1,1,3,0,27420
"336",335,515,3491.58995964667,81,400,0,77,0,0,1,1,0,0,0,23090,0,0,22616.65,0,0,1,0,0,1,0,25090
"341",340,521,3035.51066564624,19,111,0,84,0,0,1,1,0,0,0,0,0,0,3355,0,0,3,7,6,1,0,0
"343",342,524,2873.4037536039,76,221,0,78,0,0,2,1.5,0,0,4130,18600,0,0,22058.05,0,0,1,1,3,3,0,27410
"344",343,528,2637.05215784719,70,400,0,74,0,0,2,1.5,0,0,0,46940,0,0,39486.75,0,0,1,0,0,3,0,46900
"346",345,533,1146.48928144857,66,111,0,78,0,1,2,1.5,0,0,0,19800,0,0,19624.8,0,0,1,9,7,3,0,22400
"347",346,534,3648.87163740581,78,111,0,77,0,0,1,1,0,0,0,24950,0,0,23432.8,0,0,1,8,7,1,0,29200
"348",347,535,2086.90413563143,68,120,0,75,0,0,2,1.5,0,0,0,38090,0,0,34374.75,0,0,1,0,2,3,0,37850
"351",350,539,2725.84229362001,79,111,0,71,0,0,2,1.5,0,0,0,14380,0,0,14471.7,0,0,5,9,7,3,0,16920
"353",352,541,3232.41011794691,78,221,0,77,0,0,2,1.5,0,0,0,37140,0,0,36634.4,0,0,1,1,2,3,0,46810
"355",354,544,1546.58959534032,70,111,0,75,0,0,2,1.5,0,0,0,26650,0,0,26349.85,0,0,3,3,4,3,0,32370
"358",357,549,2401.41676772452,61,400,0,77,0,0,2,1.5,0,0,0,32710,0,0,30919.7,0,0,3,0,0,3,0,38570
"361",360,553,4011.81651106451,85,111,0,78,0,0,1,1,0,0,0,12700,0,0,12720,0,0,1,8,7,1,0,14240
"364",363,556,3291.52037073728,82,111,0,74,0,0,1,1,0,0,0,86030,65,0,78989.3,0,0,1,10,8,1,0,64350
"365",364,558,3313.09055577329,21,111,0,84,0,0,1,1,0,0,0,0,0,0,20060.4,0,9510,3,9,7,1,0,29240
"367",366,560,2947.18662289908,61,120,0,75,0,0,1,1,0,0,0,27450,0,0,31352.8,0,9770,1,0,3,1,0,38990
"368",367,562,3177.2178729897,99,111,0,77,0,0,1,1,0,0,0,15110,0,0,15306,0,0,3,10,8,1,0,17350
"370",369,564,3124.81486779562,71,221,0,77,0,0,1,1,0,0,0,16070,0,0,15876.45,0,0,1,1,1,1,0,17330
"371",370,565,3651.5189388938,19,111,0,84,0,0,1,1,0,0,0,0,0,0,4808.1,0,0,3,9,7,1,0,7850
"382",381,579,1586.36732844327,70,111,0,74,0,0,1,1,0,0,0,52430,127,0,52782.45,0,0,1,4,4,1,0,73710
"389",388,589,2180.99295423525,77,120,0,78,0,0,2,1.5,0,0,1440,23450,0,0,24939,0,0,1,0,0,3,0,27160
"391",390,592,2294.06575629263,77,111,0,78,0,0,2,1.5,0,0,0,34900,0,0,32965,0,0,1,4,4,3,0,43810
"393",392,596,3252.9148529364,75,111,0,75,0,0,1,1,0,0,0,23920,0,0,23660.65,0,0,3,9,7,1,0,16700
"395",394,598,3704.85269955898,86,111,0,77,0,0,1,1,0,0,0,13080,0,0,14422,0,0,3,9,7,1,0,12840
"401",400,608,3246.51342305471,84,111,0,77,0,0,2,1.5,0,0,0,42280,0,0,41178.6,0,0,1,6,5,5,0,53030
"402",401,609,2887.28496822685,79,111,0,74,0,0,1,1,0,0,0,34660,23,0,33618.55,0,0,1,10,8,1,0,44280
"406",405,613,1724.07824711,66,221,0,74,0,0,1,1,0,0,0,15370,0,0,18010.1,0,1230,1,1,3,1,0,300
"408",407,618,2808.16813930127,65,111,0,78,0,0,1,1,0,0,0,14690,0,0,14814,0,0,3,9,7,1,0,16100
"409",408,619,1535.41973846288,63,111,0,75,0,0,2,1.5,0,0,0,41170,0,0,37219.8,0,0,1,9,7,3,0,41390
"414",413,624,2602.40650551768,62,120,0,71,0,0,2,1.5,0,0,0,23380,0,0,32917.1,0,8980,2,0,1,3,0,41240
"415",414,625,1301.21254894297,63,212,0,77,0,0,1,1,0,0,0,12510,0,0,13153.75,0,0,3,2,0,1,0,8860
"419",418,631,1122.08860806869,58,111,0,75,0,0,2,1.5,0,0,0,31220,0,0,36938.95,0,5270,1,7,5,3,0,48350
"422",421,634,2371.95590704319,59,120,0,75,0,0,2,1.5,0,880,0,0,0,0,35523.55,1230,29650,1,0,0,3,0,32530
"424",423,637,1144.13754931602,84,112,0,78,0,0,3,2,0,3290,2400,20080,0,0,25863,0,0,5,7,0,5,0,29960
"429",428,646,1841.29632719081,64,111,6820,74,0,0,2,1.5,0,0,0,47980,0,0,53119.4,0,4870,1,7,5,3,0,78000
"430",429,648,3065.5786809817,62,112,0,77,0,0,1,1,0,0,0,8660,0,0,19400.75,0,0,3,10,4,1,0,21320
"432",431,651,1234.99521231547,80,111,0,74,0,0,2,1.5,0,0,0,36150,0,0,36808.6,0,0,1,7,6,3,0,49520
"435",434,656,5928.04039020691,63,112,0,74,0,0,2,1.5,0,0,0,27700,0,0,41719.35,0,0,1,8,3,3,0,51540
"438",437,660,3220.37343066884,75,112,0,77,0,0,1,1,0,0,0,14960,0,0,14732.5,0,0,1,7,0,1,0,17640
"442",441,665,4286.47724165777,95,111,0,78,0,0,1,1,0,0,0,20110,0,0,20577.7,0,0,3,7,5,1,0,26640
"447",446,672,2138.69292035,67,112,0,78,0,0,2,1.5,0,0,0,31220,0,0,29226.7,0,0,1,7,2,3,0,39810
"453",452,683,2042.69553655059,85,112,0,77,0,0,2,1.5,0,0,0,29390,0,0,31934.45,0,0,1,4,0,3,0,40310
"461",460,694,2965.18504867045,72,111,0,74,0,0,3,1.8,0,0,0,35480,0,0,42502.75,0,0,1,9,7,5,0,55920
"462",461,696,3049.93873557992,63,112,0,78,0,0,1,1,0,0,0,12670,0,0,12469,0,0,1,8,1,1,0,14050
"467",466,707,1960.53518906678,72,111,0,77,0,0,1,1,0,0,0,20950,0,0,21961,0,0,3,8,7,1,0,23040
"471",470,713,2887.08525201871,84,111,0,77,0,0,1,1,0,0,0,19700,0,0,18522.7,0,0,1,9,7,1,0,20580
"474",473,720,3265.0835547839,62,221,0,75,0,0,3,2,0,0,0,19330,0,0,19503.25,0,630,2,1,2,4,0,21620
"475",474,722,5995.3670052937,71,221,0,78,0,0,2,1.5,0,0,0,22970,0,0,22620.05,0,0,1,1,2,3,0,26280
"479",478,727,1526.74995425464,60,300,0,71,0,0,1,1,0,0,0,19120,88,0,32990.55,0,1160,1,0,0,1,0,42020
"481",480,734,2088.99961550555,80,111,0,75,0,0,2,1.5,0,0,0,31420,82,0,29622,0,0,1,9,7,3,0,39520
"482",481,735,1056.46539432903,72,112,0,78,0,0,2,1.5,0,0,0,25980,0,0,25247.4,0,0,1,6,0,3,0,31720
"485",484,738,2318.82936134119,65,111,0,77,0,0,1,1,0,0,0,9450,0,0,10917,0,0,3,7,5,1,0,20
"491",490,747,2097.34111416079,61,221,0,75,0,0,2,1.5,0,0,0,15070,0,0,23318.3,0,0,1,1,2,3,0,27280
"492",491,749,3677.51126070948,22,111,0,84,0,0,2,1.5,0,0,0,0,0,0,17672,0,14180,3,10,8,3,0,19280
"493",492,751,3567.28493026084,81,120,0,86,0,0,1,1,0,0,8120,580,0,0,11691,0,0,3,0,3,1,0,4720
"496",495,755,2531.34337986921,65,300,0,77,0,0,1,1,0,0,0,18220,0,0,18287.55,0,0,3,0,0,1,0,19850
"500",499,760,5351.90110763111,72,111,0,78,0,0,1,1,0,0,0,11130,0,0,11161,0,0,5,7,5,1,0,4920
"504",503,764,2418.24297744906,87,300,0,77,0,0,2,1.5,0,0,0,23710,0,0,23918.9,0,0,1,0,0,2,0,27210
"507",506,767,2969.42718460997,92,111,0,86,0,0,1,1,0,0,0,19990,180,0,29167.65,0,0,1,6,5,1,0,36180
"509",508,771,3343.3188121735,77,111,0,86,0,0,1,1,0,0,0,10510,0,0,13702,0,0,3,8,7,1,0,15420
"513",512,776,2366.72359986628,31,111,0,85,0,0,5,2.2,0,2690,0,0,0,0,18710,0,0,3,9,7,2,0,18240
"515",514,779,2150.30057090989,64,112,0,74,0,0,2,1.5,0,0,0,17090,0,0,25574.2,0,9580,1,8,1,3,0,32790
"518",517,782,2978.72987233607,69,111,0,78,0,0,1,1,0,0,0,23070,0,0,21645.45,0,0,1,10,8,1,0,19570
"522",521,786,3046.53579961841,89,111,0,71,0,0,1,1,0,0,80,8330,0,0,10980,0,0,3,7,5,1,0,12750
"524",523,789,3137.16515828298,81,111,0,78,0,0,1,1,0,0,0,15870,0,0,18443,0,0,3,8,6,1,0,20620
"525",524,790,3656.70663397476,91,111,0,72,0,0,1,1,0,0,0,9900,0,0,11692.75,0,0,3,6,5,1,0,12240
"528",527,795,2730.32596034027,61,221,0,75,0,0,2,1.5,0,0,0,42710,0,0,43912.2,0,4970,1,1,1,3,0,66780
"530",529,801,2628.60111147012,62,112,0,74,0,0,2,1.5,0,0,0,32130,0,0,34849.25,0,0,1,7,0,3,0,43580
"533",532,805,1647.85304122523,71,400,0,71,0,0,2,1.5,0,0,0,19410,193,0,23549.35,0,0,1,0,0,3,0,27110
"536",535,809,3112.71029922758,84,300,0,78,0,0,1,1,0,0,0,13080,114,0,16328,0,0,3,0,0,1,0,13110
"537",536,810,2755.08660147411,72,400,0,86,0,0,1,1,0,0,0,20320,9,0,20818.75,0,0,5,0,0,1,0,24080
"543",542,822,3248.8084697012,36,111,0,85,0,0,4,1.9,0,7450,0,0,0,0,18724,0,0,3,9,7,2,0,20740
"544",543,823,3776.97916170329,71,221,0,77,0,0,2,1.5,0,0,0,21290,0,0,20777.05,0,0,1,1,2,3,0,24580
"547",546,829,1983.51376280059,63,111,0,75,0,0,1,1,0,0,0,36910,398,0,38757.85,0,0,1,10,8,1,0,32610
"550",549,832,1042.40825067482,86,300,0,71,0,0,2,1.5,0,0,0,16340,0,0,19368.05,0,0,1,0,0,3,0,22010
"552",551,835,2335.29809852909,63,112,0,75,0,0,1,1,0,0,0,22280,18,0,21361.5,0,0,1,10,4,1,0,27630
"555",554,838,2903.1533709041,71,111,0,78,0,0,1,1,0,0,0,9770,0,0,9767,0,0,1,9,7,1,0,12570
"556",555,839,1606.98978053328,65,400,0,72,0,0,2,1.5,0,0,0,29970,0,0,31942.25,0,0,1,0,1,3,0,39320
"558",557,842,3085.59574416052,87,112,0,86,0,0,1,1,0,0,3930,7420,0,0,14929,0,0,3,6,0,1,0,18180
"564",563,849,2754.99502746234,73,111,0,78,0,0,2,1.5,0,0,0,30310,0,0,28106.85,0,0,1,7,6,3,0,10490
"565",564,851,3485.73076436668,69,120,0,77,0,0,1,1,0,0,0,13240,0,0,13240,0,0,3,0,3,1,0,15050
"567",566,853,3999.64953990807,87,221,0,77,0,0,1,1,0,0,0,9710,0,0,12546,0,0,3,1,2,1,0,14120
"569",568,856,2499.87912296953,85,400,0,71,0,0,1,1,0,0,0,7860,3,0,13532,0,0,1,0,0,1,0,9240
"570",569,857,6476.80074316881,70,111,0,74,0,0,1,1,0,0,0,29550,0,0,27324.65,0,0,3,8,6,1,0,33240
"573",572,861,2941.81679256707,57,112,0,77,0,0,2,1.5,0,0,0,18230,0,0,17437.15,0,0,1,8,1,3,0,18990
"575",574,863,1550.54223717501,77,112,0,75,0,0,2,1.5,0,0,0,27790,0,0,28124.1,0,0,1,9,0,3,0,26640
"579",578,869,2444.67103465908,80,111,0,72,0,0,1,1,0,0,0,18250,0,0,17111.65,0,0,1,9,7,1,0,7270
"580",579,873,2002.89112696168,85,111,0,78,0,0,2,1.5,0,0,0,34900,0,0,45580.8,0,0,1,7,5,3,0,62160
"583",582,879,4922.24071287191,63,111,0,78,0,0,1,1,0,0,0,12860,0,0,13256,0,0,3,6,5,1,0,5430
"588",587,885,1361.63566453318,72,112,0,77,0,0,2,1.5,0,0,0,34290,0,0,32107.3,0,0,1,8,0,3,0,29540
"589",588,886,2923.41779678243,62,111,0,77,0,0,1,1,0,0,4700,3710,0,0,9075,0,0,5,10,8,1,0,9320
"590",589,887,5150.16077919135,85,120,0,71,0,0,2,1.5,0,0,0,18330,0,0,19304.3,0,0,1,0,0,5,0,23730
"609",608,919,2667.1456836796,60,112,0,78,0,0,1,1,0,0,0,28220,1435,0,27407.25,0,0,3,9,2,1,0,33680
"610",609,920,3649.75853177226,76,221,0,78,0,0,2,1.5,0,0,0,29950,0,0,28601.7,0,0,1,1,2,3,0,35000
"614",613,926,2126.79092143348,77,300,0,75,0,0,2,1.5,0,0,0,24730,0,0,23917.1,0,0,1,0,0,3,0,27570
"625",624,946,3096.52820002736,79,111,0,77,0,0,1,1,0,0,0,24090,0,0,24097.1,0,0,3,5,4,1,0,28700
"626",625,949,1832.24070428251,69,111,0,77,0,0,2,1.5,0,0,0,57220,0,0,52108.4,0,0,1,9,7,3,0,68960
"630",629,955,2683.13672375605,65,111,0,74,0,0,1,1,0,0,0,20110,76,0,21462.65,0,0,3,10,8,1,0,19650
"632",631,958,2273.28131183234,62,221,0,77,0,0,1,1,0,0,0,10560,0,0,10539,0,0,1,1,2,1,0,6840
"633",632,959,2873.04867612458,68,221,0,78,0,0,2,1.5,0,0,0,20560,155,0,20792,0,0,3,1,2,3,0,24200
"644",643,976,2638.15541584848,88,111,0,74,0,0,2,1.5,0,0,0,37340,0,0,34348.1,0,0,1,10,8,3,0,43480
"648",647,983,2988.36912307923,50,111,0,85,0,0,1,1,10900,0,0,0,0,0,12354,0,680,3,9,7,1,0,13890
"650",649,988,1896.84998997969,59,111,19370,78,0,0,3,2,0,0,0,17800,120,0,43103.2,0,6620,1,8,7,4,0,48570
"651",650,989,4354.74032147293,81,300,0,86,0,0,1,1,0,0,0,11870,0,0,11870,0,0,1,0,0,1,0,13030
"652",651,992,1838.39639546954,74,111,0,78,0,0,2,1.5,0,0,0,26380,0,0,24673.4,0,0,1,8,7,3,0,27630
