,ident_men,pondmen,agepr,cataeu,chomage,cs42pr,nactifs,nactoccup,npers,ocde10,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_valeurs_mobilieres_bruts,rev_etranger,rev_disponible,ppa,salaires,stalog,tau,tuu,typmen,donation_class_1
7594,10651,1500.9703342785988,42.0,111,0.0,38,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,496.0,0.0,36566.25,0.0,38240.0,2,7,5.0,4,1.0
7595,10652,1614.0605514203198,50.0,111,0.0,53,2.0,2.0,6.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,42233.2,0.0,33010.0,1,6,5.0,4,2.0
7596,10653,2080.8931495723464,68.0,111,0.0,72,0.0,0.0,2.0,1.5,0.0,0.0,0.0,61990.0,41.0,0.0,54447.75,0.0,0.0,2,8,6.0,3,0.0
7597,10654,2558.29831448276,31.0,111,530.0,43,2.0,2.0,3.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,32653.8,830.0,25060.0,3,9,7.0,4,2.0
7598,10656,3319.0755760582133,63.0,112,0.0,77,0.0,0.0,2.0,1.5,0.0,0.0,0.0,31580.0,0.0,0.0,30625.0,0.0,0.0,1,8,1.0,3,0.0
7599,10657,3526.676483838534,84.0,111,0.0,72,0.0,0.0,2.0,1.5,0.0,0.0,0.0,14880.0,0.0,0.0,22875.55,0.0,0.0,1,6,4.0,3,0.0
7600,10660,2611.9398440437876,75.0,211,0.0,78,0.0,0.0,2.0,1.5,0.0,0.0,0.0,24410.0,0.0,0.0,23775.25,0.0,0.0,1,1,3.0,3,0.0
7601,10661,3520.4146902050265,44.0,112,0.0,54,1.0,1.0,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,24351.55,0.0,18690.0,1,9,0.0,4,1.0
7602,10662,1734.6377265497265,46.0,111,0.0,37,2.0,2.0,4.0,2.5,0.0,0.0,0.0,0.0,357.0,0.0,58991.95,0.0,62090.0,2,8,6.0,4,2.0
7603,10663,3354.4352621601747,38.0,112,0.0,53,2.0,2.0,4.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,52405.15,0.0,52580.0,2,9,1.0,4,2.0
7604,10665,2636.6872398085707,61.0,111,0.0,72,0.0,0.0,2.0,1.5,5660.0,0.0,0.0,28130.0,0.0,0.0,33727.5,0.0,0.0,1,9,7.0,3,0.0
7605,10666,2857.6651541232745,89.0,112,0.0,77,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15410.0,0.0,0.0,15353.45,0.0,0.0,1,7,0.0,1,0.0
7606,10667,1433.9643837927792,55.0,300,4660.0,81,1.0,0.0,1.0,1.0,0.0,4400.0,0.0,0.0,0.0,0.0,12059.2,0.0,0.0,3,0,0.0,1,1.0
7607,10668,4033.7242840797053,33.0,111,1860.0,67,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11629.8,0.0,9840.0,3,9,7.0,1,1.0
7608,10669,4136.634806474414,35.0,111,0.0,48,1.0,1.0,2.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,21532.9,0.0,23180.0,3,8,6.0,2,1.0
7609,10670,2356.639169021742,60.0,111,0.0,56,1.0,1.0,2.0,1.5,0.0,0.0,0.0,16740.0,0.0,0.0,31722.55,0.0,16060.0,2,9,7.0,3,1.0
7610,10671,2883.0825517081503,76.0,111,0.0,78,0.0,0.0,1.0,1.0,0.0,0.0,0.0,22920.0,0.0,0.0,21635.65,0.0,0.0,1,9,7.0,1,0.0
7611,10672,2447.270964751875,49.0,111,0.0,52,1.0,1.0,1.0,1.0,0.0,1320.0,0.0,0.0,0.0,0.0,13092.0,2510.0,5950.0,3,8,6.0,1,1.0
7612,10674,3181.300332912007,46.0,111,0.0,85,0.0,0.0,1.0,1.0,10980.0,0.0,0.0,0.0,0.0,0.0,14052.0,0.0,0.0,3,4,4.0,1,0.0
