,ident_men,numero_categ,ocde10,vag,typmen,revtot,fumeur,p1,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,decile,w1,w2,w3,w4,w5,w6,w7,w8,w9,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,d1,d2,d3,d4,d5,d6,d7,d8,d9
89630,7675.0,9,1.0,16.0,1.0,14773.0,1.0,109.794167371,114.6,102.334851936,99.079137592,102.05,106.0,103.548275862,105.4,98.5431702289,17559.4788781,40.0,3,0.153625342549,0.0341412176386,0.0329186628669,0.629892859108,0.0,0.0,0.0158681182563,0.0,0.133553799578,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
89639,7676.0,9,1.5,16.0,3.0,26526.0,0.0,108.329849384,109.7,102.509832059,114.77475776,101.8,101.109587914,95.2452791878,105.4,99.6697611078,47461.4386012,40.0,10,0.0701778345398,0.0,0.0657982750198,0.169261433759,0.00639134218898,0.614240453247,0.0189908798846,0.0,0.0551397813602,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
89648,7677.0,9,1.79999995232,16.0,4.0,25469.0,0.0,106.925035122,109.7,103.354450462,101.956747908,102.05,118.8,100.193846154,104.3,100.487765748,18875.3220546,40.0,4,0.119432045636,0.0,0.0383762065163,0.480367181443,0.0,0.0335179608931,0.0210076509618,0.156308100749,0.1509908538,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1
89657,7678.0,9,1.5,16.0,3.0,12207.0,0.0,106.426524721,104.817857143,102.862291308,100.736925744,102.05,118.8,103.359405941,105.4,100.833700236,11255.5159422,40.0,1,0.187128357762,0.0167099452971,0.14054747434,0.405685168982,0.0,0.120741689498,0.0164223656028,0.0,0.112764998518,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1
89666,7679.0,9,1.5,16.0,3.0,8690.0,0.0,106.576389469,109.7,103.098485977,101.8,102.05,106.0,104.3,105.4,100.448054514,7858.23342684,40.0,1,0.231465496153,0.0,0.0108798655624,0.577377944112,0.0,0.0,0.0138570821136,0.0,0.166419612059,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
89675,7680.0,9,1.5,16.0,3.0,16882.0,0.0,108.765041443,109.7,105.518904087,110.267157146,102.05,118.8,100.805709342,105.4,100.824379487,23475.3814535,40.0,6,0.132816333202,0.0,0.0705377982494,0.584372936198,0.0,0.0474515242362,0.0450603883745,0.0,0.119761019741,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
89684,7681.0,9,2.29999995232,16.0,4.0,22055.0,0.0,107.612143171,109.7,101.334899452,100.514537782,104.0,106.0,102.28,105.4,100.331701503,9932.55567386,40.0,1,0.227281422143,0.0,0.158442679765,0.451675350317,0.00955948248363,0.0,0.0126174465344,0.0,0.14042361876,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1
89693,7682.0,9,2.0,16.0,4.0,44070.0,1.0,108.171948882,113.28852459,102.439570225,100.04498898,101.8,117.454198134,89.2274190695,104.3,100.056733839,23931.7803442,40.0,6,0.149117658788,0.00642049480549,0.144073317564,0.318905879318,0.00950646871605,0.0604479007673,0.162111937066,0.0158005045618,0.133615838413,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
89702,7683.0,9,1.5,16.0,3.0,12966.0,1.0,106.544394869,114.6,102.0,102.940110285,101.8,118.8,99.3,105.4,101.169417282,9923.29758273,40.0,1,0.13733864623,0.0179379274383,0.0291030102651,0.554545408477,0.0305686987973,0.0411027055974,0.0,0.0,0.189403603195,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1
89711,7684.0,9,2.0,16.0,5.0,14635.0,0.0,107.759001957,107.1,103.578390799,100.625935688,99.2,110.026209049,103.679207921,105.4,98.8022894489,8506.20538689,40.0,1,0.205478334563,0.0413590519824,0.0224542006262,0.441342412235,0.016833538659,0.145286130077,0.0162977076244,0.0,0.110948624233,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
89720,7685.0,9,2.5,16.0,4.0,21516.0,0.0,107.754299175,107.1,104.115373276,100.364533239,102.05,103.115499124,102.739670782,105.4,100.946339662,14400.6674918,40.0,2,0.107548608848,0.0830270837177,0.0227382182868,0.310907334655,0.0,0.326170133594,0.0463227847834,0.0,0.103285836115,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1
89729,7686.0,9,1.5,16.0,3.0,23805.0,0.0,108.546849943,101.650446429,102.893669979,111.126937739,99.4630723778,118.8,103.854580153,105.4,99.4709115316,24748.9137347,40.0,6,0.187682867319,0.0303979492112,0.336804149867,0.293676752946,0.0363940718235,0.0137106649173,0.0193742500012,0.0,0.0819592939148,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
89738,7687.0,9,1.0,16.0,1.0,91469.0,0.0,110.283654789,100.8,103.291633091,102.460636115,102.05,117.17010582,103.380829016,106.225302866,99.9167794384,68459.3342797,40.0,10,0.152836754577,0.00662298094417,0.103325830265,0.338102892565,0.0,0.0354845959612,0.0116087886785,0.177749470088,0.174268686921,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
89747,7688.0,9,1.0,16.0,1.0,8415.0,0.0,107.972570111,109.7,102.254142012,101.492983334,99.2,106.0,99.3,105.4,99.6488548291,18223.5303611,40.0,4,0.162855113814,0.0,0.0950135888371,0.651572781498,0.0592453310432,0.0,0.0,0.0,0.0313131848064,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1
89756,7689.0,9,2.0,16.0,4.0,34571.0,0.0,108.130149364,104.851040863,104.489812625,107.209463028,104.0,104.840535787,103.252593775,106.955008034,102.74611862,22345.7487796,40.0,6,0.138348496494,0.09746921696,0.0326289453363,0.201213730703,0.00135045217187,0.212563663613,0.0384828454694,0.100137329689,0.177805319565,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
