,ident_men,numero_categ,ocde10,vag,typmen,revtot,fumeur,p1,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,decile,w1,w2,w3,w4,w5,w6,w7,w8,w9,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,d1,d2,d3,d4,d5,d6,d7,d8,d9
8,0.0,9,1.0,9.0,1.0,6845.0,1.0,104.027973568,109.2,100.788480392,101.45018315,100.933555555,102.1,102.0,103.6,97.1683840494,15681.3304918,30.0,3,0.033009024645,0.016277327178,0.0685167161052,0.689055070858,0.05726891906,0.040408687397,0.0049892235224,0.0,0.0904750312366,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
17,1.0,9,1.5,9.0,2.0,27661.0,0.0,104.233109422,105.7,98.7477908028,100.67440019,99.6999999999,108.8,100.360089686,103.6,100.178721803,28152.4587708,30.0,7,0.152734917803,0.00314153508296,0.0672659836197,0.591841713518,0.0660204068004,0.0436163513116,0.0144966709733,0.0,0.0608824208924,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
26,2.0,9,1.0,9.0,1.0,27045.0,0.0,104.019391026,100.6,102.041838822,100.76283247,101.65,102.224729091,102.226737968,104.899253091,97.1884441708,36896.2775989,30.0,9,0.0385648617798,0.00182053843064,0.0249392627188,0.31055620347,0.0,0.125374734258,0.041739891633,0.378368879532,0.0786356281761,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
35,3.0,9,1.0,9.0,1.0,13720.0,0.0,104.006931359,103.610022272,103.0,100.443642612,101.65,105.9,102.255882353,103.6,96.9736857496,10070.9974759,30.0,1,0.168231016576,0.0748680060568,0.0348433273629,0.629009761591,0.0,0.0,0.027803450314,0.0,0.0652444380997,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
44,4.0,9,1.5,9.0,5.0,70510.0,1.0,102.927006132,108.191584534,102.327543423,101.298542336,101.65,105.004651163,94.3791906539,104.2,99.3391219749,50818.3183544,30.0,10,0.0561041855851,0.0581146538723,0.00844588772041,0.363333592044,0.0,0.0130508904463,0.212692856088,0.211427004302,0.0768309299414,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
53,5.0,9,1.0,9.0,1.0,8740.0,1.0,103.008041667,109.2,103.0,101.0735071,101.65,108.8,94.631818182,103.6,97.3712358857,16261.2144747,30.0,3,0.16827438452,0.065472465111,0.00409535836986,0.625660625091,0.0,0.0103544980285,0.0687088121441,0.0,0.0574338567329,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1
62,6.0,9,1.5,9.0,2.0,71662.0,1.0,103.608750659,108.06858006,101.219013034,101.121037273,102.513675598,104.313211781,81.588560794,104.028675136,98.4291482472,62564.1820436,30.0,10,0.0460935378831,0.01184577208,0.125329768392,0.317958842407,0.0239321421517,0.0976524697909,0.0589425647829,0.10555344883,0.212691453683,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
71,7.0,9,1.5,9.0,2.0,43618.0,1.0,103.444708753,109.2,102.583622963,101.005063291,100.192487386,105.9,101.503604531,103.299217901,99.8939981269,30692.8831812,30.0,8,0.0812030268917,0.01225554827,0.0191018118072,0.597661130396,0.115975269366,0.0,0.028948848793,0.119828087946,0.025026276531,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1
80,8.0,9,1.79999995232,9.0,4.0,70462.0,0.0,102.585326087,106.3,102.061374455,101.54126484,99.7,105.9,102.0,102.5,99.1577423625,26246.4386604,30.0,7,0.0310837017628,0.0,0.0106004001389,0.744495475199,0.129218882379,0.0,0.00345736394173,0.0185701240373,0.0625740525421,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1
89,9.0,9,2.5,9.0,4.0,66740.0,1.0,102.899737654,104.488618701,101.799802165,101.337992376,102.6,119.512814896,101.799920298,102.756439662,99.1370722644,40247.1811845,30.0,10,0.0734275901789,0.0665749688239,0.178180230799,0.37149647295,0.0225646811357,0.0349886581168,0.0513470089975,0.135030215209,0.0663901737884,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
98,10.0,9,2.0,9.0,4.0,72726.0,0.0,102.619190765,105.321941748,101.854848714,100.655130048,102.079253103,117.193626908,102.559815679,103.639215242,100.032074994,80428.6870397,30.0,10,0.0620122070935,0.0161290921037,0.294934891469,0.26535864077,0.0565459886075,0.0361087204124,0.144437523295,0.0328507829015,0.0916221533489,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
107,11.0,9,2.40000009537,9.0,4.0,145315.0,0.0,103.192181601,105.7,101.34784798,101.404928846,101.728296897,115.289908257,100.317912601,103.157692308,99.4259891222,66465.6720801,30.0,10,0.0776141526688,0.00513728400347,0.0798728899582,0.406250394989,0.0890476407063,0.0395221975106,0.101405600402,0.059776807233,0.141373032528,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
116,12.0,9,1.5,9.0,3.0,72087.0,0.0,104.073832354,106.3,101.065561259,101.264723862,100.519256573,102.680733393,95.0506008583,105.255667506,99.417690211,48687.7600063,30.0,10,0.0504724513664,0.0,0.0884141344249,0.514206801267,0.0753518375938,0.0585534487227,0.0437911026862,0.0521213961605,0.117088827778,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
125,13.0,9,3.0,9.0,4.0,83837.0,1.0,103.577198134,105.999953249,100.151956397,101.294458455,101.648525765,107.975738274,101.546678147,104.665163621,99.7898158256,36249.6341967,30.0,9,0.0606929732567,0.0330299802811,0.077235877126,0.266980186617,0.0279238976108,0.0816466138457,0.227214941932,0.158625514013,0.0666500153184,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
134,14.0,9,2.5,9.0,4.0,108970.0,1.0,103.064420485,108.417701453,101.585255111,101.162415865,102.6,99.1726025939,101.954694323,102.890740741,95.1767785161,41774.8694622,30.0,10,0.0445524130789,0.0121720347139,0.103364200904,0.630626774664,0.00231918424561,0.115760553927,0.0120387494753,0.0254079195997,0.0537581693913,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
143,15.0,9,1.5,9.0,3.0,45249.0,1.0,103.278623719,109.2,101.812593055,101.36105673,99.7,107.982152231,86.5960572337,103.818430724,98.9940097841,36963.3227957,30.0,9,0.0842693098263,0.00239269443899,0.193876618914,0.320879244185,0.0124898318309,0.0353291700395,0.155714621654,0.117636710987,0.0774117981226,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
152,16.0,9,2.09999990463,9.0,4.0,30674.0,0.0,103.248636146,105.7,102.52671023,101.318614632,100.612236025,120.229617834,98.8321543409,102.794134898,101.175426587,23130.7786659,30.0,6,0.147146009506,0.0467746645484,0.0594258436003,0.408186885155,0.0330731630918,0.0332346296408,0.0703042956366,0.0673102863493,0.134544222472,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
161,17.0,9,1.5,9.0,3.0,78560.0,0.0,105.329662651,105.7,100.919725297,101.267350443,99.7000000005,105.971876886,101.103176949,104.765452911,100.167843153,101933.598228,30.0,10,0.092836868847,0.0848862026863,0.212410147068,0.286454893581,0.0902553491291,0.0139291503587,0.0486016094076,0.0697477797545,0.100877999168,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
170,18.0,9,1.5,9.0,3.0,30444.0,0.0,102.039779559,106.3,101.865822822,101.019357566,99.7,105.272227444,102.02940685,103.322036002,97.8877255286,27086.3478578,30.0,7,0.0560116766799,0.0,0.216071665527,0.345731127598,0.00272609290538,0.201958389915,0.0404383524528,0.0475226258917,0.0895400690302,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
179,19.0,9,2.0,9.0,4.0,138765.0,0.0,105.133337581,106.3,101.918762355,101.689414511,102.6,111.741419261,100.465494334,103.303612606,100.073504922,38048.4477646,30.0,9,0.117569984255,0.0,0.0675134231408,0.545896597463,0.0381844019437,0.0466516991998,0.0461577212179,0.0819628306062,0.0560633421742,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
188,20.0,9,2.40000009537,9.0,4.0,75223.0,0.0,104.323988213,105.7,101.665968238,100.698665133,102.139856446,100.925310415,100.424555382,105.855715399,99.8597677816,55910.7448658,30.0,10,0.0864969886226,0.00631985703438,0.0514760847009,0.294992574484,0.077656893003,0.216774373391,0.0327840429614,0.194954880336,0.0385443054668,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
197,21.0,9,1.5,9.0,2.0,18243.0,0.0,103.520318449,105.096166729,101.695423971,100.897317527,101.6,123.8,102.140583554,104.2,99.5434642581,77769.8912083,30.0,10,0.112944355013,0.0386800769044,0.306846099655,0.392100834949,0.00847676782957,0.0395991673659,0.0221793910175,0.00753091635992,0.0716423909063,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
206,22.0,9,1.0,9.0,1.0,38015.0,0.0,103.161865672,105.7,101.966342016,101.405290342,99.7241699869,105.9,102.338864629,104.2,98.5001151857,52066.0583893,30.0,10,0.0586867203286,0.00438638371217,0.108596931084,0.515139598964,0.072155537117,0.0,0.0181110258071,0.112219032229,0.110704770757,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1
215,23.0,9,1.5,9.0,3.0,55984.0,0.0,103.559367712,102.558229599,101.813467136,101.137114579,101.593849658,122.502304496,102.210555763,104.991273585,101.525286369,50120.194216,30.0,10,0.117047061995,0.0322988233795,0.138382007158,0.345756434571,0.0291333150066,0.0452543851836,0.0978957456831,0.0540752379799,0.140156989044,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
224,24.0,9,1.5,9.0,3.0,25636.0,0.0,103.817466945,103.610416666,102.120283452,101.185599914,101.65,116.113272877,102.118264014,103.6,100.987724536,21096.4710011,30.0,5,0.258872219587,0.00764159176912,0.0207734097094,0.585854821313,0.0,0.0492686271317,0.0239864000526,0.0,0.0536029304378,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1
233,25.0,9,1.0,9.0,1.0,18294.0,0.0,101.969190405,106.3,101.888935113,101.363924383,101.65,105.9,102.0,102.5,100.409616151,21470.3244839,30.0,5,0.0708397416235,0.0,0.274646566433,0.526586613155,0.0,0.0,0.0269143875221,0.0340516238295,0.0669610674385,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
242,26.0,9,1.0,9.0,1.0,6894.0,0.0,104.27173913,106.3,101.4,101.245666872,101.65,100.6,99.4,104.2,96.6994521488,7506.33055493,30.0,1,0.0349349316204,0.0,0.0,0.857894851387,0.0,0.0130135755842,0.0290743793286,0.012613801895,0.0524684601842,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
251,27.0,9,1.5,9.0,3.0,55029.0,0.0,103.87563964,103.481324647,101.96275972,101.498265408,101.40106319,117.356658679,102.190031586,102.96996888,98.8668563999,85772.011056,30.0,10,0.0491830976646,0.0120211271604,0.0353651475203,0.200409558095,0.463947609289,0.0583627077266,0.0844413330327,0.0179604319678,0.0783089875431,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
260,28.0,9,1.0,9.0,1.0,12699.0,0.0,102.518107667,105.7,103.0,101.706740475,101.65,108.8,98.8,103.6,98.4066115958,10391.2771237,30.0,1,0.269036550329,0.0287656033807,0.021691285285,0.584864265903,0.0,0.0150904307104,0.0,0.0,0.0805518643922,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1
269,29.0,9,1.5,9.0,3.0,15397.0,0.0,102.398832685,102.674162679,95.4962855063,101.754373259,101.65,105.9,102.0,103.6,95.3551385044,13986.2400455,30.0,2,0.139669196104,0.0167292496523,0.0838146326686,0.507969537865,0.0,0.0,0.0772023968746,0.0,0.174614986837,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
278,30.0,9,2.59999990463,9.0,4.0,95438.0,1.0,102.988901924,108.352001668,101.514720361,101.403924546,102.158663441,117.371907515,102.038387097,103.448138056,98.9197355417,36438.4044421,30.0,9,0.0512909222853,0.0425048910914,0.071852651623,0.357677293821,0.16955901219,0.0117352988971,0.175159876511,0.0835704008895,0.0366496526927,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
287,31.0,9,1.0,9.0,1.0,10974.0,0.0,103.32964414,103.891818182,101.301059322,101.441007194,101.65,108.8,102.0,104.2,98.4011113588,22947.3794503,30.0,6,0.152185630082,0.016099485479,0.026342103218,0.659308372705,0.0,0.0255972809406,0.00681887560382,0.013527366827,0.100120885146,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
296,32.0,9,1.79999995232,9.0,4.0,28693.0,0.0,102.445454546,102.020159151,102.15476311,101.015539891,101.65,105.9,101.502025783,103.6,100.222181071,18927.8521331,30.0,4,0.0813524951526,0.0371637842931,0.0309363455989,0.725143786731,0.0,0.0,0.0218759546753,0.0,0.103527633548,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
305,33.0,9,1.0,9.0,1.0,15590.0,1.0,103.428984433,108.559652333,102.040032528,101.071183132,101.65,102.076853056,98.5415768033,103.295639535,98.3845923506,29644.9504297,30.0,8,0.103765017538,0.0619144253445,0.111825468113,0.341926722908,0.0,0.0666831856237,0.193214034749,0.0695383399044,0.0511328058198,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
314,34.0,9,1.0,9.0,1.0,19924.0,1.0,102.913307618,107.451972943,100.023475979,100.70882665,99.7,123.8,102.0,103.6,97.8859498973,16220.7850702,30.0,3,0.145779558025,0.0918277964659,0.0837252470418,0.575002546748,0.00879677638023,0.0240094101512,0.00964659387497,0.0,0.0612120713132,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
323,35.0,9,1.5,9.0,3.0,20568.0,0.0,103.276950789,101.464791987,101.590319586,100.018314061,100.102234636,123.8,100.896331237,103.6,101.758550143,26517.3848858,30.0,7,0.373951405507,0.0547993180727,0.0997181040592,0.266777412921,0.00449045619471,0.0261419092292,0.0329205768759,0.0,0.141200817142,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
332,36.0,9,2.09999990463,9.0,4.0,40309.0,0.0,103.058621279,106.3,99.9667918883,101.444540303,101.463437356,123.8,101.583226126,103.786762197,99.6995051948,30923.7679119,30.0,8,0.10263769206,0.0,0.0699824319515,0.360296636379,0.0574610967933,0.0523509694183,0.0427164985697,0.216376817923,0.0981778569043,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
341,37.0,9,1.79999995232,9.0,4.0,31451.0,1.0,103.322028613,109.2,102.115740416,101.58478623,101.034842361,107.97038835,101.933173461,104.2,101.382570033,35101.3123561,30.0,9,0.0983829286635,0.0587911137925,0.0115150844794,0.507696971672,0.0195358915822,0.0712411671832,0.0271770601447,0.054802237982,0.150857544501,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
350,38.0,9,2.09999990463,9.0,4.0,46745.0,1.0,103.06355248,107.705448718,100.689701047,100.144169329,101.21330369,109.88964359,103.39189974,103.621500798,96.855900031,34824.8394963,30.0,9,0.0540667715033,0.0286568598538,0.0962281577782,0.271037957353,0.0649116566526,0.188371886095,0.122803157997,0.123175681281,0.0507478714873,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
359,39.0,9,1.5,9.0,3.0,20643.0,0.0,103.80825761,105.7,101.976241782,99.4320041608,101.348424987,108.8,100.981413679,104.2,99.0412367547,29716.1200447,30.0,8,0.225193793912,0.00124323431755,0.103460482313,0.256086147544,0.0419289318345,0.00149944559427,0.121110444109,0.187465180939,0.0620123394369,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
368,40.0,9,1.0,9.0,1.0,6414.0,0.0,102.969093345,99.8,103.0,98.5583452895,101.65,105.9,101.9,103.6,98.9314349965,13136.1232604,30.0,2,0.194333031551,0.0498562724595,0.0157938985911,0.630029684032,0.0,0.0,0.0784718218399,0.0,0.0315152915258,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
377,41.0,9,2.70000004768,9.0,4.0,84347.0,0.0,102.585624601,103.679629139,101.92189065,100.968717948,102.098150276,121.130037082,100.540635798,102.923001431,101.129067741,28066.2360021,30.0,7,0.14139929465,0.0836549076865,0.105305618877,0.162959935228,0.206924085406,0.027443614154,0.0262096728413,0.15471282419,0.0913900469669,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
386,42.0,9,2.29999995232,9.0,4.0,30103.0,1.0,103.336946345,108.037388927,101.127851941,103.929211837,101.732247514,116.628340324,102.135576923,102.533057851,98.58641967,11617.0017613,30.0,1,0.11849874327,0.0919485440506,0.0604952259492,0.252789251717,0.107174953643,0.0802869918805,0.0106851953426,0.0922696789656,0.185851415182,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
395,43.0,9,2.5,9.0,4.0,39861.0,1.0,102.933511474,108.241427156,101.930917802,101.123680209,101.714200054,114.955207167,100.752057131,103.285923544,99.0676337809,27948.3666019,30.0,7,0.103814250233,0.0242503013158,0.0333871580335,0.391119967272,0.0330168807287,0.0328545669026,0.18430622422,0.0960247210543,0.101225930239,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
404,44.0,9,1.79999995232,9.0,4.0,79692.0,0.0,102.974661922,105.7,101.129093404,100.368801437,102.6,102.347044534,102.0,102.5,99.453410387,27230.7027684,30.0,7,0.130726826723,0.00229543961406,0.0251582633182,0.269826323576,0.045445621308,0.388622187767,0.0031923795598,0.0447227975544,0.090010160579,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
413,45.0,9,2.59999990463,9.0,4.0,25892.0,0.0,103.350591849,106.3,102.019432684,101.381924772,100.804278749,106.817621899,101.088086896,103.418538056,97.5155762465,25517.2622091,30.0,7,0.229386860015,0.0,0.110500533379,0.318005574647,0.0620770236638,0.0452947461927,0.029522802292,0.0239723226621,0.18124013715,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
422,46.0,9,2.59999990463,9.0,4.0,110758.0,0.0,104.179955061,104.384615385,101.827859225,99.8665321185,99.7,99.6509939198,83.0739839438,103.015683421,100.576970177,28750.4303381,30.0,8,0.162912339485,0.00992949132271,0.100996955876,0.229559728718,0.061043988819,0.14704854869,0.0731914963559,0.143227447542,0.0720900031923,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
431,47.0,9,2.70000004768,9.0,4.0,54499.0,0.0,103.409649763,104.660509554,101.91063665,99.0038727346,101.71548906,112.618698166,100.699118046,102.820875789,99.0284834065,30723.6681571,30.0,8,0.0753463017663,0.00317822930532,0.00870743578251,0.18295576488,0.290533227451,0.123304188491,0.12194715247,0.119109868637,0.074917831215,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
440,48.0,9,2.59999990463,9.0,4.0,38754.0,0.0,103.3760165,102.079,102.013162212,99.9572568693,102.147067852,103.386039687,86.380109489,104.451175743,101.122319695,34757.8447712,30.0,9,0.0856397536299,0.00185821619834,0.0278767849559,0.192073361871,0.000767910524777,0.305334689048,0.0665863773373,0.107159774121,0.212703132313,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
449,49.0,9,2.40000009537,9.0,4.0,24404.0,1.0,103.066556496,109.2,101.896113394,101.327200439,101.531911262,106.108302776,101.006896552,102.721049827,98.5775750354,18713.8932682,30.0,4,0.122890814428,0.0421003199406,0.143462100664,0.321391620992,0.026038237796,0.109262529093,0.0584934907373,0.100149724127,0.0762111622212,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
458,50.0,9,1.5,9.0,3.0,30142.0,0.0,105.155903128,105.7,102.661022754,101.276530511,99.7000000003,123.8,101.840450539,104.2,100.682636861,30296.4542674,30.0,8,0.198902538278,0.0114551569436,0.0427713521251,0.436039016478,0.0556833776066,0.0635522222653,0.0616756433115,0.0194370801223,0.110483612869,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
467,51.0,9,2.5,9.0,4.0,32664.0,0.0,102.763612663,105.7,102.139235188,101.215044839,101.447435518,103.722062027,101.955127217,103.463416422,98.6495791092,33667.4815047,30.0,9,0.0727416911757,0.00867882699172,0.0395836652653,0.246455046169,0.28829195495,0.147225207805,0.0211509729893,0.0582681978558,0.117604436797,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
476,52.0,9,1.5,9.0,5.0,19429.0,0.0,102.788126446,105.7,101.943430966,101.302963939,99.7,123.152959502,102.0,103.3297257,98.8023440315,17659.2556468,30.0,3,0.0558259433133,0.00126791095955,0.0335535976379,0.453715719982,0.0667512571252,0.109031039244,0.00803172922884,0.151756047076,0.120066755432,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
