,ident_men,ocde10,vag,typmen,revtot,fumeur,p1,p10,p11,p12,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,w1,w10,w11,w12,w2,w3,w4,w5,w6,w7,w8,w9
191,221.0,1.5,18.0,3.0,39252.0,1.0,116.179612255,115.2,121.8,119.551896525,139.079798596,102.5,112.963485477,107.7,103.9,116.681410669,88.6857979201,114.166478791,25844.2911479,89.0,5.0,25.0,0.08284994405,0.0,0.0365093162696,0.0659537517053,0.0175514721609,0.0141795260464,0.622032539347,0.0,0.0,0.0740402946819,0.022103143366,0.0647800123713
203,222.0,2.3,18.0,4.0,42143.0,1.0,116.695984129,115.2,121.8,107.449495712,152.202699304,104.552475763,111.446331471,99.6149402406,109.784699698,115.866909084,88.366807704,118.133088742,25805.6595469,89.0,5.0,25.0,0.194164128031,0.0,0.0289058565266,0.0687328709215,0.0248805801083,0.0339032860788,0.28290032946,0.0217918504126,0.108711846995,0.153324316051,0.0250104614484,0.0576744739681
215,223.0,1.5,18.0,3.0,49298.0,0.0,117.759976763,115.2,121.8,118.743716887,143.4,104.055555555,113.942351275,117.080096624,101.036270237,115.544777663,88.3,127.916525897,33489.6725209,89.0,5.0,25.0,0.134461808091,0.0,0.0593718596142,0.0264064736635,0.0,0.0236834855153,0.351555984329,0.082646190614,0.179735832915,0.0498349795606,0.0110704663118,0.0812329193859
227,224.0,2.0,18.0,5.0,42806.0,0.0,118.729638947,115.2,118.8,109.877821866,110.972546569,103.185627222,114.316745283,112.2,97.0,117.4,88.3,111.241947307,12245.5940628,89.0,5.0,25.0,0.0795747925266,0.0,0.0,0.0954882989079,0.0611946799644,0.141703268286,0.433059884957,0.00297946633981,0.05681416608,0.0317118348214,0.0828134711066,0.014660137012
239,225.0,1.5,18.0,3.0,57437.0,0.0,120.301517695,115.2,121.8,119.319406496,143.4,102.5,114.512171837,107.7,108.782325653,116.9,88.7176908314,118.06312869,28114.4036137,89.0,5.0,25.0,0.177960246535,0.0,0.00444521220112,0.1682213918,0.0,0.158373623152,0.248534018824,0.0,0.0965769701619,0.0,0.0187669946312,0.127121542697
251,226.0,1.0,18.0,1.0,55000.0,1.0,116.83792752,115.2,118.089572279,111.065116279,177.4,103.120689655,114.31039047,103.877464386,97.0,130.929734675,88.2999999999,131.424578652,68415.3460337,89.0,5.0,25.0,0.0275717289741,0.0,0.266234596725,0.0775494361872,0.0301371358682,0.0933895941851,0.276231304682,0.00674718237826,0.0321302805,0.0413596261309,0.0116190841987,0.137030030171
263,227.0,1.0,18.0,1.0,14633.0,0.0,115.38664339,115.2,123.323642744,120.481382096,143.4,107.278156997,114.477983539,94.7,110.936825936,116.439992932,88.3,118.923939809,44057.6398041,89.0,5.0,25.0,0.0806090995285,0.0,0.0680276612394,0.0247775380891,0.0,0.0175825417212,0.551870260014,0.00117483386993,0.0538304625199,0.0664116162763,0.0264825894655,0.109233397277
275,228.0,2.8,18.0,4.0,65930.0,0.0,117.498032133,115.2,113.427478917,111.375423825,112.657099615,104.776822277,114.446261385,112.2,103.9,127.556682952,88.4697181206,126.849812768,41877.2779361,89.0,5.0,25.0,0.113973703056,0.0439240906675,0.0277159688003,0.0513568853777,0.0142001009637,0.0183536816071,0.530913728819,0.00186695195955,0.0,0.126533028571,0.019181415204,0.0519804449746
287,229.0,1.5,18.0,3.0,68642.0,0.0,116.934426482,115.2,121.8,115.935747814,143.4,108.146385649,114.518866621,111.790028297,117.1,112.578224238,88.3,126.123310984,42772.6625306,89.0,5.0,25.0,0.147075763005,0.0,0.0034185422327,0.0633317721954,0.0,0.00729649924029,0.611174248183,0.0263639437595,0.0341741994858,0.0311306620153,0.0204968754422,0.0555374944421
299,230.0,1.0,18.0,1.0,50784.0,0.0,119.314602727,115.2,121.8,112.261184533,113.1,102.5,114.869194686,121.180542159,97.0,112.037299036,88.3,101.438000033,94544.7155114,89.0,5.0,25.0,0.0706511300056,0.0,0.00227346003426,0.0799863867979,0.00746322345619,0.0118846647378,0.615740519093,0.146308350117,0.00104061978033,0.0255478498248,0.0101494687616,0.028954327391
311,231.0,1.5,18.0,2.0,22253.0,0.0,117.307757192,115.2,121.8,116.465562914,143.4,103.134845991,113.488821752,107.7,97.0,114.755450237,88.3,133.151755586,23118.5529807,89.0,5.0,25.0,0.145454467486,0.0,0.0794978310507,0.139688966964,0.0,0.0540415118201,0.358145336188,0.0,0.037287839184,0.0787608733587,0.037733512814,0.0693896611353
323,232.0,1.5,18.0,2.0,55139.0,0.0,115.365728599,115.2,113.3,108.940735937,111.459165795,102.5,114.778675645,102.104176754,102.1,105.708850932,88.3,113.525656267,77281.2036393,89.0,5.0,25.0,0.101063304851,0.0740496257791,0.00970283722971,0.251158149631,0.00720155432853,0.0170460292563,0.192266898807,0.16518838041,0.000969965185437,0.143823780757,0.0163674872076,0.0211619865574
335,233.0,1.0,18.0,1.0,12000.0,0.0,117.424948481,115.2,118.8,121.546031746,143.4,104.1,114.726263627,112.2,103.9,117.4,88.3,98.3,12982.9424994,89.0,5.0,25.0,0.182757890453,0.0,0.0,0.07184761875,0.0,0.0,0.648020480387,0.00983588095844,0.0,0.0598216091964,0.0277165202545,0.0
347,234.0,2.0,18.0,4.0,66586.0,0.0,118.258632952,115.2,120.891166188,115.955932518,106.186858177,102.944850498,114.252572744,114.071993001,97.0000000002,116.352869679,88.3,114.947868963,62591.562574,89.0,5.0,25.0,0.0931674200179,0.0,0.120728153458,0.0862276520909,0.00841099204207,0.0529754585331,0.303881309818,0.0756277939873,0.0250823760982,0.0410955522196,0.0313236088525,0.161479682883
359,235.0,1.0,18.0,1.0,77538.0,1.0,115.991847103,115.2,121.8,110.665013823,177.4,105.135062893,113.667826087,108.891007073,103.9,113.651162791,88.3,112.027041405,39405.8141939,89.0,5.0,25.0,0.0263653275288,0.0,0.103897467295,0.0600522620783,0.0174411028852,0.0351368690503,0.608342618747,0.0648903265162,0.0,0.0141249892167,0.00996185219984,0.0597871844819
371,236.0,2.5,18.0,2.0,160614.0,0.0,117.752163443,115.2,121.8,115.864675243,109.4,106.481481481,114.442371351,118.458106828,97.0,114.269941226,88.3,124.330283381,58092.5984212,89.0,5.0,25.0,0.128264688323,0.131016979876,0.0269723732946,0.0562848370614,0.00106950267278,0.0170392432104,0.143087433079,0.185535945677,0.0131169106284,0.0318458012011,0.0135147990444,0.252251485932
383,237.0,2.4,18.0,4.0,53480.0,0.0,116.431862259,115.2,123.144,106.535048678,110.65693782,103.894369478,116.28563161,106.699373998,105.647015569,115.709635974,88.3,109.497331939,33383.003845,89.0,5.0,25.0,0.0884548124158,0.0,0.0204731199506,0.0415704434599,0.00358569939594,0.0339140027597,0.651881206597,0.0151380656999,0.0587042979415,0.00754501662362,0.012004106212,0.0667292289446
395,238.0,1.5,18.0,5.0,114156.0,0.0,118.447905183,115.2,121.8,114.028961175,113.1,112.8,113.999415807,120.582556156,106.603917911,111.2,88.3,122.535696309,72728.1290453,89.0,5.0,25.0,0.0666254820892,0.0,0.330928864559,0.0646716875483,0.0231252022974,0.00147025181135,0.333627063394,0.062261592657,0.013811231572,0.00474620280341,0.0028187290564,0.0959136922125
407,309.0,1.0,18.0,1.0,12540.0,0.0,116.445084483,115.2,118.810402906,111.976931861,143.4,103.173076923,113.470192308,108.6,103.9,118.998617086,90.5,129.857705934,44030.1721758,89.0,5.0,25.0,0.124673061292,0.0,0.12891935357,0.0736162017359,0.0,0.0874271367687,0.295423414761,0.00992700831528,0.0,0.167472610741,0.0,0.112541212816
419,310.0,1.6,18.0,2.0,14560.0,0.0,119.985402483,115.2,113.3,113.985987018,143.4,102.5,113.726213592,85.5,103.9,126.951890764,88.3,98.3,18346.5476997,89.0,5.0,25.0,0.0503317367026,0.0,0.0544098952555,0.11008417154,0.0,0.00342250840905,0.658288252518,0.00348739260583,0.0,0.10214549054,0.0178305524305,0.0
431,311.0,2.1,18.0,4.0,32307.0,1.0,115.770188793,115.2,115.825308862,117.05256521,146.456511654,103.175020439,114.132680233,106.955033557,103.9,119.833251217,88.3000000001,114.705463425,29165.8230136,89.0,5.0,25.0,0.178984982544,0.0,0.0672873956198,0.06045393906,0.00677762681865,0.121786229452,0.396037064966,0.0139909728796,0.0,0.134932342088,0.00571491006153,0.0140345365086
443,312.0,1.5,18.0,3.0,27352.0,0.0,115.984435054,115.2,123.068140909,115.816381083,143.4,102.5,114.135901586,94.7475757959,103.9,108.631578496,89.0020843089,122.892875608,26828.0132349,89.0,5.0,25.0,0.134349620467,0.0,0.0473130789932,0.08946830994,0.0,0.00223374920186,0.320021267388,0.00690904449462,0.0,0.349809713878,0.0117004015996,0.0381948140369
455,314.0,2.3,18.0,4.0,9331.0,0.0,119.228961162,115.2,118.8,116.567647059,143.4,107.227741936,114.598327759,107.334710744,98.08,117.249549549,88.3,111.516666667,16353.6440257,89.0,5.0,25.0,0.332422366816,0.0,0.0,0.0178451515504,0.0,0.0363164452127,0.397695577703,0.00740045057767,0.0876257538163,0.0763995099548,0.0260914389821,0.0182033053886
467,315.0,1.5,18.0,3.0,23538.0,0.0,117.50365793,115.2,118.8,108.569139822,109.4,102.687084871,114.508546595,103.485555401,103.9,126.349504874,90.5,105.424115485,21239.6393475,89.0,5.0,25.0,0.105111788166,0.0,0.0,0.0502759437234,0.000431445415302,0.0224887935716,0.54201636701,0.0207702227836,0.0,0.22672810144,0.000729703947114,0.0314476339448
