;emissions_CO2
1;2614.8392663962281
2;3032.7262258480646
3;3123.8525270077307
4;3252.7907544547174
5;3735.5980222743979
6;3957.9133281281697
7;3842.0577168176314
8;4280.7121860572624
9;4641.9531627329861
10;5597.6418723561137
