product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.286,0.161,0.154,0.058,0.082,-0.01,0.024,0.091,0.055,0.001,0.031,0.038,0.147,0.116,0.071,0.095,-0.122,0.013,0.152,0.018,0.017
Alc,0.104,-1.283,0.132,0.039,0.073,-0.004,0.018,0.031,0.02,0.113,0.018,0.042,0.045,0.061,0.076,0.036,0.134,0.136,0.09,0.051,0.061
SD,0.217,0.288,-1.507,0.036,0.095,0.015,0.005,0.028,-0.049,0.015,0.016,0.02,0.07,0.055,0.055,0.052,0.261,0.018,0.101,0.115,0.034
Wat,0.058,0.061,0.026,-1.404,0.023,0.072,0.001,0.038,0.063,0.018,0.066,0.031,0.115,0.016,0.095,0.053,0.329,0.007,0.137,0.083,0.015
Cof,0.103,0.141,0.084,0.028,-0.946,-0.033,0.027,0.029,0.03,0.018,0.013,0.012,0.072,0.024,0.047,0.052,0.0,0.114,0.119,0.053,0.114
FFV,-0.022,-0.012,0.024,0.161,-0.059,-1.075,-0.002,-0.002,0.027,-0.017,0.083,0.031,0.069,0.221,0.085,0.075,0.232,-0.054,0.059,0.143,0.095
Spices,0.091,0.104,0.013,0.004,0.081,-0.004,-0.983,0.011,0.045,0.218,-0.014,0.027,0.15,0.077,0.047,0.016,-0.042,0.088,0.088,-0.084,0.06
PBF,0.2,0.104,0.044,0.082,0.051,-0.002,0.006,-1.172,0.077,0.042,0.13,0.107,0.093,0.11,0.091,0.01,-0.269,0.034,0.249,-0.024,0.093
PBD,0.077,0.044,-0.049,0.087,0.033,0.017,0.016,0.05,-1.025,0.047,0.029,0.032,0.177,0.045,0.073,0.042,-0.161,0.186,0.112,0.095,0.055
PBS,0.002,0.239,0.014,0.024,0.02,-0.01,0.079,0.026,0.046,-1.077,0.03,0.011,0.171,0.077,-0.043,0.012,-0.044,0.239,-0.001,0.136,0.08
Starch,0.069,0.061,0.025,0.144,0.023,0.082,-0.008,0.13,0.045,0.049,-1.222,0.058,0.085,0.157,0.112,-0.013,-0.018,-0.009,0.107,0.008,0.014
PFV,0.087,0.148,0.033,0.07,0.021,0.031,0.016,0.112,0.052,0.018,0.06,-1.214,0.1,0.119,0.076,0.042,-0.063,0.097,0.112,0.007,0.053
Beef,0.094,0.045,0.032,0.074,0.037,0.02,0.025,0.027,0.081,0.08,0.025,0.028,-1.112,0.092,0.1,0.037,0.014,0.062,0.112,0.017,0.018
OM,0.105,0.085,0.035,0.015,0.017,0.089,0.018,0.045,0.029,0.051,0.064,0.047,0.128,-1.337,0.059,0.04,0.128,0.094,0.092,0.099,0.033
CM,0.076,0.126,0.042,0.102,0.041,0.041,0.013,0.045,0.056,-0.034,0.055,0.036,0.168,0.071,-1.179,0.057,0.05,0.005,0.123,0.054,0.076
ABF,0.182,0.108,0.071,0.101,0.079,0.064,0.008,0.009,0.058,0.017,-0.011,0.035,0.109,0.086,0.102,-1.327,0.025,0.058,0.059,0.033,-0.005
Cheese,-0.082,0.139,0.125,0.219,0.0,0.07,-0.008,-0.083,-0.077,-0.022,-0.005,-0.018,0.015,0.095,0.031,0.009,-0.79,-0.014,0.041,0.117,-0.11
