product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.255,0.163,0.145,0.06,0.082,-0.006,0.025,0.088,0.055,0.005,0.03,0.037,0.139,0.108,0.066,0.087,-0.107,0.018,0.137,0.02,0.015
Alc,0.104,-1.243,0.124,0.044,0.073,0.0,0.019,0.032,0.023,0.108,0.018,0.041,0.046,0.057,0.07,0.033,0.128,0.13,0.079,0.051,0.056
SD,0.219,0.293,-1.499,0.039,0.097,0.016,0.007,0.03,-0.047,0.016,0.016,0.021,0.067,0.051,0.051,0.049,0.258,0.02,0.092,0.114,0.029
Wat,0.062,0.07,0.027,-1.378,0.026,0.07,0.003,0.039,0.063,0.02,0.063,0.031,0.111,0.015,0.09,0.049,0.315,0.01,0.125,0.081,0.012
Cof,0.104,0.145,0.082,0.033,-0.944,-0.029,0.028,0.03,0.031,0.02,0.013,0.013,0.07,0.022,0.044,0.048,0.004,0.112,0.107,0.052,0.105
FFV,-0.015,-0.001,0.025,0.16,-0.053,-1.072,0.0,0.0,0.028,-0.014,0.081,0.031,0.066,0.213,0.081,0.071,0.227,-0.05,0.051,0.14,0.089
Spices,0.092,0.109,0.016,0.012,0.079,0.0,-0.982,0.014,0.045,0.198,-0.01,0.027,0.139,0.071,0.044,0.015,-0.03,0.085,0.078,-0.069,0.054
PBF,0.196,0.111,0.044,0.083,0.053,0.0,0.008,-1.16,0.076,0.043,0.124,0.103,0.089,0.103,0.086,0.008,-0.251,0.037,0.231,-0.02,0.086
PBD,0.081,0.053,-0.046,0.089,0.036,0.018,0.018,0.05,-1.022,0.048,0.028,0.032,0.171,0.041,0.069,0.039,-0.155,0.184,0.102,0.094,0.05
PBS,0.007,0.244,0.015,0.028,0.023,-0.009,0.079,0.028,0.047,-1.074,0.03,0.011,0.166,0.072,-0.044,0.01,-0.042,0.236,-0.008,0.134,0.074
Starch,0.073,0.069,0.026,0.148,0.025,0.083,-0.006,0.133,0.046,0.05,-1.225,0.059,0.082,0.154,0.11,-0.016,-0.02,-0.008,0.098,0.007,0.007
PFV,0.091,0.155,0.033,0.073,0.024,0.032,0.018,0.112,0.053,0.019,0.059,-1.21,0.097,0.114,0.073,0.039,-0.062,0.098,0.102,0.007,0.047
Beef,0.1,0.052,0.032,0.077,0.039,0.02,0.028,0.029,0.084,0.082,0.024,0.029,-1.122,0.089,0.099,0.034,0.01,0.064,0.104,0.016,0.011
OM,0.113,0.093,0.036,0.015,0.018,0.095,0.02,0.048,0.029,0.052,0.067,0.049,0.129,-1.37,0.057,0.038,0.13,0.099,0.084,0.103,0.025
CM,0.082,0.137,0.043,0.108,0.043,0.043,0.015,0.048,0.058,-0.037,0.057,0.037,0.17,0.067,-1.196,0.057,0.047,0.004,0.117,0.054,0.071
ABF,0.2,0.118,0.076,0.109,0.086,0.069,0.01,0.008,0.062,0.016,-0.015,0.037,0.109,0.084,0.105,-1.368,0.018,0.061,0.048,0.031,-0.018
Cheese,-0.079,0.148,0.126,0.225,0.002,0.071,-0.006,-0.083,-0.078,-0.022,-0.006,-0.019,0.011,0.092,0.028,0.006,-0.789,-0.013,0.031,0.117,-0.119
Fish,0.019,0.224,0.015,0.011,0.096,-0.023,0.026,0.018,0.138,0.179,-0.004,0.044,0.098,0.104,0.003,0.029,-0.019,-1.162,0.102,0.054,0.071
Dairy,0.118,0.108,0.053,0.104,0.073,0.019,0.019,0.089,0.06,-0.005,0.035,0.036,0.125,0.07,0.082,0.018,0.037,0.08,-1.294,0.031,-0.024
PrepM,0.024,0.095,0.091,0.093,0.049,0.071,-0.023,-0.011,0.076,0.111,0.004,0.004,0.026,0.117,0.052,0.016,0.19,0.059,0.043,-1.152,0.055
PrepD,0.015,0.089,0.02,0.011,0.085,0.039,0.015,0.039,0.035,0.052,0.003,0.02,0.015,0.025,0.059,-0.008,-0.165,0.066,-0.028,0.047,-1.445
