age,revenus,poste_coicop,bdf_budget_share,bdf_expenditures,kantar_aggregated_budget_share,kantar_aggregated_expenditures,kantar_budget_share,kantar_expenditures,nomc,nomk,kantar_to_bdf,kantar_budget_share_to_bdf
0,0,poste_01_1_2_5_1,0.0347889931774,77632622.8575,0.0291009265044,11400.8916016,0.0291009265044,11400.8916016,1124 : Viande de volaille fraîche ou surgelée,11241 : Viande de volaille,6809.34663451,1.19545998551
0,0,poste_01_1_2_6_1,0.00011475009106,256068.075806,0.00320925411674,1257.29187012,0.00320925411674,1257.29187012,1127 : Autres viandes comestibles fraîches ou surgelées,11271 : Autres viandes fraîches,203.666373649,0.0357560002686
0,0,poste_01_1_2_6_3,0.0224833042896,50172129.8345,0.0265607754849,10405.7347491,0.0120709421912,4729.04199219,"1126 : Conserve de viande, plat préparé de viandes",11261 : produits de transformation des viandes,4821.58454394,0.846485235431
0,0,poste_01_1_2_6_3,0.0224833042896,50172129.8345,0.0265607754849,10405.7347491,0.0144816351321,5673.48095703,"1126 : Conserve de viande, plat préparé de viandes",11262 : Plats cuisinés à base de viande,4821.58454394,0.846485235431
0,0,poste_01_1_2_6_3,0.0224833042896,50172129.8345,0.0265607754849,10405.7347491,8.19816159465e-06,3.21179986,"1126 : Conserve de viande, plat préparé de viandes",11262 : bœuf pané,4821.58454394,0.846485235431
0,0,poste_01_1_3_1_1,0.00558869371496,12471328.1936,0.00539061502446,2111.88525391,0.00539061502446,2111.88525391,1130 : Poissons frais,11301 : Poissons frais ou réfrigérés,5905.30577859,1.03674510044
0,0,poste_01_1_3_1_2,0.00424177360761,9465637.85413,0.00786815190524,3082.51171875,0.00786815190524,3082.51171875,1132 : Fruits de mer frais ou surgelés,11321 : Fruits de mer frais,3070.75486414,0.539106725276
0,0,poste_01_1_3_2_1_a,0.00351079630571,7834441.31714,0.00407884539154,1597.97229004,0.00407884539154,1597.97229004,1131 : Poissons surgelés ou congelés ,11311 : Poissons surgelés,4902.73915635,0.860732871363
0,0,poste_01_1_3_2_1_b,0.00322924591495,7206153.65186,0.00350758252649,1374.16821289,0.00350758252649,1374.16821289,"1133 : Poissons et fruits de mer salés, fumés, séchés","11331 : PDM séchés, fumés ou salés",5244.01131117,0.920647166693
0,0,poste_01_1_3_2_2,0.0153446261646,34241967.563,0.0232926353169,9125.37304688,0.0173301675949,6789.45263672,1134 : Conserves et plats préparés à base de produits de mer,11341 : PDM en conserve et poisson pané,3752.39098578,0.65877587297
0,0,poste_01_1_3_2_2,0.0153446261646,34241967.563,0.0232926353169,9125.37304688,0.00596246772198,2335.92041016,1134 : Conserves et plats préparés à base de produits de mer,11342 : Préparations à base de P.D.M,3752.39098578,0.65877587297
0,0,poste_01_1_4_1_1_a,0.00118183415965,2637296.375,0.0014012493672,548.968505859,0.0014012493672,548.968505859,1141 : Lait entier,11411 : lait entier,4804.09412717,0.843414589377
0,0,poste_01_1_4_1_1_b,0.0216650284341,48346124.1044,0.0248986497123,9754.5625,0.0248986497123,9754.5625,"1142 : Lait demi-écrémé, écrémé",11421 : Lait Ecrémé/Demi-Ecrémé,4956.25755685,0.870128648919
0,0,poste_01_1_4_1_1_c,8.88961604091e-05,198374.297852,0.00651872284845,2553.84489441,0.000526930513565,206.435958862,1143 : Lait de conserve,11431 : Lait de conserve,77.6767212002,0.0136370516857
0,0,poste_01_1_4_1_1_c,8.88961604091e-05,198374.297852,0.00651872284845,2553.84489441,0.00599179233488,2347.40893555,1143 : Lait de conserve,11432 : Lait de conserve pour bébé,77.6767212002,0.0136370516857
0,0,poste_01_1_4_2_1,0.025182400221,56195238.7939,0.0322202036539,12622.9331284,0.0277435353715,10869.1054688,"1144 : Yaourts, fromage blanc",11441 : Yaourt et Petits suisses,4451.83684509,0.781571727215
0,0,poste_01_1_4_2_1,0.025182400221,56195238.7939,0.0322202036539,12622.9331284,0.000284643295677,111.514915466,"1144 : Yaourts, fromage blanc",11442 : Yaourt au soja ,4451.83684509,0.781571727215
