,ident_men,numero_categ,ocde10,vag,typmen,revtot,fumeur,p1,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,temps2,decile,1,2,3,4,5,6,7,8,9
602,492.0,9,2.4,18.0,4.0,57672.0,0.0,117.316714712,143.4,108.082299121,112.90562722,113.296013841,116.142424242,123.7176303,117.183050315,117.849337936,32584.3320452,89.0,5.0,25.0,7921.0,7,0.140198277924,0.0,0.138268724688,0.285163040712,0.0766995914674,0.0163868359047,0.072991678761,0.145980753509,0.124311097034
611,493.0,9,1.8,18.0,4.0,65292.0,0.0,115.68440471,143.4,104.104283985,114.024945661,108.49747466,120.188729181,108.308611217,119.86471951,112.56024613,25804.5981938,89.0,5.0,25.0,7921.0,5,0.172615967616,0.0,0.0940967087521,0.268420019843,0.057629210116,0.0721008463768,0.0627668002886,0.121602400674,0.150768046334
620,494.0,9,1.0,18.0,1.0,5680.0,0.0,116.180706435,110.24227645,102.5,112.072898121,109.55,116.9,98.3,118.8,112.597297733,11750.8922258,89.0,5.0,25.0,7921.0,1,0.164823818722,0.0239798944388,0.0208491312026,0.717382885613,0.0,0.0,0.0,0.0,0.0729642700237
629,495.0,9,1.0,18.0,1.0,26261.0,0.0,117.752485396,143.4,104.232341574,111.937078652,99.5598573367,127.755142316,120.009882097,116.852320789,110.715394074,36940.4533985,89.0,5.0,25.0,7921.0,8,0.0858048444403,0.0,0.111975912325,0.266179351421,0.155350520723,0.036130179823,0.0701308599492,0.0721815249344,0.202246806384
638,496.0,9,1.5,18.0,3.0,10032.0,0.0,115.020452612,143.4,112.022784816,114.761731208,109.55,110.5,111.4,118.8,88.3,12662.0181826,89.0,5.0,25.0,7921.0,1,0.119763537985,0.0,0.00124391704639,0.867268437289,0.0,0.00272612505357,0.00670149717571,0.0,0.00229648544848
647,497.0,9,1.5,18.0,3.0,69276.0,0.0,116.449040206,113.1,109.98631607,112.762455611,97.0,127.544281178,126.498106487,121.8,107.765572151,55648.8241692,89.0,5.0,25.0,7921.0,10,0.12764680583,0.0480070716969,0.11593091677,0.359348969151,0.0102137789647,0.0324661342802,0.145093262541,0.0360086854057,0.12528437536
656,565.0,9,1.0,18.0,1.0,19763.0,0.0,117.640198102,113.1,112.2,112.32335958,109.55,116.998046411,129.236190183,118.8,110.842041904,37663.4555181,89.0,5.0,25.0,7921.0,8,0.157214723016,0.0099147193083,0.00123075057648,0.506088842106,0.0,0.159036512975,0.11604910567,0.0,0.0504653463484
665,566.0,9,1.5,18.0,3.0,27312.0,1.0,118.37838423,128.249554967,102.235264071,114.015880893,102.826086957,125.782258848,108.002981345,113.572241993,108.58521942,35357.2472364,89.0,5.0,25.0,7921.0,8,0.0504863539281,0.0320427753008,0.148271170762,0.285114007618,0.0475427206168,0.0951551535866,0.100747297149,0.119187440517,0.121453080522
674,567.0,9,2.5,18.0,4.0,45057.0,0.0,116.413671673,113.1,103.856173588,111.719996384,110.639063604,107.969003644,123.525849486,119.471078482,102.376749176,36851.4492119,89.0,5.0,25.0,7921.0,8,0.115048733561,0.00420744828171,0.105105192135,0.250293621291,0.035635257011,0.194466177051,0.104729327626,0.0920881629224,0.0984260801192
683,568.0,9,1.5,18.0,3.0,112498.0,0.0,117.496273512,103.0,106.085501577,112.722311828,97.0,126.63182758,123.554157817,121.826218921,108.112847205,78954.2761002,89.0,5.0,25.0,7921.0,10,0.106263842176,0.00638351700026,0.0791053449001,0.248811431136,0.0427235057105,0.0715133828363,0.0919631094473,0.294129221031,0.0591066457613
692,569.0,9,1.0,18.0,1.0,115479.0,0.0,118.363092313,113.1,105.503791467,113.828890404,109.55,111.2,126.957470712,118.8,109.955373939,40731.1010871,89.0,5.0,25.0,7921.0,9,0.0696350079924,0.023566814134,0.0911723605421,0.41992817549,0.0,0.00158899974812,0.0369792010405,0.0,0.357129441055
701,570.0,9,1.0,18.0,1.0,26648.0,0.0,116.77754198,111.666627774,107.452711722,113.130263906,103.721991621,115.921196406,115.621193068,121.8,112.711063931,45590.43968,89.0,5.0,25.0,7921.0,9,0.10268138599,0.00861291241514,0.133111835156,0.317471035785,0.131358089687,0.0361665793012,0.10357911989,0.0268340311707,0.140185010605
710,571.0,9,2.1,18.0,4.0,68667.0,0.0,114.358415018,113.1,107.498978713,114.624223338,97.0,127.563844822,126.798949298,120.096182126,106.316265508,45883.6940389,89.0,5.0,25.0,7921.0,9,0.0351569427968,0.00228247783224,0.0743669018181,0.254175649365,0.0104142385275,0.352946854745,0.0466035564029,0.0793105436793,0.144742834833
719,572.0,9,2.0,18.0,2.0,59609.0,0.0,118.435067923,110.265190446,103.424951141,112.721982241,100.506597194,107.100857357,120.886745726,124.074495289,105.73773186,57850.3479352,89.0,5.0,25.0,7921.0,10,0.102401830008,0.00447096171685,0.0386989363531,0.225226502098,0.243111413819,0.2102468446,0.0331793294318,0.0722298520461,0.0704343299268
