;elas_transports;elas_housing
0;-0.3535820121195779;-0.33529476336578823
1;-0.3183257382750887;-0.30283850059148265
2;-0.2590419730531114;-0.25330487506425375
3;-0.23330628497045744;-0.21878545989030562
4;-0.16480881715699075;-0.15757462109907913
