;Ex ante;Ex post
0.05;0.0;0.0
0.1;0.0;0.0
0.2;0.0;197.45966520599998
0.3;0.0;574.888268464
0.4;0.0;874.724330714
0.5;0.0;1074.49575241
0.6;1523.199999999999;1450.33056859
0.7;2103.0;1756.5387818429995
0.8;2860.0;2211.14519078
0.9;3866.8999999999996;2981.378348577
0.95;5200.0;3717.136498524999
