keys;enl;matched
1;9.17480069579;11.0872615344
2;11.6273898419;16.1251605957
3;11.5843397853;11.8025761665
4;13.3866822304;12.8285028839
5;11.6444149554;15.1546816684
6;12.1254154461;12.3311902859
7;13.7925423569;13.0386483111
8;14.5197291656;11.8246348797
