keys;enl;matched
1;20.9005253186;21.5000678258
2;16.2480738443;17.1288550141
3;14.2801896696;16.6612577261
4;11.6152130814;12.8404513835
5;13.589736114;13.7689581379
6;11.1903132803;12.1418955001
7;11.1638949864;10.226750869
8;8.14051288879;7.27387985202
9;7.45054689014;7.79473719116
10;6.51891843;7.02276603218
