;Matched;ENTD
1;7410.3360222374813;6822.6201097659568
2;8849.6027399748382;8155.7898503736296
3;9398.1248246977357;9814.5188423450763
4;12281.970264857931;11541.194011935586
5;12396.713416930434;12024.287479553072
6;14469.598349290351;13547.242009027896
7;15033.120570175695;13939.808262820838
8;16080.46202563808;14866.645487156797
9;16095.302391871997;15097.033630742273
10;16315.187117940539;16185.532435884794
