,posteCOICOP,annee,description,categoriefiscale,supplementaire
68,114,1999,"Lait, fromage et œufs",2,0
69,114,2000,"Lait, fromage et œufs",2,0
70,114,2001,"Lait, fromage et œufs",2,0
71,114,2002,"Lait, fromage et œufs",2,0
72,114,2003,"Lait, fromage et œufs",2,0
73,114,2004,"Lait, fromage et œufs",2,0
74,114,2005,"Lait, fromage et œufs",2,0
75,114,2006,"Lait, fromage et œufs",2,0
76,114,2007,"Lait, fromage et œufs",2,0
77,114,2008,"Lait, fromage et œufs",2,0
78,114,2009,"Lait, fromage et œufs",2,0
79,114,2010,"Lait, fromage et œufs",2,0
80,114,2011,"Lait, fromage et œufs",2,0
81,114,2012,"Lait, fromage et œufs",2,0
82,114,2013,"Lait, fromage et œufs",2,0
83,114,2014,"Lait, fromage et œufs",2,0
84,115,1994,Huiles et graisses,2,0
85,115,1995,Huiles et graisses,2,0
86,115,1996,Huiles et graisses,2,0
87,115,1997,Huiles et graisses,2,0
88,115,1998,Huiles et graisses,2,0
89,115,1999,Huiles et graisses,2,0
90,115,2000,Huiles et graisses,2,0
91,115,2001,Huiles et graisses,2,0
92,115,2002,Huiles et graisses,2,0
93,115,2003,Huiles et graisses,2,0
94,115,2004,Huiles et graisses,2,0
95,115,2005,Huiles et graisses,2,0
96,115,2006,Huiles et graisses,2,0
97,115,2007,Huiles et graisses,2,0
98,115,2008,Huiles et graisses,2,0
99,115,2009,Huiles et graisses,2,0
100,115,2010,Huiles et graisses,2,0
101,115,2011,Huiles et graisses,2,0
102,115,2012,Huiles et graisses,2,0
103,115,2013,Huiles et graisses,2,0
104,115,2014,Huiles et graisses,2,0
105,1151,1994,Margarines et autres graisses végétales,3,1
106,1151,1995,Margarines et autres graisses végétales,3,1
107,1151,1996,Margarines et autres graisses végétales,3,1
108,1151,1997,Margarines et autres graisses végétales,3,1
109,1151,1998,Margarines et autres graisses végétales,3,1
110,1151,1999,Margarines et autres graisses végétales,3,1
111,1151,2000,Margarines et autres graisses végétales,3,1
112,1151,2001,Margarines et autres graisses végétales,3,1
113,1151,2002,Margarines et autres graisses végétales,3,1
114,1151,2003,Margarines et autres graisses végétales,3,1
115,1151,2004,Margarines et autres graisses végétales,3,1
116,1151,2005,Margarines et autres graisses végétales,3,1
117,1151,2006,Margarines et autres graisses végétales,3,1
118,1151,2007,Margarines et autres graisses végétales,3,1
119,1151,2008,Margarines et autres graisses végétales,3,1
120,1151,2009,Margarines et autres graisses végétales,3,1
121,1151,2010,Margarines et autres graisses végétales,3,1
122,1151,2011,Margarines et autres graisses végétales,3,1
123,1151,2012,Margarines et autres graisses végétales,3,1
124,1151,2013,Margarines et autres graisses végétales,3,1
125,1151,2014,Margarines et autres graisses végétales,3,1
126,116,1994,Fruits,2,0
127,116,1995,Fruits,2,0
128,116,1996,Fruits,2,0
129,116,1997,Fruits,2,0
130,116,1998,Fruits,2,0
131,116,1999,Fruits,2,0
132,116,2000,Fruits,2,0
133,116,2001,Fruits,2,0
134,116,2002,Fruits,2,0
135,116,2003,Fruits,2,0
136,116,2004,Fruits,2,0
137,116,2005,Fruits,2,0
138,116,2006,Fruits,2,0
139,116,2007,Fruits,2,0
140,116,2008,Fruits,2,0
141,116,2009,Fruits,2,0
142,116,2010,Fruits,2,0
143,116,2011,Fruits,2,0
144,116,2012,Fruits,2,0
145,116,2013,Fruits,2,0
146,116,2014,Fruits,2,0
147,117,1994,Légumes,2,0
148,117,1995,Légumes,2,0
149,117,1996,Légumes,2,0
150,117,1997,Légumes,2,0
151,117,1998,Légumes,2,0
152,117,1999,Légumes,2,0
153,117,2000,Légumes,2,0
154,117,2001,Légumes,2,0
155,117,2002,Légumes,2,0
156,117,2003,Légumes,2,0
157,117,2004,Légumes,2,0
158,117,2005,Légumes,2,0
159,117,2006,Légumes,2,0
160,117,2007,Légumes,2,0
161,117,2008,Légumes,2,0
162,117,2009,Légumes,2,0
163,117,2010,Légumes,2,0
164,117,2011,Légumes,2,0
165,117,2012,Légumes,2,0
166,117,2013,Légumes,2,0
167,117,2014,Légumes,2,0
168,118,1994,"Sucre, confiture, miel, chocolat et confiserie",2,0
169,118,1995,"Sucre, confiture, miel, chocolat et confiserie",2,0
170,118,1996,"Sucre, confiture, miel, chocolat et confiserie",2,0
171,118,1997,"Sucre, confiture, miel, chocolat et confiserie",2,0
172,118,1998,"Sucre, confiture, miel, chocolat et confiserie",2,0
173,118,1999,"Sucre, confiture, miel, chocolat et confiserie",2,0
174,118,2000,"Sucre, confiture, miel, chocolat et confiserie",2,0
175,118,2001,"Sucre, confiture, miel, chocolat et confiserie",2,0
176,118,2002,"Sucre, confiture, miel, chocolat et confiserie",2,0
177,118,2003,"Sucre, confiture, miel, chocolat et confiserie",2,0
178,118,2004,"Sucre, confiture, miel, chocolat et confiserie",2,0
179,118,2005,"Sucre, confiture, miel, chocolat et confiserie",2,0
180,118,2006,"Sucre, confiture, miel, chocolat et confiserie",2,0
181,118,2007,"Sucre, confiture, miel, chocolat et confiserie",2,0
182,118,2008,"Sucre, confiture, miel, chocolat et confiserie",2,0
183,118,2009,"Sucre, confiture, miel, chocolat et confiserie",2,0
184,118,2010,"Sucre, confiture, miel, chocolat et confiserie",2,0
185,118,2011,"Sucre, confiture, miel, chocolat et confiserie",2,0
186,118,2012,"Sucre, confiture, miel, chocolat et confiserie",2,0
187,118,2013,"Sucre, confiture, miel, chocolat et confiserie",2,0
188,118,2014,"Sucre, confiture, miel, chocolat et confiserie",2,0
189,1181,1994,Confiserie,3,1
190,1181,1995,Confiserie,3,1
191,1181,1996,Confiserie,3,1
192,1181,1997,Confiserie,3,1
193,1181,1998,Confiserie,3,1
194,1181,1999,Confiserie,3,1
195,1181,2000,Confiserie,3,1
196,1181,2001,Confiserie,3,1
197,1181,2002,Confiserie,3,1
198,1181,2003,Confiserie,3,1
199,1181,2004,Confiserie,3,1
200,1181,2005,Confiserie,3,1
201,1181,2006,Confiserie,3,1
202,1181,2007,Confiserie,3,1
203,1181,2008,Confiserie,3,1
204,1181,2009,Confiserie,3,1
205,1181,2010,Confiserie,3,1
206,1181,2011,Confiserie,3,1
207,1181,2012,Confiserie,3,1
208,1181,2013,Confiserie,3,1
209,1181,2014,Confiserie,3,1
210,119,1994,Produits alimentaires non compris ailleurs,2,0
211,119,1995,Produits alimentaires non compris ailleurs,2,0
212,119,1996,Produits alimentaires non compris ailleurs,2,0
213,119,1997,Produits alimentaires non compris ailleurs,2,0
214,119,1998,Produits alimentaires non compris ailleurs,2,0
215,119,1999,Produits alimentaires non compris ailleurs,2,0
216,119,2000,Produits alimentaires non compris ailleurs,2,0
217,119,2001,Produits alimentaires non compris ailleurs,2,0
218,119,2002,Produits alimentaires non compris ailleurs,2,0
219,119,2003,Produits alimentaires non compris ailleurs,2,0
220,119,2004,Produits alimentaires non compris ailleurs,2,0
221,119,2005,Produits alimentaires non compris ailleurs,2,0
222,119,2006,Produits alimentaires non compris ailleurs,2,0
223,119,2007,Produits alimentaires non compris ailleurs,2,0
224,119,2008,Produits alimentaires non compris ailleurs,2,0
225,119,2009,Produits alimentaires non compris ailleurs,2,0
226,119,2010,Produits alimentaires non compris ailleurs,2,0
227,119,2011,Produits alimentaires non compris ailleurs,2,0
228,119,2012,Produits alimentaires non compris ailleurs,2,0
229,119,2013,Produits alimentaires non compris ailleurs,2,0
230,119,2014,Produits alimentaires non compris ailleurs,2,0
231,121,1994,"Café, thé et cacao",2,0
232,121,1995,"Café, thé et cacao",2,0
233,121,1996,"Café, thé et cacao",2,0
234,121,1997,"Café, thé et cacao",2,0
235,121,1998,"Café, thé et cacao",2,0
236,121,1999,"Café, thé et cacao",2,0
237,121,2000,"Café, thé et cacao",2,0
238,121,2001,"Café, thé et cacao",2,0
239,121,2002,"Café, thé et cacao",2,0
240,121,2003,"Café, thé et cacao",2,0
241,121,2004,"Café, thé et cacao",2,0
242,121,2005,"Café, thé et cacao",2,0
243,121,2006,"Café, thé et cacao",2,0
244,121,2007,"Café, thé et cacao",2,0
245,121,2008,"Café, thé et cacao",2,0
246,121,2009,"Café, thé et cacao",2,0
247,121,2010,"Café, thé et cacao",2,0
248,121,2011,"Café, thé et cacao",2,0
249,121,2012,"Café, thé et cacao",2,0
250,121,2013,"Café, thé et cacao",2,0
251,121,2014,"Café, thé et cacao",2,0
252,122,1994,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
253,122,1995,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
254,122,1996,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
255,122,1997,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
256,122,1998,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
257,122,1999,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
258,122,2000,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
259,122,2001,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
260,122,2002,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
261,122,2003,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
262,122,2004,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
263,122,2005,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
264,122,2006,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
265,122,2007,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
266,122,2008,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
267,122,2009,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
268,122,2010,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
269,122,2011,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
270,122,2012,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
271,122,2013,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
272,122,2014,"Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes",2,0
273,211,1994,Alcools de bouche ,10,0
274,211,1995,Alcools de bouche ,10,0
275,211,1996,Alcools de bouche ,10,0
276,211,1997,Alcools de bouche ,10,0
277,211,1998,Alcools de bouche ,10,0
278,211,1999,Alcools de bouche ,10,0
279,211,2000,Alcools de bouche ,10,0
280,211,2001,Alcools de bouche ,10,0
281,211,2002,Alcools de bouche ,10,0
282,211,2003,Alcools de bouche ,10,0
283,211,2004,Alcools de bouche ,10,0
284,211,2005,Alcools de bouche ,10,0
285,211,2006,Alcools de bouche ,10,0
286,211,2007,Alcools de bouche ,10,0
287,211,2008,Alcools de bouche ,10,0
288,211,2009,Alcools de bouche ,10,0
289,211,2010,Alcools de bouche ,10,0
290,211,2011,Alcools de bouche ,10,0
291,211,2012,Alcools de bouche ,10,0
292,211,2013,Alcools de bouche ,10,0
293,211,2014,Alcools de bouche ,10,0
294,212,1994,Vin et boissons fermentées,12,0
295,212,1995,Vin et boissons fermentées,12,0
296,212,1996,Vin et boissons fermentées,12,0
297,212,1997,Vin et boissons fermentées,12,0
298,212,1998,Vin et boissons fermentées,12,0
299,212,1999,Vin et boissons fermentées,12,0
300,212,2000,Vin et boissons fermentées,12,0
301,212,2001,Vin et boissons fermentées,12,0
302,212,2002,Vin et boissons fermentées,12,0
303,212,2003,Vin et boissons fermentées,12,0
304,212,2004,Vin et boissons fermentées,12,0
305,212,2005,Vin et boissons fermentées,12,0
306,212,2006,Vin et boissons fermentées,12,0
307,212,2007,Vin et boissons fermentées,12,0
308,212,2008,Vin et boissons fermentées,12,0
309,212,2009,Vin et boissons fermentées,12,0
310,212,2010,Vin et boissons fermentées,12,0
311,212,2011,Vin et boissons fermentées,12,0
312,212,2012,Vin et boissons fermentées,12,0
313,212,2013,Vin et boissons fermentées,12,0
314,212,2014,Vin et boissons fermentées,12,0
315,213,1994,Bière,13,0
316,213,1995,Bière,13,0
317,213,1996,Bière,13,0
318,213,1997,Bière,13,0
319,213,1998,Bière,13,0
320,213,1999,Bière,13,0
321,213,2000,Bière,13,0
322,213,2001,Bière,13,0
323,213,2002,Bière,13,0
324,213,2003,Bière,13,0
325,213,2004,Bière,13,0
326,213,2005,Bière,13,0
327,213,2006,Bière,13,0
328,213,2007,Bière,13,0
329,213,2008,Bière,13,0
330,213,2009,Bière,13,0
331,213,2010,Bière,13,0
332,213,2011,Bière,13,0
333,213,2012,Bière,13,0
334,213,2013,Bière,13,0
335,213,2014,Bière,13,0
336,2201,1994,Cigarettes,7,1
337,2201,1995,Cigarettes,7,1
338,2201,1996,Cigarettes,7,1
339,2201,1997,Cigarettes,7,1
340,2201,1998,Cigarettes,7,1
341,2201,1999,Cigarettes,7,1
342,2201,2000,Cigarettes,7,1
343,2201,2001,Cigarettes,7,1
344,2201,2002,Cigarettes,7,1
345,2201,2003,Cigarettes,7,1
346,2201,2004,Cigarettes,7,1
347,2201,2005,Cigarettes,7,1
348,2201,2006,Cigarettes,7,1
349,2201,2007,Cigarettes,7,1
350,2201,2008,Cigarettes,7,1
351,2201,2009,Cigarettes,7,1
352,2201,2010,Cigarettes,7,1
353,2201,2011,Cigarettes,7,1
354,2201,2012,Cigarettes,7,1
355,2201,2013,Cigarettes,7,1
356,2201,2014,Cigarettes,7,1
357,2202,1994,Cigares et cigarillos,8,1
358,2202,1995,Cigares et cigarillos,8,1
359,2202,1996,Cigares et cigarillos,8,1
360,2202,1997,Cigares et cigarillos,8,1
361,2202,1998,Cigares et cigarillos,8,1
362,2202,1999,Cigares et cigarillos,8,1
363,2202,2000,Cigares et cigarillos,8,1
364,2202,2001,Cigares et cigarillos,8,1
365,2202,2002,Cigares et cigarillos,8,1
366,2202,2003,Cigares et cigarillos,8,1
367,2202,2004,Cigares et cigarillos,8,1
368,2202,2005,Cigares et cigarillos,8,1
369,2202,2006,Cigares et cigarillos,8,1
370,2202,2007,Cigares et cigarillos,8,1
371,2202,2008,Cigares et cigarillos,8,1
372,2202,2009,Cigares et cigarillos,8,1
373,2202,2010,Cigares et cigarillos,8,1
374,2202,2011,Cigares et cigarillos,8,1
375,2202,2012,Cigares et cigarillos,8,1
376,2202,2013,Cigares et cigarillos,8,1
377,2202,2014,Cigares et cigarillos,8,1
378,2203,1994,Tabac sous d'autres formes,9,1
379,2203,1995,Tabac sous d'autres formes,9,1
380,2203,1996,Tabac sous d'autres formes,9,1
381,2203,1997,Tabac sous d'autres formes,9,1
382,2203,1998,Tabac sous d'autres formes,9,1
383,2203,1999,Tabac sous d'autres formes,9,1
384,2203,2000,Tabac sous d'autres formes,9,1
385,2203,2001,Tabac sous d'autres formes,9,1
386,2203,2002,Tabac sous d'autres formes,9,1
387,2203,2003,Tabac sous d'autres formes,9,1
388,2203,2004,Tabac sous d'autres formes,9,1
389,2203,2005,Tabac sous d'autres formes,9,1
390,2203,2006,Tabac sous d'autres formes,9,1
391,2203,2007,Tabac sous d'autres formes,9,1
392,2203,2008,Tabac sous d'autres formes,9,1
393,2203,2009,Tabac sous d'autres formes,9,1
394,2203,2010,Tabac sous d'autres formes,9,1
395,2203,2011,Tabac sous d'autres formes,9,1
396,2203,2012,Tabac sous d'autres formes,9,1
397,2203,2013,Tabac sous d'autres formes,9,1
398,2203,2014,Tabac sous d'autres formes,9,1
399,230,1994,Stupéfiants,0,0
400,230,1995,Stupéfiants,0,0
401,230,1996,Stupéfiants,0,0
402,230,1997,Stupéfiants,0,0
403,230,1998,Stupéfiants,0,0
404,230,1999,Stupéfiants,0,0
405,230,2000,Stupéfiants,0,0
406,230,2001,Stupéfiants,0,0
407,230,2002,Stupéfiants,0,0
408,230,2003,Stupéfiants,0,0
409,230,2004,Stupéfiants,0,0
410,230,2005,Stupéfiants,0,0
411,230,2006,Stupéfiants,0,0
412,230,2007,Stupéfiants,0,0
413,230,2008,Stupéfiants,0,0
414,230,2009,Stupéfiants,0,0
415,230,2010,Stupéfiants,0,0
416,230,2011,Stupéfiants,0,0
417,230,2012,Stupéfiants,0,0
418,230,2013,Stupéfiants,0,0
419,230,2014,Stupéfiants,0,0
420,311,1994,Tissus pour habillement,3,0
421,311,1995,Tissus pour habillement,3,0
422,311,1996,Tissus pour habillement,3,0
423,311,1997,Tissus pour habillement,3,0
424,311,1998,Tissus pour habillement,3,0
425,311,1999,Tissus pour habillement,3,0
426,311,2000,Tissus pour habillement,3,0
427,311,2001,Tissus pour habillement,3,0
428,311,2002,Tissus pour habillement,3,0
429,311,2003,Tissus pour habillement,3,0
430,311,2004,Tissus pour habillement,3,0
431,311,2005,Tissus pour habillement,3,0
432,311,2006,Tissus pour habillement,3,0
433,311,2007,Tissus pour habillement,3,0
434,311,2008,Tissus pour habillement,3,0
435,311,2009,Tissus pour habillement,3,0
436,311,2010,Tissus pour habillement,3,0
437,311,2011,Tissus pour habillement,3,0
438,311,2012,Tissus pour habillement,3,0
439,311,2013,Tissus pour habillement,3,0
440,311,2014,Tissus pour habillement,3,0
441,312,1994,Vêtements,3,0
442,312,1995,Vêtements,3,0
443,312,1996,Vêtements,3,0
444,312,1997,Vêtements,3,0
445,312,1998,Vêtements,3,0
446,312,1999,Vêtements,3,0
447,312,2000,Vêtements,3,0
448,312,2001,Vêtements,3,0
449,312,2002,Vêtements,3,0
450,312,2003,Vêtements,3,0
451,312,2004,Vêtements,3,0
452,312,2005,Vêtements,3,0
453,312,2006,Vêtements,3,0
454,312,2007,Vêtements,3,0
455,312,2008,Vêtements,3,0
456,312,2009,Vêtements,3,0
457,312,2010,Vêtements,3,0
458,312,2011,Vêtements,3,0
459,312,2012,Vêtements,3,0
460,312,2013,Vêtements,3,0
461,312,2014,Vêtements,3,0
462,313,1994,Autres articles et accessoires d'habillement,3,0
463,313,1995,Autres articles et accessoires d'habillement,3,0
464,313,1996,Autres articles et accessoires d'habillement,3,0
465,313,1997,Autres articles et accessoires d'habillement,3,0
466,313,1998,Autres articles et accessoires d'habillement,3,0
467,313,1999,Autres articles et accessoires d'habillement,3,0
468,313,2000,Autres articles et accessoires d'habillement,3,0
469,313,2001,Autres articles et accessoires d'habillement,3,0
470,313,2002,Autres articles et accessoires d'habillement,3,0
471,313,2003,Autres articles et accessoires d'habillement,3,0
472,313,2004,Autres articles et accessoires d'habillement,3,0
473,313,2005,Autres articles et accessoires d'habillement,3,0
474,313,2006,Autres articles et accessoires d'habillement,3,0
475,313,2007,Autres articles et accessoires d'habillement,3,0
476,313,2008,Autres articles et accessoires d'habillement,3,0
477,313,2009,Autres articles et accessoires d'habillement,3,0
478,313,2010,Autres articles et accessoires d'habillement,3,0
479,313,2011,Autres articles et accessoires d'habillement,3,0
480,313,2012,Autres articles et accessoires d'habillement,3,0
481,313,2013,Autres articles et accessoires d'habillement,3,0
482,313,2014,Autres articles et accessoires d'habillement,3,0
483,314,1994,"Nettoyage, réparation et location d'articles d'habillement",3,0
484,314,1995,"Nettoyage, réparation et location d'articles d'habillement",3,0
485,314,1996,"Nettoyage, réparation et location d'articles d'habillement",3,0
486,314,1997,"Nettoyage, réparation et location d'articles d'habillement",3,0
487,314,1998,"Nettoyage, réparation et location d'articles d'habillement",3,0
488,314,1999,"Nettoyage, réparation et location d'articles d'habillement",3,0
489,314,2000,"Nettoyage, réparation et location d'articles d'habillement",3,0
490,314,2001,"Nettoyage, réparation et location d'articles d'habillement",3,0
491,314,2002,"Nettoyage, réparation et location d'articles d'habillement",3,0
492,314,2003,"Nettoyage, réparation et location d'articles d'habillement",3,0
493,314,2004,"Nettoyage, réparation et location d'articles d'habillement",3,0
494,314,2005,"Nettoyage, réparation et location d'articles d'habillement",3,0
495,314,2006,"Nettoyage, réparation et location d'articles d'habillement",3,0
496,314,2007,"Nettoyage, réparation et location d'articles d'habillement",3,0
497,314,2008,"Nettoyage, réparation et location d'articles d'habillement",3,0
498,314,2009,"Nettoyage, réparation et location d'articles d'habillement",3,0
499,314,2010,"Nettoyage, réparation et location d'articles d'habillement",3,0
500,314,2011,"Nettoyage, réparation et location d'articles d'habillement",3,0
501,314,2012,"Nettoyage, réparation et location d'articles d'habillement",3,0
502,314,2013,"Nettoyage, réparation et location d'articles d'habillement",3,0
503,314,2014,"Nettoyage, réparation et location d'articles d'habillement",3,0
504,321,1994,Chaussures diverses,3,0
505,321,1995,Chaussures diverses,3,0
506,321,1996,Chaussures diverses,3,0
507,321,1997,Chaussures diverses,3,0
508,321,1998,Chaussures diverses,3,0
509,321,1999,Chaussures diverses,3,0
510,321,2000,Chaussures diverses,3,0
511,321,2001,Chaussures diverses,3,0
512,321,2002,Chaussures diverses,3,0
513,321,2003,Chaussures diverses,3,0
514,321,2004,Chaussures diverses,3,0
515,321,2005,Chaussures diverses,3,0
516,321,2006,Chaussures diverses,3,0
517,321,2007,Chaussures diverses,3,0
518,321,2008,Chaussures diverses,3,0
519,321,2009,Chaussures diverses,3,0
520,321,2010,Chaussures diverses,3,0
521,321,2011,Chaussures diverses,3,0
522,321,2012,Chaussures diverses,3,0
523,321,2013,Chaussures diverses,3,0
524,321,2014,Chaussures diverses,3,0
525,322,1994,Cordonnerie et location de chaussures,3,0
526,322,1995,Cordonnerie et location de chaussures,3,0
527,322,1996,Cordonnerie et location de chaussures,3,0
528,322,1997,Cordonnerie et location de chaussures,3,0
529,322,1998,Cordonnerie et location de chaussures,3,0
530,322,1999,Cordonnerie et location de chaussures,3,0
531,322,2000,Cordonnerie et location de chaussures,3,0
532,322,2001,Cordonnerie et location de chaussures,3,0
533,322,2002,Cordonnerie et location de chaussures,3,0
534,322,2003,Cordonnerie et location de chaussures,3,0
535,322,2004,Cordonnerie et location de chaussures,3,0
536,322,2005,Cordonnerie et location de chaussures,3,0
537,322,2006,Cordonnerie et location de chaussures,3,0
538,322,2007,Cordonnerie et location de chaussures,3,0
539,322,2008,Cordonnerie et location de chaussures,3,0
540,322,2009,Cordonnerie et location de chaussures,3,0
541,322,2010,Cordonnerie et location de chaussures,3,0
542,322,2011,Cordonnerie et location de chaussures,3,0
543,322,2012,Cordonnerie et location de chaussures,3,0
544,322,2013,Cordonnerie et location de chaussures,3,0
545,322,2014,Cordonnerie et location de chaussures,3,0
546,411,1994,Loyers effectivement payés par les locataires,0,0
547,411,1995,Loyers effectivement payés par les locataires,0,0
548,411,1996,Loyers effectivement payés par les locataires,0,0
549,411,1997,Loyers effectivement payés par les locataires,0,0
550,411,1998,Loyers effectivement payés par les locataires,0,0
551,411,1999,Loyers effectivement payés par les locataires,0,0
552,411,2000,Loyers effectivement payés par les locataires,0,0
553,411,2001,Loyers effectivement payés par les locataires,0,0
554,411,2002,Loyers effectivement payés par les locataires,0,0
555,411,2003,Loyers effectivement payés par les locataires,0,0
556,411,2004,Loyers effectivement payés par les locataires,0,0
557,411,2005,Loyers effectivement payés par les locataires,0,0
558,411,2006,Loyers effectivement payés par les locataires,0,0
559,411,2007,Loyers effectivement payés par les locataires,0,0
560,411,2008,Loyers effectivement payés par les locataires,0,0
561,411,2009,Loyers effectivement payés par les locataires,0,0
562,411,2010,Loyers effectivement payés par les locataires,0,0
563,411,2011,Loyers effectivement payés par les locataires,0,0
564,411,2012,Loyers effectivement payés par les locataires,0,0
565,411,2013,Loyers effectivement payés par les locataires,0,0
566,411,2014,Loyers effectivement payés par les locataires,0,0
567,412,1994,Autres loyers effectifs,0,0
568,412,1995,Autres loyers effectifs,0,0
569,412,1996,Autres loyers effectifs,0,0
570,412,1997,Autres loyers effectifs,0,0
571,412,1998,Autres loyers effectifs,0,0
572,412,1999,Autres loyers effectifs,0,0
573,412,2000,Autres loyers effectifs,0,0
574,412,2001,Autres loyers effectifs,0,0
575,412,2002,Autres loyers effectifs,0,0
576,412,2003,Autres loyers effectifs,0,0
577,412,2004,Autres loyers effectifs,0,0
578,412,2005,Autres loyers effectifs,0,0
579,412,2006,Autres loyers effectifs,0,0
580,412,2007,Autres loyers effectifs,0,0
581,412,2008,Autres loyers effectifs,0,0
582,412,2009,Autres loyers effectifs,0,0
583,412,2010,Autres loyers effectifs,0,0
584,412,2011,Autres loyers effectifs,0,0
585,412,2012,Autres loyers effectifs,0,0
586,412,2013,Autres loyers effectifs,0,0
587,412,2014,Autres loyers effectifs,0,0
588,421,1994,Loyers fictifs des propriétaires occupants,0,0
589,421,1995,Loyers fictifs des propriétaires occupants,0,0
590,421,1996,Loyers fictifs des propriétaires occupants,0,0
591,421,1997,Loyers fictifs des propriétaires occupants,0,0
592,421,1998,Loyers fictifs des propriétaires occupants,0,0
593,421,1999,Loyers fictifs des propriétaires occupants,0,0
594,421,2000,Loyers fictifs des propriétaires occupants,0,0
595,421,2001,Loyers fictifs des propriétaires occupants,0,0
596,421,2002,Loyers fictifs des propriétaires occupants,0,0
597,421,2003,Loyers fictifs des propriétaires occupants,0,0
598,421,2004,Loyers fictifs des propriétaires occupants,0,0
599,421,2005,Loyers fictifs des propriétaires occupants,0,0
600,421,2006,Loyers fictifs des propriétaires occupants,0,0
