start;stop;value
1990-01-01;1990-12-31;81.29888257142859
1991-01-01;1991-12-31;78.30015978846153
1992-01-01;1992-12-31;76.01928819230767
1993-01-01;1993-12-31;77.87268341509431
1994-01-01;1994-12-31;80.30251944230767
1995-01-01;1995-12-31;85.69686898076921
1996-01-01;1996-12-31;90.91229675000005
1997-01-01;1997-12-31;94.10985609615382
1998-01-01;1998-12-31;91.85865323076925
1999-01-01;1999-12-31;95.50006273838149
2000-01-01;2000-12-31;109.1731164589148
2001-01-01;2001-12-31;103.2881857947675
2002-01-01;2002-12-31;101.45948192307692
2003-01-01;2003-12-31;101.63173076923077
2004-01-01;2004-12-31;106.02735849056603
2005-01-01;2005-12-31;116.59134615384615
2006-01-01;2006-12-31;123.6817307692308
2007-01-01;2007-12-31;127.64519230769231
2008-01-01;2008-12-31;135.37557692307695
2009-01-01;2009-12-31;120.92057692307692
2010-01-01;2010-12-31;134.64018867924526
2011-01-01;2011-12-31;149.9534615384615
2012-01-01;2012-12-31;156.57750000000007
2013-01-01;2013-12-31;153.6734615384615
2014-01-01;2014-12-31;148.4582692307693
