v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_23,vag_24,vag_25,vag_26,vag_27,vag_28,mu_1,mu_2,mu_3,mu_4,ce_1_1,ce_1_2,ce_1_3,ce_1_4,ce_2_1,ce_2_2,ce_2_3,ce_2_4,ce_3_1,ce_3_2,ce_3_3,ce_3_4,ce_4_1,ce_4_2,ce_4_3,ce_4_4
955,5894,.0941794,.0105701,.1630611,.7321894,185.1409,135.53,126.037,126.091,28382,28382,1,31,79,5,0,0,0,24,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.16626,-1.578482,1.00543,1.014629,-1.256294,.0806861,-.1596845,.1690327,.9141064,4.37094,1.031639,-4.738203,-.0765517,.0388701,-.0814521,-.8862963,.0368184,-.0965712,-.198917,-.755959
956,5896,.1098012,.0999472,.0685905,.7216611,160.4695,158.1644,124.8451,124.0113,13530.95,28415,4,42,34,1,6,2,1,24,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.142606,.7273085,1.012909,1.014842,-1.220445,.0680001,-.1374981,.1473368,.0978469,-.4296804,.1101206,-.5055956,-.1820429,.0922972,1.183627,-2.10679,.0372917,-.0981057,-.2018744,-.7521538
957,5898,0,.0759494,.0735081,.8505425,160.4695,105.77,127.9716,121.8758,6912.5,11060,2,31,55,4,0,2,1,24,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.6411456,1.012045,1.012593,,,,,.1272703,-.2569793,.1462215,-.6576581,-.1698144,.0863745,1.037501,-1.966106,.0316933,-.0829766,-.1713306,-.7899795
958,5908,.1230362,.0690422,.1427693,.6651524,185.1409,105.77,125.0802,128.5468,14088,21132,2,60,61,5,0,1,1,24,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.127266,.605245,1.006202,1.016103,-1.195998,.0636882,-.1215323,.1265765,.1393711,-.1837056,.1557684,-.7166789,-.087423,.0444886,.0491355,-1.012403,.0405526,-.1060604,-.2188762,-.7317192
959,5925,0,.027026,.2753657,.6976084,160.4695,116.7639,122.5564,123.4637,12404.29,26049,4,50,33,1,1,2,2,24,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,-.0084648,1.003215,1.015354,,,,,.3593973,1.092391,.4031379,-1.846462,-.045337,.0230436,-.4560696,-.5248524,.0386149,-.1012331,-.2087723,-.7439635
960,5950,.0178095,.0154865,.0154005,.9513034,172.8052,105.77,120.8632,125.9361,11623,11623,1,41,19,3,0,0,0,24,0,0,1,0,.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.879208,-.7599004,1.057493,1.011259,-2.355342,.4394221,-.8384288,.87514,.6239454,2.640341,.6921041,-3.19649,-.810534,.4123916,8.726015,-9.385365,.0283378,-.0741648,-.1530235,-.8124089
961,5952,0,.0640079,.0517315,.8842607,172.8052,232.3161,124.9015,128.9375,20310,30465,3,70,62,5,5,0,0,24,1,1,0,2,.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,.5741968,1.017116,1.012113,,,,,.153875,-.1012859,.1702466,-.7970324,-.2414136,.122048,1.895329,-2.793079,.0304035,-.0802982,-.1647049,-.7975134
962,5955,0,.0356068,.1948419,.7695513,172.8052,108.2554,124.3238,118.9461,17277.6,43194,4,20,47,1,1,2,2,24,1,1,0,2,.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,.234563,1.004544,1.013919,,,,,.270054,.5874904,.3106598,-1.402767,-.0640576,.032571,-.2313032,-.7417545,.0350546,-.0917571,-.1893398,-.7678763
963,5958,0,.1115165,.1044173,.7840663,172.8052,159.4485,128.8407,126.0922,10142,10142,1,71,83,5,0,0,0,24,0,0,0,0,.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,.7555988,1.00848,1.013661,,,,,.0873045,-.4888229,.0990528,-.4531332,-.1195684,.0606281,.4343876,-1.383927,.0343455,-.0902987,-.1858269,-.7718808
964,5962,.0430911,.0345274,.2053245,.717057,172.8052,108.7076,125.3033,120.0227,24457.22,44023,4,10,43,1,1,1,2,24,1,1,0,2,.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.363376,.210634,1.004312,1.014938,-1.559602,.1797515,-.3510651,.3675397,.2786423,.6368411,.320298,-1.446415,-.060788,.0309096,-.2705477,-.7038862,.0376181,-.0984693,-.2031996,-.7508868
