,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_9,vag_10,vag_11,vag_12,vag_13,vag_14,vag_15,vag_16
19,19,0.02459523453998592,0.0018345101218029394,0.16738838285799612,0.806181872480215,121.290671929,92.9,105.133337581,101.711306327,23439.5,46879,4,12,55,1,6,1,1,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
20,20,0.02271945415973855,0.034430365231351415,0.14592053207958258,0.7969296485293275,140.625957518,92.9,104.323988212,103.126711873,29068.33217826159,69764,4,12,54,1,6,3,1,9,0,1,1,1,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
21,21,0.04531242120127087,0.0288340309647486,0.14569569821977912,0.7801578496142014,140.625957518,92.9,103.520318449,101.613655683,52877.333333333336,79316,2,71,77,7,0,1,0,9,0,1,1,1,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
22,22,0.0,0.02315916191349709,0.07681504199031214,0.9000257960961908,121.290671929,95.6246287129,103.161865672,101.330792013,34889.0,34889,1,60,89,5,0,0,0,9,0,0,0,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
23,23,0.04839775024519125,0.01831428514241108,0.15448049478593304,0.7788074698264646,140.625957518,92.9,103.559367712,101.983163711,33307.333333333336,49961,3,12,68,5,5,0,0,9,0,1,1,1,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
24,24,0.039004475923466626,0.02803600413162166,0.35340120997491514,0.5795583099699966,121.290671929,92.9,103.817466945,101.633030637,13554.0,20331,3,20,78,5,5,0,0,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
25,25,0.0,0.020353274696518136,0.09696881587555427,0.8826779094279276,121.290671929,94.8428571429,101.969190405,101.629070246,13757.0,13757,1,70,57,1,0,0,1,9,0,0,0,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
26,26,0.0,0.04093567251461988,0.05604288499025341,0.9030214424951267,121.290671929,92.9,104.27173913,101.06864544,4104.0,4104,1,20,32,1,0,0,1,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
27,27,0.039265605875153,0.008783353733170135,0.05434516523867809,0.8976058751529987,101.955386339,97.1452619844,103.87563964,101.396652049,68083.33333333333,102125,3,12,66,5,1,0,1,9,1,0,0,1,0.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
28,28,0.0,0.021267168808152416,0.3621326244277064,0.6166002067641412,121.290671929,101.84375,102.518107667,101.359976048,6771.0,6771,1,60,25,1,0,0,1,9,0,0,0,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
29,30,0.012323823789746034,0.016613331517668688,0.09672953405506003,0.8743333106375253,140.625957518,92.9,102.988901924,102.009713425,16946.53908313381,44061,4,41,41,1,1,3,2,9,0,1,1,1,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
30,31,0.0,0.01770816936880214,0.24106721234062647,0.7412246182905714,121.290671929,92.9,103.32964414,101.904141007,12706.0,12706,1,71,73,5,0,0,0,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
31,32,0.0,0.049032974801797705,0.12275917790233803,0.8282078472958643,140.625957518,92.9,102.445454545,101.421882812,11001.666958111311,19803,4,41,57,1,6,1,1,9,0,1,1,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
32,33,0.0,0.018236173393124066,0.13442949676133534,0.8473343298455406,121.290671929,92.9,103.428984433,101.281530048,20070.0,20070,1,10,36,1,0,0,1,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
33,34,0.030017832375668713,0.1489994055874777,0.20546859520507232,0.6155141668317813,140.625957518,98.4970744681,102.913307618,101.680862707,10094.0,10094,1,71,90,5,0,0,0,9,0,1,0,1,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
34,35,0.027793046585131237,0.03724062113508314,0.44819293664971827,0.48677339563006733,140.625957518,92.9,103.27695079,101.544611476,19405.333333333332,29108,3,71,74,5,5,0,0,9,0,1,1,1,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
35,36,0.058224002817645504,0.01034604208857973,0.12868715329752575,0.802742801796249,121.290671929,92.9,103.05862128,101.760394329,21632.381934773668,45428,4,41,29,1,1,2,2,9,1,1,1,2,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
36,37,0.02555177810155955,0.008418326048243484,0.14710485133020346,0.8189250445199935,140.625957518,92.9,103.322028613,102.11955125,20590.00054544874,37062,4,12,38,1,1,1,2,9,0,1,1,1,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
37,38,0.08050959562040824,0.037751592486313774,0.07057817937603028,0.8111606325172477,140.625957518,92.9247978437,103.06355248,101.645177881,23398.57249117227,49137,4,31,33,1,1,2,2,9,0,1,0,1,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
38,39,0.0,0.04587597832630945,0.2650210716435882,0.6891029500301024,101.955386339,92.9,103.80825761,102.087331819,22146.666666666668,33220,3,70,80,5,5,0,0,9,1,0,1,1,0.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
39,40,0.0,0.18443483631871527,0.2765904879555281,0.5389746757257566,121.290671929,92.9,102.969093345,101.304217282,8095.0,8095,1,71,54,7,0,0,0,9,0,0,1,0,0.5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
40,41,0.030771248115042508,0.05885438293594423,0.20538933933605788,0.7049850296129554,140.625957518,99.8110285926,102.585624601,102.025389051,16947.036737741597,45757,4,12,41,1,6,4,1,9,0,1,0,1,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
41,42,0.06538439651738462,0.014112559039435498,0.15802651795367895,0.7624765264895009,140.625957518,132.378629032,103.336946345,101.427942384,7640.434941010578,17573,4,50,49,1,1,2,2,9,0,1,0,1,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
42,43,0.02448794677984692,0.03054436204964353,0.15169651160018122,0.7932711795703283,121.290671929,95.3285714286,102.933511474,101.588740269,16775.6,41939,4,50,45,1,1,2,2,9,1,1,0,2,0.5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
43,44,0.09293819750539248,0.050032823783175466,0.26352808778017445,0.5935008909312576,101.955386339,92.9,102.974661922,101.160788496,11847.778091636714,21326,4,50,49,1,1,1,2,9,1,0,1,1,0.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
44,45,0.014436076783838745,0.021654115175758118,0.2982859952177702,0.6656238128226329,140.625957518,97.1807017544,103.350591849,100.383626536,17211.15447745523,44749,4,50,39,1,1,3,2,9,0,1,0,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
