,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_9,vag_10,vag_11,vag_12,vag_13,vag_14,vag_15,vag_16
1446,2906,0.041364053760747976,0.054553802487686785,0.18077468903915184,0.7233074547124134,121.949602428,99.1306809487,103.395982452,100.877846385,15972.0,23958,3,50,60,5,4,0,0,10,1,1,0,2,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1447,2907,0.0,0.09749634502923976,0.1629203216374269,0.7395833333333334,121.949602428,92.9,102.850813236,101.630294045,10944.0,10944,1,71,84,7,0,0,0,10,0,0,1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1448,2908,0.05890989172325197,0.013250137639933933,0.14633877775738668,0.7815011928794274,121.949602428,98.5457063712,102.417807876,100.51586981,18163.333333333332,27245,3,42,29,1,1,0,2,10,1,1,0,2,0.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1449,2909,0.06283690941760914,0.05638938801395201,0.20690201881407885,0.67387168375436,140.830807086,92.9,102.391775223,101.295694455,10512.222500701017,18922,4,60,31,1,6,1,1,10,0,1,1,1,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1450,2910,0.0,0.06537541198248228,0.12519752584766808,0.8094270621698496,121.949602428,92.9,101.666714749,101.248750558,22149.0,22149,1,70,75,5,0,0,0,10,0,0,1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1451,2911,0.12146257031588058,0.055430549545651235,0.12466464733881437,0.6984422327996538,121.949602428,92.9,102.725616106,100.752983087,15406.666666666666,23110,3,50,25,1,1,0,2,10,1,1,1,2,0.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1452,2912,0.0,0.1013470173187941,0.17487900169106071,0.7237739809901452,121.949602428,92.9,101.817572524,101.863631969,11432.666666666666,17149,2,71,69,5,0,1,0,10,0,0,1,0,0.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1453,2913,0.0,0.1387779552715655,0.24400958466453673,0.6172124600638977,121.949602428,100.707242206,102.357064921,100.853995471,10016.0,15024,2,50,51,1,0,1,2,10,1,1,0,2,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1454,2914,0.04862497810474689,0.048064459625153266,0.3070239971974076,0.5962865650726923,140.830807086,92.9,102.619386125,100.999864873,11893.749527384856,28545,5,70,54,4,0,1,0,10,0,1,1,1,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1455,2915,0.09301237044466734,0.03637579404881311,0.25402875292544297,0.6165830825810765,121.949602428,97.0964154412,102.64699921,101.036058996,13004.348095693756,29910,4,71,40,1,1,2,3,10,1,1,0,2,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1456,2916,0.08931609723661824,0.06619991003852697,0.11209981812136977,0.732384174603485,121.949602428,131.545908419,102.056228193,100.40152207,12783.25,51133,4,71,58,1,6,5,3,10,1,1,0,2,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1457,2917,0.03862131637024536,0.02791120342723614,0.35057769700116836,0.5828897832013501,140.830807086,92.9,103.146787632,101.106592428,7336.190809349369,15406,4,71,29,1,6,2,1,10,0,1,1,1,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1458,2918,0.13928499698734687,0.06537457320747138,0.13225547298654347,0.6630849568186383,121.949602428,97.0697388633,102.173272589,100.407738907,9958.0,9958,1,70,48,1,0,0,1,10,1,1,0,2,0.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1459,2919,0.0,0.06895973154362416,0.17874720357941834,0.7522930648769575,121.949602428,92.9,102.911514393,101.686640398,11920.0,17880,3,71,77,5,6,0,0,10,0,0,1,0,0.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1460,2920,0.10352946402789809,0.09651051731414229,0.17358566002532153,0.6263743586326381,103.06839777,123.863037975,102.686845809,101.053851064,19574.34823190333,45021,4,10,45,1,1,2,2,10,2,0,0,2,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1461,2921,0.09563249386045168,0.08508691674290943,0.10603361101747966,0.7132469783791593,140.830807086,137.323429542,103.213396912,101.951384013,13844.666666666666,20767,3,50,34,1,1,0,2,10,0,1,0,1,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1462,2922,0.0,0.18528317486564697,0.013724679619677552,0.8009921455146755,140.830807086,143.772356091,103.2,100.322873658,16126.666666666666,24190,3,50,59,1,6,0,1,10,0,2,0,2,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1463,2923,0.0,0.1873947220662549,0.0381807973048849,0.7744244806288602,121.949602428,133.539850187,103.649448529,102.089387348,14248.0,14248,1,33,86,5,0,0,0,10,0,0,0,0,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1464,2924,0.06243600178538609,0.04337437970961221,0.2340168561451414,0.6601727623598603,121.949602428,92.9323244552,102.536643106,102.505913936,15234.8,38087,4,50,46,1,1,2,2,10,1,1,0,2,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1465,2925,0.0,0.16898508791453373,0.07878922768751391,0.7522256843979523,121.949602428,141.718702667,103.11009887,99.4835564761,11981.333333333334,17972,3,71,75,5,5,0,0,10,0,0,0,0,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1466,2926,0.08897973171448155,0.05522373445608538,0.11318907275041613,0.742607461079017,140.830807086,102.166489362,102.816933391,102.986534595,16340.8,40852,4,42,42,1,1,2,2,10,0,1,0,1,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1467,2927,0.0,0.0835542301745085,0.08653633753037332,0.8299094322951182,103.06839777,97.7076007931,103.134077856,100.971093958,12072.0,18108,3,70,67,5,5,0,0,10,1,0,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1468,2928,0.02522611089264648,0.03332677939441604,0.08122296500196619,0.8602241447109713,140.830807086,134.360825959,103.092495764,99.3433201527,33906.666666666664,50860,3,31,50,1,6,0,1,10,0,2,0,2,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1469,2929,0.0,0.0956762814841031,0.15100572170117382,0.7533179968147231,140.830807086,127.258754624,103.4690625,100.078130139,11302.0,16953,3,60,63,5,1,0,1,10,0,2,0,2,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1470,2930,0.06282502935749035,0.05458396242241235,0.25601828552256334,0.626572722697534,140.830807086,93.6829811756,102.823466295,100.727536814,19075.2,47688,4,10,48,1,6,2,1,10,0,1,0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1471,2931,0.03314224292368327,0.1082049444643497,0.12056610533858832,0.7380867072733788,140.830807086,135.257395143,103.665626548,101.286739482,18606.667159575016,33492,4,31,32,1,1,1,2,10,0,1,0,1,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1472,2933,0.058458797638592935,0.03058301603381423,0.016470464945680652,0.8944877213819121,140.830807086,128.768418047,102.217603393,101.88854783,23855.832385387723,57254,4,71,36,1,1,3,2,10,0,1,0,1,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1473,2934,0.022264604668518595,0.03702475226999461,0.14399436129192753,0.7967162817695592,121.949602428,95.1773236282,102.688511373,100.542909555,22970.477233635913,48238,4,31,35,1,1,2,2,10,1,1,0,2,0.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1474,2935,0.10600063331222292,0.0288948701709943,0.0977675744141862,0.7673369221025966,140.830807086,95.1189041096,102.755708502,100.854327865,12632.0,12632,1,33,49,1,0,0,1,10,0,1,0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1475,2936,0.04907829399360588,0.03244677232841303,0.11645466294809877,0.8020202707298824,121.949602428,92.9,103.298860981,100.251465163,22616.9239065069,58804,4,41,45,1,1,3,2,10,1,1,1,2,0.5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1476,2937,0.04185066238458451,0.057356483340024085,0.18336009634684866,0.7174327579285428,103.06839777,95.2748906387,102.747755884,101.882087151,11071.111404395406,19928,2,10,45,1,0,2,1,10,1,0,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1477,2938,0.0,0.05555823254469233,0.26434732327856214,0.6800944441767456,140.830807086,97.6085862966,103.280896828,100.724387133,13835.333333333334,20753,3,50,56,1,1,0,2,10,0,2,0,2,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1478,2939,0.07747523441224771,0.004290936059755258,0.1761137892673624,0.7421200402606346,140.830807086,95.7777777778,102.591246804,101.6630666,17978.096054535643,37754,4,42,36,1,1,2,2,10,0,2,0,2,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1479,2940,0.0906342687656856,0.04488934519735341,0.03741729409080539,0.8270590919461556,121.949602428,92.9,103.068597561,100.649331034,11688.0,17532,3,20,25,3,1,0,1,10,1,1,1,2,0.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1480,2941,0.11002606556775212,0.07415837585814457,0.17478615220823085,0.6410294063658725,121.949602428,101.480544554,102.905734089,101.494129775,12970.952970003082,27239,4,50,41,1,1,2,2,10,1,1,0,2,0.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1481,2942,0.036664252353954895,0.04270835934963411,0.10602162891181098,0.8146057593846,103.06839777,94.2896491228,102.708810365,101.397924332,26692.666666666668,40039,3,10,51,1,1,0,2,10,2,0,0,2,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1482,2943,0.0,0.12850356294536816,0.22707838479809977,0.644418052256532,121.949602428,133.183179298,102.480387029,100.664872835,6476.923314495209,8420,2,71,40,1,0,1,1,10,0,0,0,0,0.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1483,2944,0.016957136128120585,0.10281334303943819,0.07686378623731427,0.803365734595127,140.830807086,136.473011245,102.936713092,101.331645435,11120.476695491096,23353,4,50,33,1,1,2,2,10,0,2,0,2,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1484,2945,0.07742908044401808,0.06677401671919968,0.22248869398382898,0.6333082088529532,121.949602428,130.495279631,102.522959655,101.242878009,13899.048250245969,29188,4,31,35,1,1,2,2,10,1,1,0,2,0.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1485,2946,0.0,0.07061124287438106,0.13681188365996755,0.7925768734656514,140.830807086,130.308367708,102.25729927,100.665634187,16022.0,24033,3,70,65,5,5,0,0,10,0,2,0,2,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1486,2947,0.04145883614910163,0.10329847144006436,0.1974792169482435,0.6577634754625905,103.06839777,140.893354102,103.134980989,101.467669602,12430.0,18645,3,42,66,5,5,0,0,10,1,0,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1487,2948,0.1332813717848792,0.099172326763909,0.14248598893961326,0.6250603125115985,140.830807086,138.582934132,102.351471737,100.881776617,17962.0,26943,5,42,23,1,0,0,1,10,0,1,0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1488,2949,0.12283673656258584,0.10003662668253822,0.16413332112443915,0.6129933156304368,140.830807086,136.801327231,103.510432357,100.143655239,21842.0,21842,1,70,65,5,0,0,0,10,0,1,0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1489,2950,0.036639923096831443,0.0465486005841683,0.17199689429511592,0.7448145820238844,103.06839777,92.9,102.689918315,101.285599404,12879.524394422458,27047,4,50,41,1,1,2,2,10,1,0,1,1,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1490,2951,0.0,0.11225074855067847,0.18264636554755687,0.7051028859017646,140.830807086,139.030079455,103.243285664,100.887486447,15697.0,15697,1,50,36,1,0,0,1,10,0,1,0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1491,2952,0.06885438031057721,0.08731321418107237,0.24883847473944162,0.5949939307689088,103.06839777,134.6894535,102.559074853,101.087660922,15927.333333333334,23891,3,50,55,1,1,0,2,10,2,0,0,2,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1492,2953,0.08093793387154831,0.1115339126857613,0.14968889803054455,0.6578392554121458,103.06839777,131.956339327,102.25259361,100.833690299,12964.666666666666,19447,3,50,73,5,5,0,0,10,1,0,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1493,2954,0.07958512420041568,0.054200213895110684,0.15172427709506225,0.7144903848094114,140.830807086,122.539761727,102.949049076,100.378612178,19822.8,49557,4,60,49,1,1,2,2,10,0,2,0,2,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1494,2955,0.15860453336710142,0.02510447005191845,0.12602887172343927,0.6902621248575408,103.06839777,92.9,102.642074856,101.212777472,17548.889353775696,31588,4,50,32,1,1,1,2,10,2,0,1,2,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1495,2956,0.0,0.11866541894615606,0.10174920817736827,0.7795853728764757,103.06839777,141.564240218,102.961054121,100.843795014,13230.476791312662,27784,4,31,31,1,1,2,2,10,2,0,0,2,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1496,2957,0.03665528895465169,0.03665528895465169,0.12474568291493619,0.8019437391757605,140.830807086,119.00733945,103.132713304,101.872061475,24780.415681981416,59473,4,10,42,1,6,3,1,10,0,1,0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1497,2958,0.024338280431878093,0.07240096775358394,0.16852634239699563,0.7347344094175423,103.06839777,132.041346633,102.63989715,101.47775102,13187.14345601143,27693,4,50,37,1,1,2,2,10,1,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1498,2959,0.06280551029477115,0.09598577988446157,0.35883572804029035,0.48237298178047694,140.830807086,133.284259259,102.992218782,101.634269922,9001.333333333334,13502,3,42,70,5,4,0,0,10,0,2,0,2,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1499,2960,0.16617658438443086,0.1198251180066548,0.10082798111893523,0.6131703164899791,121.949602428,134.234711011,102.359324635,101.407874811,12923.0,25846,5,70,73,5,5,0,0,10,1,1,0,2,0.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1500,2961,0.0,0.06104889374487845,0.08758991168168988,0.8513611945734316,140.830807086,138.412602535,101.948284823,101.399668467,21966.0,21966,1,20,65,5,0,0,0,10,0,1,0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1501,2962,0.021672578187163685,0.0349431549987188,0.17722423768358306,0.7661600291305345,121.949602428,140.011076804,102.706453086,102.354669952,37074.5,74149,4,71,57,1,5,1,2,10,1,1,0,2,0.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1502,2963,0.06720371579940489,0.04427026634734015,0.05671674286958415,0.8318092749836709,103.06839777,92.9,103.182917466,100.562474371,18372.0,27558,3,31,48,1,1,0,2,10,2,0,1,2,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1503,2964,0.03822420706379505,0.05666402554683186,0.06766068813176787,0.8374510792576052,140.830807086,137.23,102.48456352,100.713624244,19832.85804352797,41649,4,20,38,1,1,2,2,10,0,2,0,2,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1504,3506,0.0297723292469352,0.09669093925707438,0.12014932251820444,0.753387408977786,140.830807086,136.950190658,102.860375911,101.240105218,14465.333333333334,21698,3,71,56,4,1,0,1,10,0,1,0,1,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1505,3507,0.06015767131594906,0.11467556094602789,0.25366889023650696,0.571497877501516,140.830807086,131.648387097,102.544991633,100.967275042,6107.407299546713,16490,4,60,31,1,6,4,1,10,0,1,0,1,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1506,3508,0.09273088193591077,0.005293506002457699,0.3186501559693733,0.5833254560922583,140.830807086,92.9,102.591130228,101.923067574,14105.333333333334,21158,2,71,70,5,0,1,1,10,0,1,1,1,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1507,3509,0.10782796304113315,0.0525303691196473,0.05862764410674921,0.7810140237324703,140.830807086,92.9,102.51408,100.613367764,7352.0687237421,21321,2,71,39,6,0,5,0,10,0,1,1,1,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1508,3510,0.0818423708597119,0.03959078814570144,0.17416735480319295,0.7043994861913937,103.06839777,96.4424681344,102.903015936,100.614676479,17438.4,43596,4,20,73,5,6,2,1,10,2,0,0,2,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1509,3511,0.0,0.07328911179420805,0.31208542307070053,0.6146254651350914,121.949602428,92.9,102.700518403,101.621505659,6181.0,6181,1,70,71,5,0,0,0,10,0,0,1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1510,3512,0.03521939953810624,0.1003286551785397,0.28344288505951326,0.5810090602238408,103.06839777,101.929437804,102.393042933,101.429735514,9006.4,22516,4,71,52,1,1,2,2,10,1,0,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1511,3513,0.0,0.0671283368703228,0.14631966938456384,0.7865519937451134,121.949602428,92.9,102.717480916,102.643680773,8953.0,8953,1,71,78,5,0,0,0,10,0,0,1,0,0.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1512,3514,0.0,0.09234546390527858,0.2891141646537045,0.6185403714410169,140.830807086,137.762264151,102.71198466,101.162848912,12626.5,25253,4,50,47,1,1,1,2,10,0,1,0,1,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1513,3515,0.05598936700448579,0.09096195381292574,0.24896162153181592,0.6040870576507725,103.06839777,96.9639269406,102.009776443,101.528245325,8025.333333333333,12038,5,50,41,1,0,0,1,10,1,0,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1514,3516,0.03513929721405572,0.07116524336179943,0.25829483410331794,0.6354006253208269,103.06839777,98.24,101.891111111,101.223523796,14286.0,21429,3,71,63,5,5,0,0,10,2,0,0,2,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1515,3517,0.0,0.14546746523195614,0.17602273880824282,0.678509795959801,121.949602428,135.490648988,102.737139562,99.2010622382,9851.0,9851,1,70,67,5,0,0,0,10,0,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1516,3518,0.02239100971312401,0.035097131240117464,0.07759204879150666,0.8649198102552519,103.06839777,129.392035398,102.880058224,101.883141812,17708.0,35416,4,50,53,1,1,1,2,10,1,0,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1517,3519,0.11680265941372016,0.17391961317618615,0.21048655182834694,0.49879117558174674,121.949602428,142.148653345,102.645046662,100.442714329,8824.0,13236,3,50,41,1,1,0,2,10,1,1,0,2,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1518,3520,0.05851471070764519,0.020890298589084547,0.13245105545225855,0.7881439352510117,121.949602428,95.2958115183,103.004128819,99.6408964752,6095.333333333333,9143,3,71,30,4,4,0,0,10,0,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1519,3521,0.07860228324591176,0.07513113236655353,0.3785097192224622,0.46775686516507253,121.949602428,98.8394250513,102.377633992,101.71755442,10371.2,25928,4,70,76,5,6,2,2,10,1,1,0,2,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1520,3522,0.08217970653808265,0.07683932182298958,0.13133198527505574,0.7096489863638721,103.06839777,92.9,102.932609554,99.7231387448,9184.286131372277,19287,4,50,34,1,1,2,2,10,2,0,1,2,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1521,3523,0.0492901259324617,0.06360792492179354,0.15637282425603594,0.7307291248897089,140.830807086,100.026733922,104.364042062,100.84579034,24934.0,24934,1,20,54,1,0,0,1,10,0,1,0,1,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1522,3524,0.03582076068298853,0.011880025295871352,0.2534555967115367,0.6988436173096034,140.830807086,92.9,102.89281768,101.515286665,14758.666666666666,22138,3,71,68,5,5,0,0,10,0,1,1,1,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1523,3525,0.0,0.08806703264952326,0.09956659924877204,0.8123663681017047,140.830807086,92.9,102.471329077,101.346080524,17305.0,17305,1,33,45,1,0,0,1,10,0,1,1,1,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1524,3526,0.0,0.029851214765522004,0.09065226944566514,0.8794965157888128,103.06839777,96.3252365931,102.295117729,100.113544381,17698.88935774934,31858,4,50,52,1,4,1,1,10,1,0,0,1,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1525,3527,0.02128687622473358,0.030279440581966553,0.13631116957023595,0.8121225136230639,140.830807086,98.1863475177,103.710594722,99.6189793085,15522.082716541183,37253,4,42,25,1,4,3,1,10,0,1,0,1,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1526,3528,0.0,0.0708801754867014,0.24444749108856595,0.6846723334247327,121.949602428,97.0315280464,101.565283231,99.5317581097,7294.0,7294,1,71,47,4,0,0,0,10,0,0,0,0,0.5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1527,3529,0.0,0.04079861111111111,0.14943910256410256,0.8097622863247863,140.830807086,98.2603927987,103.357193923,100.046878865,8320.000220404736,14976,4,10,33,1,1,1,2,10,0,2,0,2,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1528,3530,0.0,0.05134281200631911,0.0772268805444161,0.8714303074492648,121.949602428,98.8087573964,102.646105429,102.737763213,16458.0,16458,1,60,64,5,0,0,0,10,0,0,0,0,0.5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1529,3531,0.0,0.09503424657534247,0.3609208523592085,0.544044901065449,121.949602428,98.8778778779,102.995677385,101.942524917,7008.0,10512,2,71,73,5,0,1,0,10,0,0,0,0,0.5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1530,3532,0.0,0.045451291961921124,0.12096485577267196,0.8335838522654069,121.949602428,98.8006299213,103.683313609,100.987721106,13971.0,13971,1,50,30,1,0,0,1,10,0,0,0,0,0.5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1531,3533,0.012903225806451613,0.016007630939993064,0.0637443635102324,0.907344779743323,121.949602428,92.9,103.236103931,100.713980982,41185.71498710283,115320,4,10,51,1,1,3,2,10,0,0,1,0,0.5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1532,3534,0.027248837679401658,0.01568627450980392,0.09363250454821104,0.8634323832625834,140.830807086,98.7606958763,102.751899827,101.959619797,32980.0,49470,3,42,49,1,7,0,1,10,0,1,0,1,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1533,3535,0.11983284391235599,0.053535125367065735,0.13880731872599955,0.6878247119945787,140.830807086,107.09254571,102.416734472,100.340180624,17708.0,26562,3,43,25,1,1,0,2,10,0,1,0,1,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1534,3536,0.05091888095516797,0.18857544188224276,0.18535643216668618,0.575149244995903,103.06839777,130.829174426,103.075086833,100.297771446,8136.190845679821,17086,4,20,31,1,6,2,1,10,1,0,0,1,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1535,3537,0.0210627934529817,0.07486067839747247,0.13725920400193076,0.766817324147615,103.06839777,100.346014068,103.541751918,100.650340486,10851.905254723015,22789,4,42,29,1,6,2,1,10,2,0,0,2,0.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1536,3538,0.025432516509305246,0.04993723735196202,0.204005894231294,0.7206243519074388,140.830807086,92.9,102.811209203,101.76504847,12215.333333333334,18323,3,70,69,5,5,0,0,10,0,1,1,1,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1537,3539,0.057487701635968426,0.018075735041757236,0.2849788353735271,0.6394577279487473,103.06839777,92.9,104.050562023,100.829179712,8324.762282814856,17482,4,50,31,1,6,2,1,10,1,0,1,1,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1538,3540,0.04710057540571271,0.08124590841746201,0.19133101333425215,0.6803225028425731,140.830807086,126.181764207,102.402233027,100.945140542,19348.666666666668,29023,3,70,62,5,6,0,0,10,0,1,0,1,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1539,3541,0.04431903390031177,0.012023626294118421,0.08537563965954983,0.85828170014602,121.949602428,97.35,103.012326656,101.046387407,25339.0,76017,4,50,48,4,1,3,2,10,1,1,0,2,0.5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1540,3542,0.0,0.07715658993169744,0.14874778649127246,0.7740956235770301,121.949602428,92.9,102.781462585,101.358910675,11859.0,11859,1,70,61,4,0,0,0,10,0,0,1,0,0.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1541,3543,0.047185057125676486,0.040175886951292844,0.1292468430547204,0.7833922128683103,140.830807086,101.076613658,102.923189881,99.1338938329,26608.0,53216,4,50,50,1,6,1,1,10,0,2,0,2,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1542,3544,0.03918364830286401,0.03961525418503561,0.18401825076301753,0.7371828467490829,140.830807086,92.9277042802,103.276914056,100.958330545,12974.8,32437,4,31,48,1,6,2,1,10,0,1,0,1,1.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1543,3545,0.03668352079248788,0.04741512743782891,0.15741409555257455,0.7584872562171087,140.830807086,92.9387377584,103.002622091,101.201550915,9229.524228664772,19382,4,50,37,1,6,2,1,10,0,1,0,1,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1544,3546,0.0,0.15426530241569292,0.16588968941090998,0.6798450081733971,121.949602428,99.3235086342,103.981459854,100.87533173,5161.562423086726,16517,4,71,33,4,6,5,0,10,0,0,0,0,0.5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1545,3547,0.15544907510586137,0.040728772008023176,0.12642077111655894,0.6774013817695564,140.830807086,100.020656635,102.408461877,101.371204145,11965.333333333334,17948,3,50,64,5,1,0,1,10,0,1,0,1,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
