v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_9,vag_10,vag_11,vag_12,vag_13,vag_14,vag_15,vag_16,elas_exp_1,elas_exp_2,elas_exp_3,elas_exp_4,elas_price_1_1,elas_price_1_2,elas_price_1_3,elas_price_1_4,elas_price_2_1,elas_price_2_2,elas_price_2_3,elas_price_2_4,elas_price_3_1,elas_price_3_2,elas_price_3_3,elas_price_3_4,elas_price_4_1,elas_price_4_2,elas_price_4_3,elas_price_4_4
15,15,,.0417014,.1137764,.8445222,121.2907,99.54947,103.2786,101.9159,24012,36018,3,31,28,1,1,0,2,9,0,0,0,0,.5,2000,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,.8928732,-1.425156,1.315318,,,,,-.068963,1.871073,-.557566,-2.137474,.0575204,-.2905573,3.093594,-1.435223,-.0391676,-.0998221,-.532265,-.6440797
16,16,.0332923,.0158249,.1980164,.7528665,140.626,94.03673,103.2486,101.7643,15075.71,31659,4,20,52,4,1,2,1,9,0,1,0,1,1,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.400797,.5281557,-.1898833,1.305153,-.1169029,-.0712416,.1542691,-1.367317,-.1727778,6.552118,-1.626318,-5.28174,.0317984,-.1655378,1.499029,-1.175024,-.0437829,-.1120523,-.6299235,-.519466
17,17,,.0265855,.117372,.8560426,140.626,97.49361,105.3297,101.7161,70715.34,106073,3,12,70,5,5,0,0,9,0,1,0,1,1,2000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,.8368447,-1.367292,1.303902,,,,,-.1088318,3.502968,-.8722876,-3.359031,.0692866,-.2894503,2.996274,-1.408166,-.040035,-.0978233,-.5332278,-.632879
18,18,.0327477,.0198877,.0723057,.8750589,101.9554,92.9,102.0398,101.4872,18403.33,27605,3,10,28,1,1,0,2,9,1,0,1,1,0,2000,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1.368489,.7674509,-2.582818,1.287542,-.0979461,-.0732739,.1618212,-1.359184,-.1450347,5.016875,-1.198407,-4.44099,.0653189,-.470499,5.605035,-2.616792,-.035859,-.0951279,-.5245906,-.6319788
19,19,.0245952,.0018345,.1673884,.8061818,121.2907,92.9,105.1333,101.7113,23439.5,46879,4,12,55,1,6,1,1,9,0,0,1,0,.5,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.620314,-1.813022,-.4660403,1.291872,.1950925,-.0917843,.2481834,-1.972165,-1.548393,64.20201,-13.29551,-47.54833,.0334658,-.2007089,1.937884,-1.304297,-.0398853,-.1038971,-.5873129,-.5608214
20,20,.0227195,.0344304,.1459205,.7969297,140.626,92.9,104.324,103.1267,29068.33,69764,4,12,54,1,6,3,1,9,0,1,1,1,1,2000,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.824268,.9219568,-.7393469,1.298353,.2854524,-.0907891,.3608257,-2.380379,-.0844978,2.477371,-.6713387,-2.643768,.0476192,-.2357801,2.313129,-1.385064,-.0417152,-.1044751,-.5879276,-.5643076
21,21,.0453124,.028834,.1456957,.7801579,140.626,92.9,103.5203,101.6137,52877.33,79316,2,71,77,7,0,1,0,9,0,1,1,1,1,2000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.486714,.8800088,-.7947311,1.311335,-.3585848,-.042464,.2217338,-1.307715,-.1004848,3.151446,-.8083408,-3.122965,.0510035,-.2363414,2.28836,-1.307725,-.0430652,-.1068308,-.5971092,-.5644044
22,22,,.0231592,.076815,.9000258,121.2907,95.62463,103.1619,101.3308,34889,34889,1,60,89,5,0,0,0,9,0,0,0,0,.5,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,.7032706,-2.232629,1.262215,,,,,-.1205487,4.162641,-1.093205,-3.652311,.0742774,-.4254497,5.353391,-2.769197,-.0357668,-.0941387,-.5232107,-.6091222
23,23,.0483977,.0183143,.1544805,.7788075,140.626,92.9,103.5594,101.9832,33307.33,49961,3,12,68,5,5,0,0,9,0,1,1,1,1,2000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.356777,.6595687,-.5969734,1.302602,-.3955213,-.0444981,.1512735,-1.068323,-.1520741,5.52841,-1.362597,-4.67383,.0436517,-.2185717,2.159955,-1.387535,-.0426468,-.1074007,-.6041515,-.5484771
24,24,.0390045,.028036,.3534012,.5795583,121.2907,92.9,103.8175,101.633,13554,20331,3,20,78,5,5,0,0,9,0,0,1,0,.5,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.324736,.6627654,.395271,1.363209,-.2443225,-.0612345,.1226233,-1.141992,-.0967046,3.259241,-.9508294,-2.87465,.0131678,-.0905636,.4333465,-.7511013,-.0542087,-.1466952,-.8362779,-.3260788
25,25,,.0203533,.0969688,.8826779,121.2907,94.84286,101.9692,101.6291,13757,13757,1,70,57,1,0,0,1,9,0,0,0,0,.5,2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,.5236986,-1.353768,1.257594,,,,,-.1327129,4.867702,-1.323574,-3.93528,.0519625,-.3300986,4.12711,-2.494908,-.0361161,-.0961824,-.5370194,-.5882995
