,quantite_carbu,quantite_diesel,quantite_essence,diesel_ttc,super_95_ttc,rev_disponible,rural,petite_villes,villes_moyennes,grandes_villes,agglo_paris,nenfants,nadultes,ocde10,situapr,situacj,poste_coicop_411,poste_coicop_412,poste_coicop_421,ln_quantite_carbu,ln_diesel_ttc,ln_super_95_ttc,ln_rev_disponible,loyer
702,1572.89735131,1572.89735131,0.0,0.984925,1.1261,46382.96875,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.79999995232,1.0,1.0,0.0,0.0,20966.3261719,7.36067464429,-0.015189782841,0.118760335721,10.744687618,20966.3261719
703,0.0,0.0,0.0,0.984925,1.1261,39812.3828125,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,5.0,0.0,0.0,5834.63378906,0.0,-0.015189782841,0.118760335721,10.5919332688,5834.63378906
704,7019.95359161,7019.95359161,0.0,0.984925,1.1261,72531.7421875,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,4.0,0.0,0.0,7990.05078125,8.85651188612,-0.015189782841,0.118760335721,11.1917795683,7990.05078125
705,2052.55172825,1588.5438139,464.00791435,0.984925,1.1261,40001.4609375,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.59999990463,1.0,1.0,0.0,0.0,11118.9482422,7.62683904357,-0.015189782841,0.118760335721,10.5966712559,11118.9482422
706,1069.02849248,1069.02849248,0.0,0.984925,1.1261,33505.3476562,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,6.0,0.0,0.0,10860.4648438,6.97450556407,-0.015189782841,0.118760335721,10.4194603366,10860.4648438
707,2502.51531275,1579.6785636,922.836749147,0.984925,1.1261,65850.4296875,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.09999990463,1.0,1.0,16159.3720703,0.0,0.0,7.82505163015,-0.015189782841,0.118760335721,11.0951412324,16159.3720703
708,3640.83325709,0.0,3640.83325709,0.984925,1.1261,44142.6328125,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.5,1.0,6.0,0.0,0.0,13259.7734375,8.19996785122,-0.015189782841,0.118760335721,10.6951813249,13259.7734375
709,1567.90839708,1567.90839708,0.0,0.984925,1.1261,31514.2402344,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.09999990463,1.0,6.0,0.0,0.0,15790.4082031,7.35749777897,-0.015189782841,0.118760335721,10.3581947936,15790.4082031
710,1425.37117691,1425.37117691,0.0,0.984925,1.1261,64609.7734375,1.0,0.0,0.0,0.0,0.0,3.0,4.0,3.40000009537,1.0,1.0,0.0,0.0,12780.3291016,7.26218753381,-0.015189782841,0.118760335721,11.0761209699,12780.3291016
711,3599.06294272,3599.06294272,0.0,0.984925,1.1261,46428.6679688,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.09999990463,1.0,1.0,0.0,0.0,15963.4248047,8.18842879687,-0.015189782841,0.118760335721,10.7456723916,15963.4248047
