,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,agepr,depenses_par_uc,depenses_tot,dip14pr,elect_only,nactifs,nenfants,situacj,situapr,sourcp,typmen,vag,veh_diesel,veh_essence,prix_carbu_consommateur,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_23,vag_24,vag_25,vag_26,vag_27,vag_28
5775,14956,0.05429961507649622,0.022587389358916743,0.27368647296742804,0.6494265225971589,180.425017041,162.502364058,116.195363033,129.482917833,77.0,51179.0,51179.0,71,0,0.0,0.0,0,5,2,1,23,0.0,1.0,1.37025637504,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5776,14972,0.03274566473988439,0.041647398843930636,0.1886271676300578,0.7369797687861271,178.930020657,111.649974204,127.094754463,125.163986353,66.0,46133.333333333336,69200.0,10,0,0.0,0.0,5,5,0,3,23,0.0,2.0,1.35890247102,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5777,14979,0.0,0.037465017604044415,0.10539857362101653,0.857136408774939,163.68,119.825414987,124.37496788,123.162239718,34.0,9230.832966532987,22154.0,12,0,1.0,3.0,6,1,1,4,23,1.0,0.0,,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5778,1498,0.0,0.012955232474449402,0.05959406938246725,0.9274506981430833,163.68,105.795381684,123.8834219,129.66887423,81.0,20841.0,20841.0,71,1,0.0,0.0,0,6,1,1,23,0.0,0.0,,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5779,14980,0.11294526498696786,0.0682015638575152,0.16327417152786397,0.655578999627653,163.68,109.343197325,122.884131509,125.256736085,52.0,10742.666666666666,16114.0,31,0,1.0,0.0,5,1,1,3,23,2.0,0.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5780,14986,0.0,0.04554397726444655,0.1555053559717263,0.7989506667638272,163.68,151.489351181,126.548355201,129.247579351,55.0,18297.333333333332,27446.0,33,0,1.0,0.0,5,1,2,3,23,2.0,0.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5781,14996,0.0,0.09886734497984258,0.1621232482242273,0.7390094067959301,163.68,109.300460243,123.939934873,124.567041174,81.0,10418.0,10418.0,70,0,0.0,0.0,0,5,0,1,23,0.0,0.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5782,150,0.0,0.2051978735971648,0.04943886591848789,0.7453632604843473,163.68,122.843860184,122.644635603,122.492402726,66.0,16930.0,16930.0,50,0,0.0,0.0,0,5,2,1,23,1.0,0.0,,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5783,15013,0.0,0.061354881142535,0.014845438316264212,0.9237996805412008,163.68,111.655787152,124.743544304,127.02291904,38.0,10643.0,10643.0,42,0,1.0,0.0,0,1,0,1,23,0.0,1.0,,2011,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5784,15019,0.0,0.12049620440659137,0.20981299759303831,0.6696907980003703,163.68,197.887356491,126.220400635,120.719178878,54.0,18003.333333333332,27005.0,50,0,2.0,0.0,1,1,4,3,23,0.0,1.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
