v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,indice_ess,indice_die,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_17,vag_18,vag_19,vag_20,vag_21,vag_22,mu_1,mu_2,mu_3,mu_4,ce_1_1,ce_1_2,ce_1_3,ce_1_4,ce_2_1,ce_2_2,ce_2_3,ce_2_4,ce_3_1,ce_3_2,ce_3_3,ce_3_4,ce_4_1,ce_4_2,ce_4_3,ce_4_4
10,10,,.0274816,.1199839,.8525345,136.9518,96.2,117.3867,118.2783,21832.76,21832.76,1,20,33,1,0,0,1,18,0,0,1,1.075132,.9403471,0,.5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,.2275296,.608045,1.104573,,,,,.1117885,1.848893,.3225291,-2.510741,-.1930676,.0626759,.517586,-.9952393,.011006,-.1037858,-.1973092,-.8144838
11,217,.017229,.0501904,.1164682,.8161124,133.8989,121.4008,117.168,110.9515,39688.88,59533.32,3,41,78,5,5,0,0,18,2,1,0,1.075132,.9403471,3,.3333333,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,-.2127717,.5770355,.5962135,1.10924,-.3791784,.1832787,-1.305738,1.714409,.0609305,.5698068,.1814593,-1.389232,-.1991619,.0740202,.5680344,-1.039106,.0115692,-.1109748,-.2073699,-.8024642
12,218,,.0889639,.2171,.693936,136.9518,96.2,117.0314,111.9383,13488.62,13488.62,1,70,85,5,0,0,0,18,0,0,1,1.075132,.9403471,0,.5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,.7613779,.7833796,1.128473,,,,,.0343607,-.118841,.1015417,-.7784393,-.1068578,.0356498,-.1595473,-.5526243,.0136138,-.1281055,-.2434324,-.7705487
13,219,.0164632,.0555438,.0604613,.8675317,136.9518,96.2,114.305,111.0936,18003.8,27005.7,3,41,26,3,3,0,0,18,0,0,1,1.075132,.9403471,0,.5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-.2691859,.6178018,.2221754,1.102765,-.3497412,.1686639,-1.374647,1.82491,.0552261,.4115366,.1615094,-1.246074,-.3833085,.1284054,2.015539,-1.982811,.0108383,-.1025236,-.1944173,-.8166623
14,220,,.1073309,.0882603,.8044088,146.1105,106.4669,114.9118,112.7087,23908.81,31081.46,2,20,32,1,0,1,1,18,0,1,0,1.075132,.9403471,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,,.8022121,.4671638,1.110829,,,,,.0287529,-.2681876,.0831056,-.645883,-.2621122,.0915742,1.064465,-1.36109,.0115916,-.11132,-.209407,-.8016937
15,221,,.1164572,.1146326,.7689102,136.9518,106.0802,116.1796,114.5545,14906.76,22360.14,3,42,59,1,4,0,2,18,0,0,0,1.075132,.9403471,0,.5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,.8177121,.5897475,1.115946,,,,,.0263773,-.325851,.0767856,-.595024,-.2020864,.0698007,.5899502,-1.047412,.0122046,-.1162599,-.2191973,-.7926932
16,222,.055348,.0411754,.2524603,.6510162,136.9518,96.2,116.696,109.9561,15838.91,36429.49,4,71,59,1,1,2,2,18,1,1,1,1.075132,.9403471,2,.5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,.6224824,.4844316,.81372,1.136943,-.8068397,.0505437,-.4069168,.5407304,.0741448,.9046121,.2205595,-1.683748,-.0919254,.0309366,-.2768413,-.4758899,.0145365,-.1367569,-.2597914,-.7549309
17,223,,.0213842,.1715373,.8070785,136.9518,97.875,117.76,111.1863,20950.08,31425.12,3,20,73,5,5,0,0,18,0,0,0,1.075132,.9403471,0,.5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,.0072678,.7258422,1.110462,,,,,.1427254,2.66779,.4246537,-3.242437,-.1353027,.0456524,.0643001,-.7004919,.0117302,-.1103616,-.2095524,-.8022788
18,224,,.0237885,.0994589,.8767526,136.9518,96.2,118.7296,106.6482,7818.91,15637.82,5,20,57,1,0,1,2,18,0,0,1,1.075132,.9403471,0,.5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,.1076038,.5271584,1.101684,,,,,.1275438,2.299095,.388688,-2.92293,-.2337581,.0798021,.8392892,-1.212492,.0108842,-.1018204,-.193692,-.8170561
19,225,,.0097387,.1944279,.7958334,136.9518,96.2,120.3015,110.3161,20536.56,30804.84,3,60,85,5,5,0,0,18,0,0,1,1.075132,.9403471,0,.5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,-1.179828,.7581196,1.112023,,,,,.3118732,7.052489,.9430364,-7.127571,-.1195419,.0401452,-.0598284,-.6188944,.0119742,-.1118597,-.2130575,-.7990804
20,226,.0460892,.0075741,.0404328,.9059038,146.1105,96.2,116.8379,113.5897,37232.12,37232.12,1,20,39,1,0,0,1,18,0,1,1,1.075132,.9403471,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,.5466436,-1.802806,-.1631216,1.098412,-.7675577,.0595018,-.4916071,.6530194,.4060343,9.346733,1.180827,-9.130788,-.5727496,.190099,3.507805,-2.962033,.0103427,-.0980191,-.1860564,-.8246793
21,227,,.0155443,.1223795,.8620762,136.9518,96.2,115.3866,113.9039,23159.6,23159.6,1,20,36,1,0,0,1,18,0,0,1,1.075132,.9403471,0,.5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,,-.3656927,.6157175,1.103415,,,,,.1974986,4.040957,.5740811,-4.446844,-.1893273,.0626427,.4889666,-.9779996,.0108946,-.1029583,-.195418,-.8159337
22,228,.0218708,.003614,.1661394,.8083759,146.1105,102.669,117.498,115.0413,22926.88,64195.26,4,20,51,1,6,3,1,18,0,2,0,1.075132,.9403471,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,.0446222,-4.874074,.7169347,1.110285,-.5100121,.1292067,-1.036568,1.372751,.8518947,20.70797,2.471173,-19.15696,-.1393432,.0473944,.096878,-.7218638,.0115729,-.1102853,-.2084362,-.8031366
23,229,,.0172233,.2020298,.7807469,146.1105,96.2,116.9344,113.6786,24850,37275,3,41,76,5,6,0,0,18,0,1,1,1.075132,.9403471,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,-.2325572,.767221,1.114188,,,,,.1785446,3.549985,.519307,-4.015279,-.1146284,.0380307,-.097834,-.5927892,.0120018,-.1137249,-.2158847,-.7965801
