,elas_exp_1,elas_exp_2,elas_exp_3,elas_price_1_1,elas_price_1_2,elas_price_1_3,elas_price_2_1,elas_price_2_2,elas_price_2_3,elas_price_3_1,elas_price_3_2,elas_price_3_3,ident_men,year
3193,0.7067479,0.6971961,1.140088,-0.8858339786529541,0.0370574,0.1420287,0.0485817,-0.8212041854858398,0.0754264,-0.0387418,-0.0497327,-1.0516129732131958,1057,2017
3194,0.0,0.8467285,1.156816,0.0,0.0,0.0,0.0223146,-0.9152840971946716,0.0462409,-0.0406898,-0.055054,-1.0610719919204712,1949,2017
3195,0.0,0.5962931,1.100626,0.0,0.0,0.0,0.0609435,-0.7015203237533569,0.0442838,-0.0271791,-0.0375687,-1.0358779430389404,5413,2017
3196,0.0,0.5409843,1.07542,0.0,0.0,0.0,0.0902351,-0.6006454229354858,-0.030574,-0.02673,-0.0343525,-1.0143369436264038,13043,2017
3197,0.0262842,0.7298586,1.045378,-0.3218272924423218,0.1854581,0.110085,0.0934318,-0.5058438181877136,-0.3174466,-0.02613,-0.0342322,-0.9850158095359802,13573,2017
3198,0.2666096,0.4908056,1.062587,-0.6698620915412903,0.0963245,0.306928,0.1807432,-0.10029900074005127,-0.5712498,-0.0266212,-0.0348994,-1.001067042350769,7804,2017
3199,0.0,0.2525787,1.083327,0.0,0.0,0.0,0.1805719,-0.3904041051864624,-0.0427465,-0.0274458,-0.0325612,-1.023319959640503,8147,2017
3200,0.6137924,0.400822,1.10211,-0.8409972190856934,0.0480131,0.1791916,0.1078961,-0.5715221762657166,0.0628042,-0.0313783,-0.039885,-1.0308469533920288,3585,2017
3201,0.0,0.7976354,1.154681,0.0,0.0,0.0,0.0273305,-0.9012792110443115,0.0763133,-0.0371886,-0.0475258,-1.0699670314788818,12712,2017
3202,0.0,0.7716928,1.079965,0.0,0.0,0.0,0.0448724,-0.8006837964057922,-0.0158813,-0.0287213,-0.037012,-1.0142320394515991,14673,2017
3203,0.0,0.5851053,1.112951,0.0,0.0,0.0,0.0646452,-0.7852190732955933,0.1354686,-0.031133,-0.0384633,-1.0433540344238281,9813,2017
3204,0.7822081,0.5048279,1.13444,-0.9200599193572998,0.0245989,0.1132529,0.0805548,-0.6654568910598755,0.0800741,-0.0372192,-0.0485714,-1.0486489534378052,4294,2017
3205,0.534354,0.5908858,1.091182,-0.8063932061195374,0.065732,0.2063073,0.0902677,-0.6338170766830444,-0.0473364,-0.0308375,-0.040203,-1.0201419591903687,12807,2017
3206,0.6602249,0.4034343,1.085143,-0.8191112279891968,0.0535595,0.1053268,0.1167641,-0.5591089725494385,0.0389106,-0.0310332,-0.0381098,-1.0160000324249268,9238,2017
3207,0.3319551,0.45168,1.100573,-0.7710614800453186,0.0698628,0.3692437,0.1000203,-0.5317699909210205,-0.0199303,-0.0285591,-0.0381341,-1.0338799953460693,582,2017
3208,0.4720997,-0.2400382,1.085815,-0.7786346077919006,0.0677477,0.2387872,0.2689228,0.0,-0.0781712,-0.0288769,-0.036214,-1.0207240581512451,10480,2017
3209,0.0,-1.584204,1.093457,0.0,0.0,0.0,0.4469112,0.0,0.8146537,-0.0281736,-0.0324168,-1.0328660011291504,13402,2017
3210,0.0,0.4654925,1.086361,0.0,0.0,0.0,0.0991972,-0.6524019837379456,0.0877124,-0.0285413,-0.0348023,-1.0230170488357544,15222,2017
3211,0.0,0.667826,1.119943,0.0,0.0,0.0,0.046731,-0.8061919808387756,0.0916349,-0.0297586,-0.0392641,-1.0509209632873535,2715,2017
3212,0.0,0.5682494,1.100787,0.0,0.0,0.0,0.0705644,-0.6673328876495361,0.0285191,-0.0272217,-0.0382383,-1.0353269577026367,1368,2017
3213,0.5963975,0.266565,1.073049,-0.7888761162757874,0.0615361,0.1309425,0.153266,-0.28670310974121094,-0.1331279,-0.0283358,-0.0369198,-1.0077929496765137,7778,2017
3214,0.0,0.2059128,1.11032,0.0,0.0,0.0,0.1277996,-0.628210186958313,0.2944978,-0.03023,-0.0352655,-1.0448249578475952,11572,2017
3215,0.0,-0.2019914,1.105901,0.0,0.0,0.0,0.1703602,-0.3269510865211487,0.3585823,-0.026959,-0.0354739,-1.0434679985046387,9629,2017
3216,0.0,-0.788133,1.107986,0.0,0.0,0.0,0.3074946,0.0,0.4732451,-0.0293446,-0.0369185,-1.041722059249878,10869,2017
3217,0.4467726,0.4685508,1.115672,-0.7926231026649475,0.0670446,0.2788059,0.0781774,-0.6687067151069641,0.1219785,-0.0309372,-0.0414095,-1.0433249473571777,9495,2017
3218,0.0933372,0.4322895,1.119232,-0.6759546995162964,0.1133846,0.4692329,0.0848833,-0.6695073246955872,0.1523345,-0.0306889,-0.0411312,-1.0474120378494263,13581,2017
3219,0.0,0.6109468,1.100436,0.0,0.0,0.0,0.0723136,-0.7334607243537903,0.0502004,-0.0289443,-0.0360891,-1.0354020595550537,2838,2017
3220,0.0,0.6142781,1.123171,0.0,0.0,0.0,0.0549877,-0.7949904203414917,0.1257245,-0.030678,-0.040061,-1.0524319410324097,14160,2017
3221,0.0,0.6085323,1.106363,0.0,0.0,0.0,0.0684807,-0.8123893737792969,0.1353763,-0.0324948,-0.0358222,-1.0380460023880005,12023,2017
3222,-0.0164103,0.5240669,1.070797,-0.5018026232719421,0.1410004,0.3772124,0.1190861,-0.5233764052391052,-0.1197765,-0.0279134,-0.0342281,-1.0086549520492554,6838,2017
3223,0.7906155,-0.502521,1.093295,-0.9094486236572266,0.0264268,0.0924062,0.3255605,0.0,-0.218192,-0.0323963,-0.0413358,-1.0195629596710205,15287,2017
3224,0.6511853,0.4926849,1.110844,-0.8555008172988892,0.0428184,0.161497,0.112217,-0.7053806185722351,0.1004787,-0.0355506,-0.0382011,-1.0370930433273315,4501,2017
3225,0.5651932,0.3250423,1.096579,-0.8029946088790894,0.0647766,0.1730248,0.1233768,-0.5360084176063538,0.0875893,-0.0310706,-0.0396649,-1.0258439779281616,3021,2017
3226,0.7462633,0.4121046,1.116224,-0.8924214839935303,0.0336923,0.1124659,0.110183,-0.6388614177703857,0.1165737,-0.0357188,-0.0430286,-1.0374770164489746,8538,2017
3227,0.5959855,0.422792,1.13489,-0.8616579174995422,0.0489039,0.2167685,0.0873137,-0.6688731908798218,0.1587674,-0.0339506,-0.0453069,-1.0556329488754272,7164,2017
3228,0.5785843,0.4449293,1.11882,-0.8564484715461731,0.0514361,0.2264281,0.0900985,-0.6010770797729492,0.0660494,-0.0317299,-0.0437621,-1.043328046798706,3803,2017
3229,0.0,0.3477438,1.122022,0.0,0.0,0.0,0.0953533,-0.6757134199142456,0.2326162,-0.0296548,-0.0376088,-1.0547579526901245,1097,2017
3230,0.6986559,0.5344601,1.122712,-0.9007583856582642,0.0308779,0.1712247,0.0915121,-0.6265618801116943,0.0005897,-0.034384,-0.0443477,-1.0439800024032593,10603,2017
3231,0.5837793,0.6731868,1.089833,-0.8143001794815063,0.0528058,0.177715,0.0709666,-0.7206106185913086,-0.0235429,-0.0314481,-0.038836,-1.0195480585098267,819,2017
3232,0.0,-0.4774712,1.068171,0.0,0.0,0.0,0.3675992,0.0,-0.3171808,-0.026449,-0.0329378,-1.0087840557098389,8891,2017
3233,0.0,0.5214954,1.083055,0.0,0.0,0.0,0.1005498,-0.6297407150268555,0.0076955,-0.0279208,-0.0344813,-1.0206530094146729,3382,2017
3234,0.0,0.5303628,1.078419,0.0,0.0,0.0,0.0954484,-0.5672370791435242,-0.0585742,-0.026574,-0.0350632,-1.0167820453643799,14809,2017
3235,0.0,0.4452667,1.095641,0.0,0.0,0.0,0.096072,-0.6521031260490417,0.1107644,-0.0283974,-0.0351246,-1.0321190357208252,8724,2017
3236,0.0,0.0901884,1.092762,0.0,0.0,0.0,0.143565,-0.39511388540267944,0.1613605,-0.0265981,-0.0351582,-1.0310059785842896,13441,2017
3237,0.0,0.4896292,1.10519,0.0,0.0,0.0,0.0949123,-0.7739372253417969,0.1893957,-0.0322448,-0.0332886,-1.0396569967269897,8170,2017
