"","X","aba","agepr","aise","ancons","depenses_combustibles_liquides","depenses_combustibles_solides","depenses_electricite","depenses_gaz_liquefie","depenses_gaz_ville","depenses_tot","dip14pr","htl","ident_men","identifiant_menage","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_04_5_0_0","poste_04_5_5_1","poste_04_5_5_2","revtot","stalog","surfhab_d","zeat","fioul","gaz_ville","electricite","strate","rural","petite_ville","moyenne_ville","grande_ville","paris","bat_av_49","bat_49_74","bat_ap_74","log_indiv","log_colec","ouest_sud","est_nord","aides_logement","depenses_energies","part_energies_depenses_tot","part_energies_revtot","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_2","donation_class_3","donation_class_4","froid_cout","froid_impaye","froid_installation","froid_isolation","froid","gchauf_2","gchauf_6","gchauf_7","gchaufs_1","gchaufs_2","gchaufs_3","gchaufs_4","gchaufs_5","isolation_fenetres","isolation_murs","isolation_toit","majorite_double_vitrage"
"454",455,2,44,4,99,0,2939.54832848721,1129.79595289893,0,0,18009.74050819,71,1,10577,201700455,1,4,3,6,2.9,3580.8158259,0,0,0,22520,1,100,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,4069.34428138614,0.225952410560029,0.180699124395477,7765.51724137931,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"456",457,NA,35,4,2,0,0,1057.86137911885,0,840.44497441828,13370.76,44,2,1058,201700457,1,2,0,1,1,3433.4825231,0,0,0,8490,3,47,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1898.30635353713,0.141974454222282,0.223593210075044,8490,1,1,"1_0","1_0_0","1_0_0","1_0_1_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"518",520,2,44,3,7,0,742.310183961416,1375.2197928545,44.8237319689749,0,63016.6,43,1,10661,201700520,1,4,2,4,2.5,3520.4146902,0,0,0,24618,1,100,7,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2162.35370878489,0.034314033267185,0.0878362868139122,9847.2,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"564",566,NA,56,2,1,0,0,0,0,0,8922.67344411,30,1,10719,201700566,2,3,0,2,1.5,2510.3443218,0,0,0,8387,5,60,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5591.33333333333,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
"579",581,2,68,3,9,0,0,1988.77939274343,42.022248720914,0,16827.74,70,1,10740,201700581,0,5,0,1,1,2600.3752107,0,0,0,7835,2,100,9,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2030.80164146434,0.120681781478936,0.259196125266668,7835,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"581",583,2,60,3,1,2260.02549866926,445.38611037685,125.885504115143,0,0,24024.61987708,50,1,10742,201700583,2,4,0,2,1.5,2279.9249792,0,0,0,12060,1,100,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2831.29711316125,0.117849819378927,0.234767588155991,8040,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"590",592,NA,56,4,99,0,0,655.874055053685,210.11124360457,0,5494.96,50,1,10756,201700592,0,4,2,4,2.3,1106.2879919,0,0,0,10442,3,63,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,865.985298658255,0.15759628799086,0.0829328958684404,4540,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"703",705,2,63,4,1,0,371.155091980708,412.56593785635,50.4266984650968,0,24330.0708753,70,1,10894,201700705,0,5,0,1,1,4096.4819669,0,0,0,9842,1,100,9,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,834.147728302155,0.0342846402946152,0.0847538842005847,9842,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"716",718,2,69,2,1,2219.34503969321,0,583.939481273603,84.044497441828,0,7336.09672205,50,1,10914,201700718,0,3,0,1,1,1953.28412,0,0,0,9613,1,100,9,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2887.32901840864,0.393578373868796,0.30035670637768,9613,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1
"736",738,2,60,2,1,0,1046.6573593856,1269.43365494262,210.11124360457,0,40677.12,60,1,10938,201700738,3,5,1,3,2,2031.728632,0,0,0,10917,1,156,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2526.20225793278,0.0621037639324707,0.231400774748812,5458.5,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
