strate;Total energy expenditures;Housing energy expenditures;Fuel expenditures
0;2424.19150653;1398.18081822;1026.01068776
1;2055.99090434;1229.143342;826.84756397
2;1869.61033894;1102.3222618;767.288077227
3;1812.25975558;1073.88788434;738.371873241
4;1471.13451847;971.909491848;499.225025198
