strate;Total energy expenditures;Housing energy expenditures;Fuel expenditures
0;3959.85278929;2283.8914327;1675.9613557
1;3205.04526564;1916.08826709;1288.95700108
2;2759.78998634;1627.17218474;1132.61780172
3;2648.21944478;1569.25118933;1078.96825837
4;2280.57113477;1506.66625308;773.904879484
