age_group_pr;Total energy expenditures;Housing energy expenditures;Fuel expenditures
1;2130.77785108;943.72556759;1187.05228041
2;3146.90877918;1619.67288135;1527.23589813
3;3448.61730065;1926.79540919;1521.82188963
4;3359.84647824;1953.43131948;1406.41516091
5;3114.09153505;2049.30002894;1064.79150685
6;2513.2881225;1962.8370332;550.451093432
