age_group_pr;Total energy expenditures;Housing energy expenditures;Fuel expenditures
1;1552.95432662;687.806428333;865.147896035
2;1844.28280236;949.228290405;895.054512131
3;1856.8299267;1037.43937541;819.390550306
4;2120.68408842;1232.97619218;887.707897598
5;2269.09624209;1493.23131393;775.864928697
6;2017.04708319;1575.28087494;441.766211564
