Date,diesel_ht,diesel_ttc,gplc_ht,gplc_ttc,super_95_e10_ht,super_95_e10_ttc,super_95_ht,super_95_ttc,super_98_ht,super_98_ttc,super_plombe_ht,super_plombe_ttc
1990,0.2116989088461538,0.5418682992307693,,,,,0.26256075942857127,0.812988825714286,0.27153347257142857,0.8237473702857141,0.21026237230769224,0.8144002340384617
1991,0.21076076249999998,0.5459726975000002,,,,,0.23063776673076913,0.7830015978846153,0.2372048005769231,0.7910638080769231,0.2023760674999999,0.8149572623076925
1992,0.18762955826923083,0.5272683715384615,,,,,0.2046628025,0.7601928819230768,0.2161551117307692,0.7737667063461537,0.18220589076923072,0.7999175805769231
1993,0.18918059981132077,0.5596604733962266,,,,,0.19053250528301888,0.7787268341509431,0.20592122584905662,0.7971645350943398,0.17704220320754716,0.8292291666037737
1994,0.17253123711538454,0.5881307117307691,,,,,0.17065494019230767,0.8030251944230766,0.1841115040384616,0.8189737082692307,0.1636188309615384,0.855385565576923
1995,0.1623875121153846,0.5869287100000002,,,,,0.16918908365384608,0.8569686898076921,0.1743488969230769,0.8631252840384617,0.1575795051923077,0.8911231359615385
1996,0.19275506711538462,0.6533431267307693,,,,,0.1859262313461539,0.9091229675000005,0.1926501119230769,0.9170749426923075,0.17729057923076924,0.9469221119230771
1997,0.2025689723076923,0.6764001586538461,0.29273336442307696,0.4352666340384612,,,0.20317613019230762,0.9410985609615382,0.21096510192307683,0.950343713653846,0.19401394442307693,0.9800627723076925
1998,0.16234353999999998,0.6423914226923076,0.2845713938461538,0.4200776576923072,,,0.17266023346153841,0.9185865323076925,0.1802973446153846,0.9277666009615385,0.1638677373076923,0.9580412178846155
1999,0.19107906540347733,0.6899851655879737,0.29891474548965663,0.4323530005726341,,,0.20237127474156416,0.9550006273838149,0.2095585011062435,0.9636062888918984,0.19477625445840185,1.0024807667711075
2000,0.3212665928192057,0.8468271801972327,0.37715597152702124,0.5237606963949538,,,0.3280686891426191,1.091731164589148,0.342730166759952,1.109293672278854,0.3420978808506673,1.1688560606537997
2001,0.29123857093368466,0.7960183423206539,0.3640178568598863,0.5070219672501248,,,0.2918694869081692,1.032881857947675,0.312061048355875,1.057028768780573,0.3137961357556788,1.1185613846807612
2002,0.2625824730769231,0.7724235269230768,0.35578652115384646,0.4971465961538461,,,0.2676632826923077,1.0145948192307692,0.28597199615384616,1.036501703846154,0.28516676730769225,1.095216625
2003,0.27152692307692317,0.7934711538461539,0.38954807692307697,0.5375615384615384,,,0.2605673076923077,1.0163173076923078,0.2774807692307691,1.0365499999999999,0.2768096153846154,1.0960326923076922
2004,0.32376792452830183,0.8847094339622644,0.41345283018867895,0.5661339622641511,,,0.297311320754717,1.0602735849056604,0.3160528301886793,1.0826849056603773,0.3143830188679245,1.140958490566038
2005,0.4416384615384615,1.0268038461538465,0.47795769230769236,0.6432788461538462,,,0.38565384615384624,1.1659134615384614,0.41855192307692296,1.2052730769230773,0.4261365384615384,1.2746173076923077
2006,0.4840307692307692,1.0775096153846155,0.5341749999999996,0.7105192307692307,,,0.4449326923076924,1.236817307692308,0.4762769230769232,1.2743038461538463,0.49248269230769226,1.3539673076923076
2007,0.4896942307692306,1.0949326923076923,0.5350057692307691,0.7115096153846151,,,0.4649769230769229,1.2764519230769231,0.4918076923076924,1.3085519230769227,,
2008,0.6317346153846154,1.2670923076923075,0.5778423076923075,0.762740384615385,,,0.5261673076923078,1.3537557692307693,0.5588711538461537,1.3928673076923077,,
2009,0.4101942307692307,1.00235,0.5044183017499999,0.6749169581346153,,,0.40485192307692314,1.2092057692307692,0.4331744959423077,1.2430819740384618,,
2010,0.5309358490566038,1.1467490566037737,0.5569056603773584,0.73768679245283,,,0.5195509433962263,1.3464018867924525,0.5494377358490565,1.3821471698113208,,
2011,0.6794865384615385,1.3354423076923079,0.654148076923077,0.8540019230769231,,,0.6427923076923078,1.4995346153846152,0.6744692307692305,1.5374288461538457,,
2012,0.7367538461538461,1.395775,0.6777673076923075,0.8822499999999999,,,0.7058673076923078,1.5657750000000008,0.7496788461538461,1.618167307692308,,
2013,0.6897000000000001,1.3501807692307692,0.670119230769231,0.8731173076923073,0.6504846153846154,1.5109961538461538,0.6725865384615386,1.536734615384615,0.7207038461538459,1.5942769230769234,,
2014,0.6305000000000001,1.2856192307692313,0.6538288461538462,0.8564730769230771,0.6163211538461539,1.4758634615384616,0.6238769230769231,1.484582692307693,0.6740653846153848,1.5448038461538458,,
2015,0.47710769230769223,1.1493730769230768,0.5831576923076922,0.7866596153846153,0.49052115384615375,1.3455923076923073,0.4970923076923077,1.3531096153846158,0.5486384615384616,1.4149634615384616,,
2016,0.4106433962264151,1.1054981132075477,0.5132415094339622,0.7092471698113205,0.4399037735849056,1.2813641509433962,0.43900943396226416,1.303935849056604,0.48773962264150966,1.3624056603773582,,
