;date;temps;mois;bien;prix;vag;indice_prix_produit
45;2011_8;164.0;8.0;poste_01_0_0;127.88;28;poste_01_0_0_28
47;2011_6;162.0;6.0;poste_01_0_0;128.42;27;poste_01_0_0_27
49;2011_4;160.0;4.0;poste_01_0_0;126.68;26;poste_01_0_0_26
51;2011_2;158.0;2.0;poste_01_0_0;125.3;25;poste_01_0_0_25
53;2010_12;156.0;12.0;poste_01_0_0;125.14;24;poste_01_0_0_24
54;2010_11;155.0;11.0;poste_01_0_0;124.85;23;poste_01_0_0_23
111;2006_2;98.0;2.0;poste_01_0_0;115.89;22;poste_01_0_0_22
114;2005_11;95.0;11.0;poste_01_0_0;114.3;21;poste_01_0_0_21
116;2005_9;93.0;9.0;poste_01_0_0;113.6;20;poste_01_0_0_20
118;2005_7;91.0;7.0;poste_01_0_0;114.4;19;poste_01_0_0_19
120;2005_5;89.0;5.0;poste_01_0_0;115.7;18;poste_01_0_0_18
122;2005_3;87.0;3.0;poste_01_0_0;115.7;17;poste_01_0_0_17
169;2001_4;40.0;4.0;poste_01_0_0;107.8;16;poste_01_0_0_16
170;2001_3;39.0;3.0;poste_01_0_0;106.6;15;poste_01_0_0_15
171;2001_2;38.0;2.0;poste_01_0_0;105.3;14;poste_01_0_0_14
173;2000_12;36.0;12.0;poste_01_0_0;104.2;13;poste_01_0_0_13
175;2000_10;34.0;10.0;poste_01_0_0;103.3;12;poste_01_0_0_12
176;2000_9;33.0;9.0;poste_01_0_0;102.9;11;poste_01_0_0_11
178;2000_7;31.0;7.0;poste_01_0_0;102.7;10;poste_01_0_0_10
179;2000_6;30.0;6.0;poste_01_0_0;103.0;9;poste_01_0_0_9
254;2011_8;164.0;8.0;poste_01_1_1;127.25;28;poste_01_1_1_28
256;2011_6;162.0;6.0;poste_01_1_1;126.52;27;poste_01_1_1_27
258;2011_4;160.0;4.0;poste_01_1_1;125.42;26;poste_01_1_1_26
260;2011_2;158.0;2.0;poste_01_1_1;124.06;25;poste_01_1_1_25
262;2010_12;156.0;12.0;poste_01_1_1;123.88;24;poste_01_1_1_24
263;2010_11;155.0;11.0;poste_01_1_1;123.86;23;poste_01_1_1_23
320;2006_2;98.0;2.0;poste_01_1_1;114.7;22;poste_01_1_1_22
323;2005_11;95.0;11.0;poste_01_1_1;114.7;21;poste_01_1_1_21
325;2005_9;93.0;9.0;poste_01_1_1;114.5;20;poste_01_1_1_20
327;2005_7;91.0;7.0;poste_01_1_1;114.2;19;poste_01_1_1_19
329;2005_5;89.0;5.0;poste_01_1_1;114.1;18;poste_01_1_1_18
331;2005_3;87.0;3.0;poste_01_1_1;114.1;17;poste_01_1_1_17
378;2001_4;40.0;4.0;poste_01_1_1;105.3;16;poste_01_1_1_16
379;2001_3;39.0;3.0;poste_01_1_1;105.1;15;poste_01_1_1_15
380;2001_2;38.0;2.0;poste_01_1_1;104.8;14;poste_01_1_1_14
382;2000_12;36.0;12.0;poste_01_1_1;104.3;13;poste_01_1_1_13
384;2000_10;34.0;10.0;poste_01_1_1;103.7;12;poste_01_1_1_12
385;2000_9;33.0;9.0;poste_01_1_1;103.4;11;poste_01_1_1_11
387;2000_7;31.0;7.0;poste_01_1_1;103.2;10;poste_01_1_1_10
388;2000_6;30.0;6.0;poste_01_1_1;103.0;9;poste_01_1_1_9
463;2011_8;164.0;8.0;poste_01_1_2;135.26;28;poste_01_1_2_28
465;2011_6;162.0;6.0;poste_01_1_2;134.02;27;poste_01_1_2_27
467;2011_4;160.0;4.0;poste_01_1_2;132.76;26;poste_01_1_2_26
469;2011_2;158.0;2.0;poste_01_1_2;131.61;25;poste_01_1_2_25
471;2010_12;156.0;12.0;poste_01_1_2;130.96;24;poste_01_1_2_24
472;2010_11;155.0;11.0;poste_01_1_2;131.2;23;poste_01_1_2_23
529;2006_2;98.0;2.0;poste_01_1_2;119.03;22;poste_01_1_2_22
532;2005_11;95.0;11.0;poste_01_1_2;118.4;21;poste_01_1_2_21
534;2005_9;93.0;9.0;poste_01_1_2;118.3;20;poste_01_1_2_20
536;2005_7;91.0;7.0;poste_01_1_2;118.2;19;poste_01_1_2_19
538;2005_5;89.0;5.0;poste_01_1_2;117.6;18;poste_01_1_2_18
540;2005_3;87.0;3.0;poste_01_1_2;117.2;17;poste_01_1_2_17
587;2001_4;40.0;4.0;poste_01_1_2;110.1;16;poste_01_1_2_16
588;2001_3;39.0;3.0;poste_01_1_2;108.1;15;poste_01_1_2_15
589;2001_2;38.0;2.0;poste_01_1_2;106.6;14;poste_01_1_2_14
591;2000_12;36.0;12.0;poste_01_1_2;104.3;13;poste_01_1_2_13
593;2000_10;34.0;10.0;poste_01_1_2;103.3;12;poste_01_1_2_12
594;2000_9;33.0;9.0;poste_01_1_2;103.2;11;poste_01_1_2_11
596;2000_7;31.0;7.0;poste_01_1_2;102.8;10;poste_01_1_2_10
597;2000_6;30.0;6.0;poste_01_1_2;101.8;9;poste_01_1_2_9
672;2011_8;164.0;8.0;poste_01_1_3;129.84;28;poste_01_1_3_28
674;2011_6;162.0;6.0;poste_01_1_3;128.59;27;poste_01_1_3_27
676;2011_4;160.0;4.0;poste_01_1_3;128.74;26;poste_01_1_3_26
678;2011_2;158.0;2.0;poste_01_1_3;126.82;25;poste_01_1_3_25
680;2010_12;156.0;12.0;poste_01_1_3;127.76;24;poste_01_1_3_24
681;2010_11;155.0;11.0;poste_01_1_3;126.4;23;poste_01_1_3_23
738;2006_2;98.0;2.0;poste_01_1_3;116.96;22;poste_01_1_3_22
741;2005_11;95.0;11.0;poste_01_1_3;117.0;21;poste_01_1_3_21
743;2005_9;93.0;9.0;poste_01_1_3;116.0;20;poste_01_1_3_20
745;2005_7;91.0;7.0;poste_01_1_3;115.6;19;poste_01_1_3_19
747;2005_5;89.0;5.0;poste_01_1_3;114.2;18;poste_01_1_3_18
749;2005_3;87.0;3.0;poste_01_1_3;114.6;17;poste_01_1_3_17
796;2001_4;40.0;4.0;poste_01_1_3;110.8;16;poste_01_1_3_16
797;2001_3;39.0;3.0;poste_01_1_3;110.0;15;poste_01_1_3_15
798;2001_2;38.0;2.0;poste_01_1_3;108.9;14;poste_01_1_3_14
800;2000_12;36.0;12.0;poste_01_1_3;109.6;13;poste_01_1_3_13
802;2000_10;34.0;10.0;poste_01_1_3;107.3;12;poste_01_1_3_12
803;2000_9;33.0;9.0;poste_01_1_3;106.9;11;poste_01_1_3_11
805;2000_7;31.0;7.0;poste_01_1_3;106.9;10;poste_01_1_3_10
806;2000_6;30.0;6.0;poste_01_1_3;106.5;9;poste_01_1_3_9
881;2011_8;164.0;8.0;poste_01_1_4;123.53;28;poste_01_1_4_28
883;2011_6;162.0;6.0;poste_01_1_4;122.84;27;poste_01_1_4_27
885;2011_4;160.0;4.0;poste_01_1_4;121.25;26;poste_01_1_4_26
887;2011_2;158.0;2.0;poste_01_1_4;120.02;25;poste_01_1_4_25
889;2010_12;156.0;12.0;poste_01_1_4;119.96;24;poste_01_1_4_24
890;2010_11;155.0;11.0;poste_01_1_4;119.89;23;poste_01_1_4_23
947;2006_2;98.0;2.0;poste_01_1_4;112.24;22;poste_01_1_4_22
950;2005_11;95.0;11.0;poste_01_1_4;111.9;21;poste_01_1_4_21
952;2005_9;93.0;9.0;poste_01_1_4;111.9;20;poste_01_1_4_20
954;2005_7;91.0;7.0;poste_01_1_4;111.9;19;poste_01_1_4_19
956;2005_5;89.0;5.0;poste_01_1_4;111.7;18;poste_01_1_4_18
958;2005_3;87.0;3.0;poste_01_1_4;112.2;17;poste_01_1_4_17
1005;2001_4;40.0;4.0;poste_01_1_4;107.2;16;poste_01_1_4_16
1006;2001_3;39.0;3.0;poste_01_1_4;106.6;15;poste_01_1_4_15
1007;2001_2;38.0;2.0;poste_01_1_4;105.9;14;poste_01_1_4_14
1009;2000_12;36.0;12.0;poste_01_1_4;104.8;13;poste_01_1_4_13
1011;2000_10;34.0;10.0;poste_01_1_4;104.2;12;poste_01_1_4_12
1012;2000_9;33.0;9.0;poste_01_1_4;103.4;11;poste_01_1_4_11
1014;2000_7;31.0;7.0;poste_01_1_4;102.9;10;poste_01_1_4_10
1015;2000_6;30.0;6.0;poste_01_1_4;102.5;9;poste_01_1_4_9
1090;2011_8;164.0;8.0;poste_01_1_5;133.39;28;poste_01_1_5_28
1092;2011_6;162.0;6.0;poste_01_1_5;131.06;27;poste_01_1_5_27
1094;2011_4;160.0;4.0;poste_01_1_5;128.44;26;poste_01_1_5_26
1096;2011_2;158.0;2.0;poste_01_1_5;124.86;25;poste_01_1_5_25
1098;2010_12;156.0;12.0;poste_01_1_5;124.3;24;poste_01_1_5_24
1099;2010_11;155.0;11.0;poste_01_1_5;124.43;23;poste_01_1_5_23
1156;2006_2;98.0;2.0;poste_01_1_5;117.4;22;poste_01_1_5_22
1159;2005_11;95.0;11.0;poste_01_1_5;114.1;21;poste_01_1_5_21
1161;2005_9;93.0;9.0;poste_01_1_5;113.6;20;poste_01_1_5_20
1163;2005_7;91.0;7.0;poste_01_1_5;113.1;19;poste_01_1_5_19
1165;2005_5;89.0;5.0;poste_01_1_5;112.4;18;poste_01_1_5_18
1167;2005_3;87.0;3.0;poste_01_1_5;112.4;17;poste_01_1_5_17
1214;2001_4;40.0;4.0;poste_01_1_5;106.1;16;poste_01_1_5_16
1215;2001_3;39.0;3.0;poste_01_1_5;105.8;15;poste_01_1_5_15
1216;2001_2;38.0;2.0;poste_01_1_5;105.6;14;poste_01_1_5_14
1218;2000_12;36.0;12.0;poste_01_1_5;105.1;13;poste_01_1_5_13
1220;2000_10;34.0;10.0;poste_01_1_5;104.3;12;poste_01_1_5_12
1221;2000_9;33.0;9.0;poste_01_1_5;103.6;11;poste_01_1_5_11
1223;2000_7;31.0;7.0;poste_01_1_5;103.4;10;poste_01_1_5_10
1224;2000_6;30.0;6.0;poste_01_1_5;103.3;9;poste_01_1_5_9
1299;2011_8;164.0;8.0;poste_01_1_6;124.51;28;poste_01_1_6_28
1301;2011_6;162.0;6.0;poste_01_1_6;139.72;27;poste_01_1_6_27
1303;2011_4;160.0;4.0;poste_01_1_6;128.1;26;poste_01_1_6_26
1305;2011_2;158.0;2.0;poste_01_1_6;123.0;25;poste_01_1_6_25
1307;2010_12;156.0;12.0;poste_01_1_6;121.82;24;poste_01_1_6_24
1308;2010_11;155.0;11.0;poste_01_1_6;124.58;23;poste_01_1_6_23
1365;2006_2;98.0;2.0;poste_01_1_6;113.79;22;poste_01_1_6_22
1368;2005_11;95.0;11.0;poste_01_1_6;113.0;21;poste_01_1_6_21
1370;2005_9;93.0;9.0;poste_01_1_6;105.0;20;poste_01_1_6_20
1372;2005_7;91.0;7.0;poste_01_1_6;120.6;19;poste_01_1_6_19
1374;2005_5;89.0;5.0;poste_01_1_6;131.9;18;poste_01_1_6_18
1376;2005_3;87.0;3.0;poste_01_1_6;116.6;17;poste_01_1_6_17
1423;2001_4;40.0;4.0;poste_01_1_6;106.4;16;poste_01_1_6_16
1424;2001_3;39.0;3.0;poste_01_1_6;102.6;15;poste_01_1_6_15
1425;2001_2;38.0;2.0;poste_01_1_6;99.7;14;poste_01_1_6_14
1427;2000_12;36.0;12.0;poste_01_1_6;97.8;13;poste_01_1_6_13
1429;2000_10;34.0;10.0;poste_01_1_6;95.4;12;poste_01_1_6_12
1430;2000_9;33.0;9.0;poste_01_1_6;98.1;11;poste_01_1_6_11
1432;2000_7;31.0;7.0;poste_01_1_6;103.5;10;poste_01_1_6_10
1433;2000_6;30.0;6.0;poste_01_1_6;111.5;9;poste_01_1_6_9
1508;2011_8;164.0;8.0;poste_01_1_7;121.21;28;poste_01_1_7_28
1510;2011_6;162.0;6.0;poste_01_1_7;126.25;27;poste_01_1_7_27
1512;2011_4;160.0;4.0;poste_01_1_7;128.03;26;poste_01_1_7_26
1514;2011_2;158.0;2.0;poste_01_1_7;130.4;25;poste_01_1_7_25
1516;2010_12;156.0;12.0;poste_01_1_7;131.88;24;poste_01_1_7_24
1517;2010_11;155.0;11.0;poste_01_1_7;127.54;23;poste_01_1_7_23
1574;2006_2;98.0;2.0;poste_01_1_7;121.93;22;poste_01_1_7_22
1577;2005_11;95.0;11.0;poste_01_1_7;108.2;21;poste_01_1_7_21
1579;2005_9;93.0;9.0;poste_01_1_7;108.2;20;poste_01_1_7_20
1581;2005_7;91.0;7.0;poste_01_1_7;108.1;19;poste_01_1_7_19
1583;2005_5;89.0;5.0;poste_01_1_7;118.3;18;poste_01_1_7_18
1585;2005_3;87.0;3.0;poste_01_1_7;129.0;17;poste_01_1_7_17
1632;2001_4;40.0;4.0;poste_01_1_7;111.7;16;poste_01_1_7_16
1633;2001_3;39.0;3.0;poste_01_1_7;110.3;15;poste_01_1_7_15
1634;2001_2;38.0;2.0;poste_01_1_7;105.0;14;poste_01_1_7_14
1636;2000_12;36.0;12.0;poste_01_1_7;105.3;13;poste_01_1_7_13
1638;2000_10;34.0;10.0;poste_01_1_7;104.4;12;poste_01_1_7_12
1639;2000_9;33.0;9.0;poste_01_1_7;101.0;11;poste_01_1_7_11
1641;2000_7;31.0;7.0;poste_01_1_7;98.5;10;poste_01_1_7_10
1642;2000_6;30.0;6.0;poste_01_1_7;100.8;9;poste_01_1_7_9
1717;2011_8;164.0;8.0;poste_01_1_8;121.12;28;poste_01_1_8_28
1719;2011_6;162.0;6.0;poste_01_1_8;120.78;27;poste_01_1_8_27
1721;2011_4;160.0;4.0;poste_01_1_8;119.56;26;poste_01_1_8_26
1723;2011_2;158.0;2.0;poste_01_1_8;117.74;25;poste_01_1_8_25
1725;2010_12;156.0;12.0;poste_01_1_8;117.88;24;poste_01_1_8_24
1726;2010_11;155.0;11.0;poste_01_1_8;117.82;23;poste_01_1_8_23
1783;2006_2;98.0;2.0;poste_01_1_8;113.79;22;poste_01_1_8_22
1786;2005_11;95.0;11.0;poste_01_1_8;113.7;21;poste_01_1_8_21
1788;2005_9;93.0;9.0;poste_01_1_8;113.5;20;poste_01_1_8_20
1790;2005_7;91.0;7.0;poste_01_1_8;113.5;19;poste_01_1_8_19
1792;2005_5;89.0;5.0;poste_01_1_8;113.8;18;poste_01_1_8_18
1794;2005_3;87.0;3.0;poste_01_1_8;114.4;17;poste_01_1_8_17
1841;2001_4;40.0;4.0;poste_01_1_8;104.7;16;poste_01_1_8_16
1842;2001_3;39.0;3.0;poste_01_1_8;104.3;15;poste_01_1_8_15
1843;2001_2;38.0;2.0;poste_01_1_8;103.9;14;poste_01_1_8_14
1845;2000_12;36.0;12.0;poste_01_1_8;103.3;13;poste_01_1_8_13
1847;2000_10;34.0;10.0;poste_01_1_8;102.9;12;poste_01_1_8_12
1848;2000_9;33.0;9.0;poste_01_1_8;102.8;11;poste_01_1_8_11
1850;2000_7;31.0;7.0;poste_01_1_8;102.6;10;poste_01_1_8_10
1851;2000_6;30.0;6.0;poste_01_1_8;102.3;9;poste_01_1_8_9
1926;2011_8;164.0;8.0;poste_01_1_9;129.66;28;poste_01_1_9_28
1928;2011_6;162.0;6.0;poste_01_1_9;129.03;27;poste_01_1_9_27
1930;2011_4;160.0;4.0;poste_01_1_9;127.78;26;poste_01_1_9_26
1932;2011_2;158.0;2.0;poste_01_1_9;127.11;25;poste_01_1_9_25
1934;2010_12;156.0;12.0;poste_01_1_9;127.23;24;poste_01_1_9_24
1935;2010_11;155.0;11.0;poste_01_1_9;127.35;23;poste_01_1_9_23
1992;2006_2;98.0;2.0;poste_01_1_9;122.01;22;poste_01_1_9_22
1995;2005_11;95.0;11.0;poste_01_1_9;121.9;21;poste_01_1_9_21
1997;2005_9;93.0;9.0;poste_01_1_9;121.6;20;poste_01_1_9_20
1999;2005_7;91.0;7.0;poste_01_1_9;121.6;19;poste_01_1_9_19
2001;2005_5;89.0;5.0;poste_01_1_9;121.2;18;poste_01_1_9_18
2003;2005_3;87.0;3.0;poste_01_1_9;120.6;17;poste_01_1_9_17
2050;2001_4;40.0;4.0;poste_01_1_9;110.3;16;poste_01_1_9_16
2051;2001_3;39.0;3.0;poste_01_1_9;109.7;15;poste_01_1_9_15
2052;2001_2;38.0;2.0;poste_01_1_9;108.8;14;poste_01_1_9_14
2054;2000_12;36.0;12.0;poste_01_1_9;108.0;13;poste_01_1_9_13
2056;2000_10;34.0;10.0;poste_01_1_9;107.7;12;poste_01_1_9_12
2057;2000_9;33.0;9.0;poste_01_1_9;107.5;11;poste_01_1_9_11
2059;2000_7;31.0;7.0;poste_01_1_9;107.4;10;poste_01_1_9_10
2060;2000_6;30.0;6.0;poste_01_1_9;107.1;9;poste_01_1_9_9
2135;2011_8;164.0;8.0;poste_01_2_1;124.14;28;poste_01_2_1_28
2137;2011_6;162.0;6.0;poste_01_2_1;120.03;27;poste_01_2_1_27
2139;2011_4;160.0;4.0;poste_01_2_1;116.16;26;poste_01_2_1_26
2141;2011_2;158.0;2.0;poste_01_2_1;112.8;25;poste_01_2_1_25
2143;2010_12;156.0;12.0;poste_01_2_1;111.95;24;poste_01_2_1_24
2144;2010_11;155.0;11.0;poste_01_2_1;111.34;23;poste_01_2_1_23
2201;2006_2;98.0;2.0;poste_01_2_1;105.97;22;poste_01_2_1_22
2204;2005_11;95.0;11.0;poste_01_2_1;105.5;21;poste_01_2_1_21
2206;2005_9;93.0;9.0;poste_01_2_1;104.7;20;poste_01_2_1_20
2208;2005_7;91.0;7.0;poste_01_2_1;103.2;19;poste_01_2_1_19
2210;2005_5;89.0;5.0;poste_01_2_1;102.4;18;poste_01_2_1_18
2212;2005_3;87.0;3.0;poste_01_2_1;101.4;17;poste_01_2_1_17
2259;2001_4;40.0;4.0;poste_01_2_1;97.3;16;poste_01_2_1_16
2260;2001_3;39.0;3.0;poste_01_2_1;97.3;15;poste_01_2_1_15
2261;2001_2;38.0;2.0;poste_01_2_1;97.5;14;poste_01_2_1_14
2263;2000_12;36.0;12.0;poste_01_2_1;97.7;13;poste_01_2_1_13
2265;2000_10;34.0;10.0;poste_01_2_1;97.9;12;poste_01_2_1_12
2266;2000_9;33.0;9.0;poste_01_2_1;97.8;11;poste_01_2_1_11
2268;2000_7;31.0;7.0;poste_01_2_1;98.1;10;poste_01_2_1_10
2269;2000_6;30.0;6.0;poste_01_2_1;98.3;9;poste_01_2_1_9
2344;2011_8;164.0;8.0;poste_01_2_2;122.53;28;poste_01_2_2_28
2346;2011_6;162.0;6.0;poste_01_2_2;121.42;27;poste_01_2_2_27
2348;2011_4;160.0;4.0;poste_01_2_2;119.75;26;poste_01_2_2_26
2350;2011_2;158.0;2.0;poste_01_2_2;118.21;25;poste_01_2_2_25
2352;2010_12;156.0;12.0;poste_01_2_2;117.37;24;poste_01_2_2_24
2353;2010_11;155.0;11.0;poste_01_2_2;117.3;23;poste_01_2_2_23
2410;2006_2;98.0;2.0;poste_01_2_2;106.73;22;poste_01_2_2_22
2413;2005_11;95.0;11.0;poste_01_2_2;106.3;21;poste_01_2_2_21
2415;2005_9;93.0;9.0;poste_01_2_2;106.5;20;poste_01_2_2_20
2417;2005_7;91.0;7.0;poste_01_2_2;106.5;19;poste_01_2_2_19
2419;2005_5;89.0;5.0;poste_01_2_2;106.8;18;poste_01_2_2_18
2421;2005_3;87.0;3.0;poste_01_2_2;107.0;17;poste_01_2_2_17
2468;2001_4;40.0;4.0;poste_01_2_2;103.8;16;poste_01_2_2_16
2469;2001_3;39.0;3.0;poste_01_2_2;103.6;15;poste_01_2_2_15
2470;2001_2;38.0;2.0;poste_01_2_2;103.7;14;poste_01_2_2_14
2472;2000_12;36.0;12.0;poste_01_2_2;102.5;13;poste_01_2_2_13
2474;2000_10;34.0;10.0;poste_01_2_2;102.0;12;poste_01_2_2_12
2475;2000_9;33.0;9.0;poste_01_2_2;102.1;11;poste_01_2_2_11
2477;2000_7;31.0;7.0;poste_01_2_2;101.6;10;poste_01_2_2_10
2478;2000_6;30.0;6.0;poste_01_2_2;101.4;9;poste_01_2_2_9
2553;2011_8;164.0;8.0;poste_02_0_0;165.97;28;poste_02_0_0_28
2555;2011_6;162.0;6.0;poste_02_0_0;165.51;27;poste_02_0_0_27
2557;2011_4;160.0;4.0;poste_02_0_0;165.15;26;poste_02_0_0_26
2559;2011_2;158.0;2.0;poste_02_0_0;164.88;25;poste_02_0_0_25
2561;2010_12;156.0;12.0;poste_02_0_0;164.69;24;poste_02_0_0_24
2562;2010_11;155.0;11.0;poste_02_0_0;163.84;23;poste_02_0_0_23
2619;2006_2;98.0;2.0;poste_02_0_0;143.61;22;poste_02_0_0_22
2622;2005_11;95.0;11.0;poste_02_0_0;143.4;21;poste_02_0_0_21
2624;2005_9;93.0;9.0;poste_02_0_0;143.4;20;poste_02_0_0_20
2626;2005_7;91.0;7.0;poste_02_0_0;143.5;19;poste_02_0_0_19
2628;2005_5;89.0;5.0;poste_02_0_0;143.4;18;poste_02_0_0_18
2630;2005_3;87.0;3.0;poste_02_0_0;143.2;17;poste_02_0_0_17
2677;2001_4;40.0;4.0;poste_02_0_0;109.7;16;poste_02_0_0_16
2678;2001_3;39.0;3.0;poste_02_0_0;109.6;15;poste_02_0_0_15
2679;2001_2;38.0;2.0;poste_02_0_0;109.5;14;poste_02_0_0_14
2681;2000_12;36.0;12.0;poste_02_0_0;106.5;13;poste_02_0_0_13
2683;2000_10;34.0;10.0;poste_02_0_0;106.5;12;poste_02_0_0_12
2684;2000_9;33.0;9.0;poste_02_0_0;106.5;11;poste_02_0_0_11
2686;2000_7;31.0;7.0;poste_02_0_0;106.4;10;poste_02_0_0_10
2687;2000_6;30.0;6.0;poste_02_0_0;106.3;9;poste_02_0_0_9
2762;2011_8;164.0;8.0;poste_02_1_1;110.7;28;poste_02_1_1_28
2764;2011_6;162.0;6.0;poste_02_1_1;110.3;27;poste_02_1_1_27
2766;2011_4;160.0;4.0;poste_02_1_1;110.18;26;poste_02_1_1_26
2768;2011_2;158.0;2.0;poste_02_1_1;109.52;25;poste_02_1_1_25
2770;2010_12;156.0;12.0;poste_02_1_1;109.54;24;poste_02_1_1_24
2771;2010_11;155.0;11.0;poste_02_1_1;109.9;23;poste_02_1_1_23
2828;2006_2;98.0;2.0;poste_02_1_1;102.89;22;poste_02_1_1_22
2831;2005_11;95.0;11.0;poste_02_1_1;102.8;21;poste_02_1_1_21
2833;2005_9;93.0;9.0;poste_02_1_1;102.8;20;poste_02_1_1_20
2835;2005_7;91.0;7.0;poste_02_1_1;102.8;19;poste_02_1_1_19
2837;2005_5;89.0;5.0;poste_02_1_1;103.0;18;poste_02_1_1_18
2839;2005_3;87.0;3.0;poste_02_1_1;102.6;17;poste_02_1_1_17
2886;2001_4;40.0;4.0;poste_02_1_1;100.8;16;poste_02_1_1_16
2887;2001_3;39.0;3.0;poste_02_1_1;100.6;15;poste_02_1_1_15
2888;2001_2;38.0;2.0;poste_02_1_1;100.6;14;poste_02_1_1_14
2890;2000_12;36.0;12.0;poste_02_1_1;99.8;13;poste_02_1_1_13
2892;2000_10;34.0;10.0;poste_02_1_1;100.1;12;poste_02_1_1_12
2893;2000_9;33.0;9.0;poste_02_1_1;99.9;11;poste_02_1_1_11
2895;2000_7;31.0;7.0;poste_02_1_1;99.9;10;poste_02_1_1_10
2896;2000_6;30.0;6.0;poste_02_1_1;99.8;9;poste_02_1_1_9
2971;2011_8;164.0;8.0;poste_02_1_2;128.18;28;poste_02_1_2_28
2973;2011_6;162.0;6.0;poste_02_1_2;127.24;27;poste_02_1_2_27
2975;2011_4;160.0;4.0;poste_02_1_2;126.29;26;poste_02_1_2_26
2977;2011_2;158.0;2.0;poste_02_1_2;125.97;25;poste_02_1_2_25
2979;2010_12;156.0;12.0;poste_02_1_2;125.44;24;poste_02_1_2_24
2980;2010_11;155.0;11.0;poste_02_1_2;125.95;23;poste_02_1_2_23
3037;2006_2;98.0;2.0;poste_02_1_2;113.1;22;poste_02_1_2_22
3040;2005_11;95.0;11.0;poste_02_1_2;112.9;21;poste_02_1_2_21
3042;2005_9;93.0;9.0;poste_02_1_2;112.9;20;poste_02_1_2_20
3044;2005_7;91.0;7.0;poste_02_1_2;113.2;19;poste_02_1_2_19
3046;2005_5;89.0;5.0;poste_02_1_2;113.1;18;poste_02_1_2_18
3048;2005_3;87.0;3.0;poste_02_1_2;113.2;17;poste_02_1_2_17
3095;2001_4;40.0;4.0;poste_02_1_2;107.1;16;poste_02_1_2_16
3096;2001_3;39.0;3.0;poste_02_1_2;107.0;15;poste_02_1_2_15
3097;2001_2;38.0;2.0;poste_02_1_2;106.8;14;poste_02_1_2_14
3099;2000_12;36.0;12.0;poste_02_1_2;106.3;13;poste_02_1_2_13
3101;2000_10;34.0;10.0;poste_02_1_2;106.2;12;poste_02_1_2_12
3102;2000_9;33.0;9.0;poste_02_1_2;106.1;11;poste_02_1_2_11
3104;2000_7;31.0;7.0;poste_02_1_2;105.8;10;poste_02_1_2_10
3105;2000_6;30.0;6.0;poste_02_1_2;105.7;9;poste_02_1_2_9
3180;2011_8;164.0;8.0;poste_02_1_3;119.72;28;poste_02_1_3_28
3182;2011_6;162.0;6.0;poste_02_1_3;118.95;27;poste_02_1_3_27
3184;2011_4;160.0;4.0;poste_02_1_3;118.75;26;poste_02_1_3_26
3186;2011_2;158.0;2.0;poste_02_1_3;118.13;25;poste_02_1_3_25
3188;2010_12;156.0;12.0;poste_02_1_3;118.34;24;poste_02_1_3_24
3189;2010_11;155.0;11.0;poste_02_1_3;118.66;23;poste_02_1_3_23
3246;2006_2;98.0;2.0;poste_02_1_3;108.94;22;poste_02_1_3_22
3249;2005_11;95.0;11.0;poste_02_1_3;106.9;21;poste_02_1_3_21
3251;2005_9;93.0;9.0;poste_02_1_3;107.5;20;poste_02_1_3_20
3253;2005_7;91.0;7.0;poste_02_1_3;108.9;19;poste_02_1_3_19
3255;2005_5;89.0;5.0;poste_02_1_3;109.4;18;poste_02_1_3_18
3257;2005_3;87.0;3.0;poste_02_1_3;109.2;17;poste_02_1_3_17
3304;2001_4;40.0;4.0;poste_02_1_3;101.7;16;poste_02_1_3_16
3305;2001_3;39.0;3.0;poste_02_1_3;101.6;15;poste_02_1_3_15
3306;2001_2;38.0;2.0;poste_02_1_3;101.7;14;poste_02_1_3_14
3308;2000_12;36.0;12.0;poste_02_1_3;101.0;13;poste_02_1_3_13
3310;2000_10;34.0;10.0;poste_02_1_3;100.9;12;poste_02_1_3_12
3311;2000_9;33.0;9.0;poste_02_1_3;100.7;11;poste_02_1_3_11
3313;2000_7;31.0;7.0;poste_02_1_3;100.5;10;poste_02_1_3_10
3314;2000_6;30.0;6.0;poste_02_1_3;100.6;9;poste_02_1_3_9
3389;2011_8;164.0;8.0;poste_02_2_0;212.61;28;poste_02_2_0_28
3391;2011_6;162.0;6.0;poste_02_2_0;212.61;27;poste_02_2_0_27
3393;2011_4;160.0;4.0;poste_02_2_0;212.61;26;poste_02_2_0_26
3395;2011_2;158.0;2.0;poste_02_2_0;212.66;25;poste_02_2_0_25
3397;2010_12;156.0;12.0;poste_02_2_0;212.64;24;poste_02_2_0_24
3398;2010_11;155.0;11.0;poste_02_2_0;209.98;23;poste_02_2_0_23
3455;2006_2;98.0;2.0;poste_02_2_0;178.0;22;poste_02_2_0_22
3458;2005_11;95.0;11.0;poste_02_2_0;178.0;21;poste_02_2_0_21
3460;2005_9;93.0;9.0;poste_02_2_0;178.0;20;poste_02_2_0_20
3462;2005_7;91.0;7.0;poste_02_2_0;177.8;19;poste_02_2_0_19
3464;2005_5;89.0;5.0;poste_02_2_0;177.4;18;poste_02_2_0_18
3466;2005_3;87.0;3.0;poste_02_2_0;177.0;17;poste_02_2_0_17
3513;2001_4;40.0;4.0;poste_02_2_0;114.6;16;poste_02_2_0_16
3514;2001_3;39.0;3.0;poste_02_2_0;114.6;15;poste_02_2_0_15
