,depenses_electricite_prix_unitaire,depenses_gaz_prix_unitaire,ident_men
0,0.116800002754,0.111599996686,1
1,0.116800002754,0.0,100
2,0.116800002754,0.0,1000
3,0.116800002754,0.111599996686,10000
4,0.116800002754,0.111599996686,10003
5,0.116800002754,0.0,10004
6,0.116800002754,0.0,10005
7,0.116800002754,0.0,10006
8,0.116800002754,0.0,10007
9,0.116800002754,0.111599996686,10009
10,0.116800002754,0.0939999967813,1001
11,0.116800002754,0.0,10010
12,0.116800002754,0.0,10011
13,0.116800002754,0.111599996686,10014
14,0.116800002754,0.0807000026107,10016
15,0.116800002754,0.0,10017
16,0.116800002754,0.111599996686,10018
17,0.116800002754,0.0,10019
18,0.116800002754,0.0,1002
19,0.116800002754,0.111599996686,10020
20,0.116800002754,0.0,10021
21,0.116800002754,0.0807000026107,10022
22,0.116800002754,0.0,10025
23,0.116800002754,0.0,10027
24,0.116800002754,0.0,10028
25,0.116800002754,0.0,10029
26,0.116800002754,0.0939999967813,1003
27,0.116800002754,0.0,10030
28,0.116800002754,0.0,10031
29,0.116800002754,0.0,10032
30,0.116800002754,0.111599996686,10033
31,0.116800002754,0.111599996686,10034
32,0.116800002754,0.0,10036
33,0.116800002754,0.111599996686,10037
34,0.116800002754,0.0,10038
35,0.116800002754,0.0,10039
36,0.116800002754,0.0,10040
37,0.116800002754,0.0,10041
38,0.116800002754,0.0,10043
39,0.116800002754,0.0939999967813,10044
40,0.116800002754,0.111599996686,10045
41,0.116800002754,0.0,10047
42,0.116800002754,0.111599996686,10048
43,0.116800002754,0.0,1005
44,0.116800002754,0.0,10050
45,0.116800002754,0.0,10051
46,0.116800002754,0.0,10053
47,0.116800002754,0.0,10054
48,0.116800002754,0.0,10055
49,0.116800002754,0.0,10056
50,0.116800002754,0.111599996686,10058
51,0.116800002754,0.0,10059
52,0.116800002754,0.0,1006
53,0.116800002754,0.111599996686,10062
54,0.116800002754,0.0,10063
55,0.116800002754,0.0,10067
56,0.116800002754,0.0,10069
57,0.116800002754,0.111599996686,1007
58,0.116800002754,0.0,10071
59,0.116800002754,0.0,10072
60,0.116800002754,0.0,10073
61,0.116800002754,0.0,10075
62,0.116800002754,0.0,10079
63,0.116800002754,0.0,1008
64,0.116800002754,0.0,10082
65,0.116800002754,0.0807000026107,10083
66,0.116800002754,0.0,10086
67,0.116800002754,0.0,10087
68,0.116800002754,0.111599996686,10088
69,0.116800002754,0.0,1009
70,0.116800002754,0.0,10091
71,0.116800002754,0.0,10092
72,0.116800002754,0.0,10093
73,0.116800002754,0.111599996686,10094
74,0.116800002754,0.0939999967813,10095
75,0.116800002754,0.0,10096
76,0.116800002754,0.0807000026107,10098
77,0.116800002754,0.0807000026107,101
78,0.116800002754,0.0,10100
79,0.116800002754,0.0,10103
80,0.116800002754,0.111599996686,10105
81,0.116800002754,0.0,10107
82,0.116800002754,0.111599996686,10108
83,0.116800002754,0.0,1011
84,0.116800002754,0.0,10110
85,0.116800002754,0.0,10111
86,0.116800002754,0.111599996686,10112
87,0.116800002754,0.0,10114
88,0.116800002754,0.0,10115
89,0.116800002754,0.0,10116
90,0.116800002754,0.0,10118
91,0.116800002754,0.0,10120
92,0.116800002754,0.0,10121
93,0.116800002754,0.0,10122
94,0.116800002754,0.111599996686,10123
95,0.116800002754,0.0807000026107,10124
96,0.116800002754,0.0,10125
97,0.116800002754,0.0,10126
98,0.116800002754,0.0,10127
99,0.116800002754,0.0,10128
100,0.116800002754,0.0,1013
101,0.116800002754,0.0,10130
102,0.116800002754,0.0807000026107,10131
103,0.116800002754,0.0,10132
104,0.116800002754,0.0,10133
105,0.116800002754,0.111599996686,10134
106,0.116800002754,0.0,10135
107,0.116800002754,0.0939999967813,10136
108,0.116800002754,0.0,10138
109,0.116800002754,0.0,1014
110,0.116800002754,0.111599996686,10143
111,0.116800002754,0.111599996686,10144
112,0.116800002754,0.111599996686,10146
113,0.116800002754,0.0939999967813,10148
114,0.116800002754,0.0939999967813,1015
115,0.116800002754,0.0,10151
116,0.116800002754,0.0,10153
117,0.116800002754,0.0,10154
118,0.116800002754,0.0807000026107,10155
119,0.116800002754,0.0,10156
120,0.116800002754,0.111599996686,10159
121,0.116800002754,0.0807000026107,10161
122,0.116800002754,0.0,10165
123,0.116800002754,0.0,10167
124,0.116800002754,0.0,10168
125,0.116800002754,0.0,10169
126,0.116800002754,0.0,1017
127,0.116800002754,0.0807000026107,10170
128,0.116800002754,0.0,10171
129,0.116800002754,0.0939999967813,10172
130,0.116800002754,0.111599996686,10174
131,0.116800002754,0.0,10175
132,0.116800002754,0.0,10176
133,0.116800002754,0.111599996686,10177
134,0.116800002754,0.111599996686,10178
135,0.116800002754,0.0,1018
136,0.116800002754,0.0,10181
137,0.116800002754,0.0,10182
138,0.116800002754,0.0,10184
139,0.116800002754,0.111599996686,10185
140,0.116800002754,0.111599996686,10186
141,0.116800002754,0.0,10187
142,0.116800002754,0.0,10188
143,0.116800002754,0.0,1019
144,0.116800002754,0.0,10191
145,0.116800002754,0.0,10192
146,0.116800002754,0.0,10194
147,0.116800002754,0.111599996686,10195
148,0.116800002754,0.111599996686,10196
149,0.116800002754,0.0,10198
150,0.116800002754,0.0,1020
151,0.116800002754,0.0,10200
152,0.116800002754,0.0,10201
153,0.116800002754,0.0,10202
154,0.116800002754,0.111599996686,10203
155,0.116800002754,0.0,10204
156,0.116800002754,0.0,10206
157,0.116800002754,0.111599996686,10207
158,0.116800002754,0.0807000026107,10208
159,0.116800002754,0.111599996686,10209
160,0.116800002754,0.0,10212
