,depenses_electricite_prix_unitaire,depenses_gaz_prix_unitaire,identifiant_menage
156,0.102799996734,0.0,200000156
157,0.102799996734,0.0,200000157
158,0.102799996734,0.025399999693,200000158
159,0.102799996734,0.0515000000596,200000159
160,0.102799996734,0.0515000000596,200000160
161,0.102799996734,0.0,200000161
162,0.102799996734,0.0,200000162
163,0.102799996734,0.0,200000163
164,0.102799996734,0.0,200000164
165,0.102799996734,0.0,200000165
166,0.102799996734,0.0,200000166
167,0.102799996734,0.0,200000167
168,0.102799996734,0.0271000005305,200000168
169,0.102799996734,0.0,200000169
170,0.102799996734,0.0271000005305,200000170
171,0.102799996734,0.0271000005305,200000171
172,0.102799996734,0.0,200000172
173,0.125100001693,0.0,200000173
174,0.102799996734,0.0,200000174
175,0.102799996734,0.0,200000175
176,0.102799996734,0.0,200000176
177,0.102799996734,0.0,200000177
178,0.102799996734,0.0,200000178
179,0.102799996734,0.0,200000179
180,0.102799996734,0.0,200000180
181,0.102799996734,0.025399999693,200000181
182,0.102799996734,0.0410000011325,200000182
183,0.102799996734,0.0410000011325,200000183
184,0.102799996734,0.0,200000184
185,0.102799996734,0.0,200000185
186,0.102799996734,0.0,200000186
187,0.102799996734,0.0,200000187
188,0.102799996734,0.0,200000188
189,0.102799996734,0.0,200000189
190,0.102799996734,0.0,200000190
191,0.102799996734,0.0,200000191
192,0.102799996734,0.0,200000192
193,0.102799996734,0.0,200000193
194,0.102799996734,0.0271000005305,200000194
195,0.102799996734,0.0,200000195
196,0.102799996734,0.0410000011325,200000196
197,0.102799996734,0.0,200000197
198,0.102799996734,0.0,200000198
199,0.102799996734,0.0410000011325,200000199
200,0.102799996734,0.0,200000200
201,0.102799996734,0.0,200000201
202,0.125100001693,0.0,200000202
203,0.125100001693,0.0,200000203
204,0.102799996734,0.0,200000204
205,0.102799996734,0.0,200000205
206,0.102799996734,0.0410000011325,200000206
207,0.102799996734,0.0515000000596,200000207
208,0.102799996734,0.0,200000208
209,0.102799996734,0.0515000000596,200000209
210,0.102799996734,0.0,200000210
211,0.102799996734,0.0,200000211
212,0.102799996734,0.0410000011325,200000212
213,0.102799996734,0.0,200000213
214,0.102799996734,0.0515000000596,200000214
215,0.102799996734,0.0,200000215
216,0.102799996734,0.0410000011325,200000216
217,0.102799996734,0.0515000000596,200000217
218,0.102799996734,0.0,200000218
219,0.102799996734,0.0,200000219
220,0.102799996734,0.0,200000220
221,0.102799996734,0.0271000005305,200000221
222,0.102799996734,0.0271000005305,200000222
223,0.102799996734,0.0,200000223
224,0.102799996734,0.0,200000224
225,0.102799996734,0.0515000000596,200000225
226,0.102799996734,0.0,200000226
227,0.102799996734,0.0,200000227
228,0.102799996734,0.0,200000228
229,0.102799996734,0.0,200000229
230,0.102799996734,0.0,200000230
231,0.102799996734,0.0410000011325,200000231
232,0.102799996734,0.0410000011325,200000232
233,0.102799996734,0.0515000000596,200000233
234,0.102799996734,0.0,200000234
235,0.102799996734,0.0410000011325,200000235
236,0.102799996734,0.0,200000236
237,0.102799996734,0.0,200000237
238,0.102799996734,0.0515000000596,200000238
239,0.102799996734,0.0,200000239
240,0.102799996734,0.0,200000240
241,0.102799996734,0.0410000011325,200000241
242,0.102799996734,0.0,200000242
243,0.102799996734,0.0,200000243
244,0.102799996734,0.0515000000596,200000244
245,0.102799996734,0.0,200000245
246,0.102799996734,0.0,200000246
247,0.102799996734,0.0,200000247
248,0.102799996734,0.0,200000248
249,0.102799996734,0.0,200000249
250,0.125100001693,0.0,200000250
251,0.102799996734,0.0,200000251
252,0.102799996734,0.0,200000252
253,0.102799996734,0.0,200000253
254,0.102799996734,0.0515000000596,200000254
255,0.102799996734,0.0,200000255
256,0.102799996734,0.0,200000256
257,0.102799996734,0.0,200000257
258,0.102799996734,0.0,200000258
259,0.102799996734,0.0,200000259
260,0.102799996734,0.0,200000260
261,0.102799996734,0.0,200000261
262,0.102799996734,0.0,200000262
263,0.102799996734,0.0,200000263
264,0.102799996734,0.0,200000264
265,0.102799996734,0.0,200000265
266,0.102799996734,0.0,200000266
267,0.102799996734,0.0,200000267
268,0.102799996734,0.0,200000268
269,0.102799996734,0.0,200000269
270,0.102799996734,0.0515000000596,200000270
271,0.102799996734,0.0,200000271
272,0.102799996734,0.0515000000596,200000272
273,0.102799996734,0.0,200000273
274,0.102799996734,0.0,200000274
275,0.102799996734,0.0,200000275
276,0.102799996734,0.0,200000276
277,0.102799996734,0.0,200000277
278,0.102799996734,0.0,200000278
279,0.102799996734,0.0,200000279
280,0.102799996734,0.0,200000280
281,0.102799996734,0.0,200000281
282,0.102799996734,0.0,200000282
283,0.102799996734,0.0,200000283
284,0.102799996734,0.0,200000284
285,0.102799996734,0.0,200000285
286,0.102799996734,0.0,200000286
287,0.102799996734,0.0,200000287
288,0.102799996734,0.0,200000288
289,0.102799996734,0.0,200000289
290,0.102799996734,0.0,200000290
291,0.102799996734,0.0,200000291
292,0.102799996734,0.0,200000292
293,0.102799996734,0.0,200000293
294,0.102799996734,0.0271000005305,200000294
295,0.102799996734,0.0271000005305,200000295
296,0.102799996734,0.0,200000296
297,0.102799996734,0.0,200000297
298,0.102799996734,0.0410000011325,200000298
299,0.102799996734,0.0271000005305,200000299
300,0.102799996734,0.0271000005305,200000300
301,0.102799996734,0.0,200000301
302,0.102799996734,0.0,200000302
303,0.102799996734,0.0515000000596,200000303
304,0.102799996734,0.0,200000304
305,0.102799996734,0.0,200000305
306,0.125100001693,0.0,200000306
307,0.102799996734,0.0,200000307
308,0.102799996734,0.0,200000308
309,0.102799996734,0.0410000011325,200000309
310,0.102799996734,0.0,200000310
311,0.102799996734,0.025399999693,200000311
312,0.102799996734,0.0,200000312
313,0.125100001693,0.0,200000313
314,0.102799996734,0.0,200000314
315,0.102799996734,0.0,200000315
316,0.102799996734,0.0,200000316
317,0.102799996734,0.0515000000596,200000317
318,0.102799996734,0.0,200000318
319,0.102799996734,0.0,200000319
320,0.102799996734,0.0,200000320
321,0.102799996734,0.0,200000321
322,0.102799996734,0.0,200000322
323,0.102799996734,0.0410000011325,200000323
324,0.102799996734,0.0410000011325,200000324
325,0.102799996734,0.0,200000325
326,0.125100001693,0.0,200000326
327,0.102799996734,0.0410000011325,200000327
328,0.102799996734,0.0515000000596,200000328
329,0.102799996734,0.0515000000596,200000329
330,0.102799996734,0.0,200000330
331,0.102799996734,0.0,200000331
332,0.102799996734,0.0410000011325,200000332
333,0.102799996734,0.0,200000333
334,0.102799996734,0.025399999693,200000334
335,0.102799996734,0.0,200000335
336,0.102799996734,0.0,200000336
337,0.102799996734,0.0,200000337
338,0.102799996734,0.0,200000338
339,0.102799996734,0.0,200000339
340,0.102799996734,0.0,200000340
341,0.102799996734,0.0515000000596,200000341
342,0.102799996734,0.0515000000596,200000342
343,0.102799996734,0.0,200000343
344,0.102799996734,0.0,200000344
345,0.102799996734,0.0,200000345
346,0.102799996734,0.0,200000346
347,0.102799996734,0.0,200000347
348,0.102799996734,0.0,200000348
349,0.102799996734,0.0,200000349
350,0.102799996734,0.0410000011325,200000350
351,0.102799996734,0.0,200000351
352,0.102799996734,0.0,200000352
353,0.102799996734,0.0,200000353
354,0.102799996734,0.0,200000354
355,0.102799996734,0.0,200000355
356,0.102799996734,0.025399999693,200000356
357,0.102799996734,0.0,200000357
358,0.102799996734,0.0,200000358
359,0.102799996734,0.025399999693,200000359
360,0.102799996734,0.0,200000360
361,0.102799996734,0.0,200000361
362,0.102799996734,0.0,200000362
363,0.102799996734,0.0515000000596,200000363
364,0.102799996734,0.0,200000364
365,0.102799996734,0.0410000011325,200000365
366,0.102799996734,0.0,200000366
367,0.102799996734,0.0,200000367
