age_group_pr,precarite_energetique_rev_disponible,brde_m2_rev_disponible,froid_4_criteres_3_deciles,tee_10_3_deciles_rev_disponible
1,0.176573547645,0.101563269322,0.0804286418501,0.0481326471962
2,0.103615977399,0.0594824106456,0.0427219104415,0.0353412468104
3,0.125245484908,0.0682517141924,0.0608444008525,0.036201787287
4,0.117353701031,0.0631656206231,0.0552068743552,0.0549689512301
5,0.129258390887,0.058092378744,0.0457118827104,0.0709302592755
6,0.164933559744,0.0721062953867,0.0439898137598,0.118497935572
