label_division,label_groupe,label_classe,label_sous_classe,label_poste,code_coicop,start,stop,origin,categorie_fiscale
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information","Matériel de réception, d'enregistrement et de reproduction du son et de l'image",Appareils d'enregistrement et de reproduction du son et de l'image,Appareils de reproduction du son et de l'image (hors tv),9.1.1.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information","Matériel de réception, d'enregistrement et de reproduction du son et de l'image",Appareils d'enregistrement et de reproduction du son et de l'image,Téléviseurs,9.1.1.2.2,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information","Matériel de réception, d'enregistrement et de reproduction du son et de l'image",Appareils audiovisuels portables,Appareils audiovisuels portables,9.1.1.3.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information","Matériel de réception, d'enregistrement et de reproduction du son et de l'image",Autres équipements audiovisuels,Autres équipements audiovisuels,9.1.1.9.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information",Matériel photographique et cinématographique et appareils optiques,Appareils photo et caméras,Appareils photographiques,9.1.2.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information",Matériel photographique et cinématographique et appareils optiques,Appareils photo et caméras,Caméscopes,9.1.2.1.2,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information",Matériel photographique et cinématographique et appareils optiques,Accessoires pour matériels photographique et cinématographique,Accessoires pour matériels photographique et cinématographique,9.1.2.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information",Matériel photographique et cinématographique et appareils optiques,Instruments d'optique,Instruments d'optique,9.1.2.3.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information",Matériel de traitement de l'information,Ordinateurs personnels,Ordinateurs personnels,9.1.3.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information",Matériel de traitement de l'information,Accessoires pour matériel de traitement de l'information,Accessoires pour matériel de traitement de l'information,9.1.3.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information",Matériel de traitement de l'information,Logiciels,Logiciels,9.1.3.3.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information",Matériel de traitement de l'information,Calculatrices et autres matériels de traitement de l'information,Calculatrices et autres matériels de traitement de l'information,9.1.3.4.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information",Supports d'enregistrement,Supports enregistrés,Supports enregistrés,9.1.4.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information",Supports d'enregistrement,Supports d'enregistrement vierges,Supports d'enregistrement vierges,9.1.4.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information",Supports d'enregistrement,Autres supports d'enregistrement,Autres supports d'enregistrement,9.1.4.9.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Matériel audiovisuel, photographique et de traitement de l'information","Réparation de matériels audiovisuel, photographique et informatique","Réparation de matériels audiovisuel, photographique et informatique","Réparation de matériels audiovisuel, photographique et informatique",9.1.5.0.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Autres biens durables à fonction récréative et culturelle,Biens durables pour loisirs de plein air,"Camping-cars, caravanes et remorques","Camping-cars, caravanes et remorques",9.2.1.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Autres biens durables à fonction récréative et culturelle,Biens durables pour loisirs de plein air,"Avions, ulm, planeurs et autres aéronefs","Avions, ulm, planeurs et autres aéronefs",9.2.1.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Autres biens durables à fonction récréative et culturelle,Biens durables pour loisirs de plein air,"Bateaux, moteurs hors bord et équipements de bateaux","Bateaux, moteurs hors bord et équipements de bateaux",9.2.1.3.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Autres biens durables à fonction récréative et culturelle,Biens durables pour loisirs de plein air,"Chevaux, poneys et accessoires équestres","Chevaux, poneys et accessoires équestres",9.2.1.4.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Autres biens durables à fonction récréative et culturelle,Biens durables pour loisirs de plein air,Grands articles pour jeux et sports,Grands articles pour jeux et sports,9.2.1.5.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Autres biens durables à fonction récréative et culturelle,Instruments de musique et biens durables destinés aux loisirs d'intérieur,Instruments de musique,Instruments de musique,9.2.2.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Autres biens durables à fonction récréative et culturelle,Instruments de musique et biens durables destinés aux loisirs d'intérieur,Grands articles destinés aux loisirs d'intérieur,Grands articles destinés aux loisirs d'intérieur,9.2.2.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Autres biens durables à fonction récréative et culturelle,Entretien et réparation des autres biens durables de loisirs et culturels,Entretien et réparation des autres biens durables de loisirs et culturels,Entretien et réparation des autres biens durables de loisirs et culturels,9.2.3.0.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Autres articles et matériels de loisirs, de jardinage et animaux de compagnie","Jeux, jouets et passe-temps",Jeux et passe-temps,Jeux et passe-temps,9.3.1.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Autres articles et matériels de loisirs, de jardinage et animaux de compagnie","Jeux, jouets et passe-temps",Jouets et articles de fête,Jouets et articles de fête,9.3.1.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Autres articles et matériels de loisirs, de jardinage et animaux de compagnie","Articles de sport, matériel de camping et matériel pour activités de plein air",Équipement de sport,Équipement de sport,9.3.2.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Autres articles et matériels de loisirs, de jardinage et animaux de compagnie","Articles de sport, matériel de camping et matériel pour activités de plein air",Équipement de camping et de loisirs de plein air,Équipement de camping et de loisirs de plein air,9.3.2.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Autres articles et matériels de loisirs, de jardinage et animaux de compagnie","Articles de sport, matériel de camping et matériel pour activités de plein air","Réparation d'équipement de sport, de camping et de loisirs de plein air","Réparation d'équipement de sport, de camping et de loisirs de plein air",9.3.2.3.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Autres articles et matériels de loisirs, de jardinage et animaux de compagnie","Produits pour jardin, plantes et fleurs",Produits pour jardin,Produits pour jardin,9.3.3.1.1,1994,2015,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Autres articles et matériels de loisirs, de jardinage et animaux de compagnie","Produits pour jardin, plantes et fleurs",Plantes et fleurs,Plantes et fleurs,9.3.3.2.1,1994,2015,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Autres articles et matériels de loisirs, de jardinage et animaux de compagnie",Animaux de compagnie et articles connexes,Achat d'animaux domestiques,Achat d'animaux domestiques,9.3.4.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Autres articles et matériels de loisirs, de jardinage et animaux de compagnie",Animaux de compagnie et articles connexes,Produits pour animaux domestiques,Produits pour animaux domestiques,9.3.4.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Autres articles et matériels de loisirs, de jardinage et animaux de compagnie",Services vétérinaires et autres services pour animaux de compagnie,Services vétérinaires et autres services pour animaux de compagnie,Services vétérinaires et autres services pour animaux de compagnie,9.3.5.0.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Services récréatifs et culturels,Services récréatifs et sportifs,Services récréatifs et sportifs - fréquentation,Manifestations sportives - fréquentation,9.4.1.1.1,1994,2014,ECOICOP 2016,tva_taux_reduit
Loisirs et culture,Services récréatifs et culturels,Services récréatifs et sportifs,Services récréatifs et sportifs - fréquentation,Autres services récréatifs - fréquentation,9.4.1.1.2,1994,2014,ECOICOP 2016,tva_taux_reduit
Loisirs et culture,Services récréatifs et culturels,Services récréatifs et sportifs,Services récréatifs et sportifs - participation,Pratique d'un sport,9.4.1.2.1,1994,2014,ECOICOP 2016,tva_taux_reduit
Loisirs et culture,Services récréatifs et culturels,Services récréatifs et sportifs,Services récréatifs et sportifs - participation,Autres pratiques récréatives,9.4.1.2.2,1994,2014,ECOICOP 2016,tva_taux_reduit
Loisirs et culture,Services récréatifs et culturels,Services culturels,"Cinéma, théâtre, concerts",Cinéma,9.4.2.1.1,2014,2024,ECOICOP 2016,tva_taux_reduit
Loisirs et culture,Services récréatifs et culturels,Services culturels,"Cinéma, théâtre, concerts",Spectacles vivants,9.4.2.1.2,2014,2024,ECOICOP 2016,tva_taux_reduit
Loisirs et culture,Services récréatifs et culturels,Services culturels,"Musées, bibliothèques, jardins zoologiques","Musées, bibliothèques, jardins zoologiques",9.4.2.2.1,2012,2017,ECOICOP 2016,tva_taux_intermediaire
Loisirs et culture,Services récréatifs et culturels,Services culturels,Redevances et abonnements audio-visuels,Redevances et abonnements audio-visuels,9.4.2.3.1,2012,2024,ECOICOP 2016,tva_taux_intermediaire
Loisirs et culture,Services récréatifs et culturels,Services culturels,Location d'équipement et d'accessoires culturels,Location d'équipement et d'accessoires culturels,9.4.2.4.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Services récréatifs et culturels,Services culturels,Services photographiques,Services photographiques,9.4.2.5.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Services récréatifs et culturels,Services culturels,Autres services culturels,Autres services culturels,9.4.2.9.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Services récréatifs et culturels,Jeux de hasard,Jeux de hasard,Jeux de hasard,9.4.3.0.1,1994,2024,ECOICOP 2016,
Loisirs et culture,"Journaux, livres et articles de papeterie",Livres,Ouvrages de littérature générale,Ouvrages de littérature générale,9.5.1.1.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Loisirs et culture,"Journaux, livres et articles de papeterie",Livres,Livres scolaires et parascolaires,Livres scolaires et parascolaires,9.5.1.2.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Loisirs et culture,"Journaux, livres et articles de papeterie",Livres,"Dictionnaires, encyclopédies, livres pratiques et autres","Dictionnaires, encyclopédies, livres pratiques et autres",9.5.1.3.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Loisirs et culture,"Journaux, livres et articles de papeterie",Livres,Services d'édition et livres numériques,Services d'édition et livres numériques,9.5.1.4.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Loisirs et culture,"Journaux, livres et articles de papeterie",Journaux et publications périodiques,Journaux,Journaux,9.5.2.1.1,1994,2024,ECOICOP 2016,tva_taux_super_reduit
Loisirs et culture,"Journaux, livres et articles de papeterie",Journaux et publications périodiques,Revues et publications périodiques,Revues et publications périodiques,9.5.2.2.1,1994,2024,ECOICOP 2016,tva_taux_super_reduit
Loisirs et culture,"Journaux, livres et articles de papeterie",Imprimés divers,Imprimés divers,Imprimés divers,9.5.3.0.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Journaux, livres et articles de papeterie",Papeterie et matériel de dessin,Articles en papier,Articles en papier,9.5.4.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Journaux, livres et articles de papeterie",Papeterie et matériel de dessin,Autres articles de papeterie et de dessin,"Stylos, crayons et encres",9.5.4.9.1,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,"Journaux, livres et articles de papeterie",Papeterie et matériel de dessin,Autres articles de papeterie et de dessin,Autres fournitures scolaires et de bureau,9.5.4.9.2,1994,2024,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Forfaits touristiques,Forfaits touristiques,Forfaits touristiques nationaux,Forfaits touristiques nationaux,9.6.0.1.1,1994,2018,ECOICOP 2016,tva_taux_plein
Loisirs et culture,Forfaits touristiques,Forfaits touristiques,Forfaits touristiques internationaux,Forfaits touristiques internationaux,9.6.0.2.1,1994,2018,ECOICOP 2016,tva_taux_plein
Enseignement,Enseignement préélémentaire et primaire,Enseignement préélémentaire et primaire,Enseignement préélémentaire,Enseignement préélémentaire,10.1.0.1.1,1994,2024,ECOICOP 2016,
Enseignement,Enseignement préélémentaire et primaire,Enseignement préélémentaire et primaire,Enseignement primaire,Enseignement primaire,10.1.0.2.1,1994,2024,ECOICOP 2016,
Enseignement,Enseignement secondaire,Enseignement secondaire,Enseignement secondaire,Enseignement secondaire,10.2.0.0.1,1994,2024,ECOICOP 2016,
Enseignement,Enseignement post-secondaire non supérieur,Enseignement post-secondaire non supérieur,Enseignement post-secondaire non supérieur,Enseignement post-secondaire non supérieur,10.3.0.0.1,1994,2024,ECOICOP 2016,
Enseignement,Enseignement supérieur,Enseignement supérieur,Enseignement supérieur,Enseignement supérieur,10.4.0.0.1,1994,2024,ECOICOP 2016,
Enseignement,Enseignement non défini par niveau,Enseignement non défini par niveau,Enseignement non défini par niveau,Enseignement non défini par niveau,10.5.0.0.1,1994,2024,ECOICOP 2016,
Restaurants et hôtels,Services de restauration,"Restaurants, cafés et établissements similaires","Restaurants, cafés et établissements de danse",Repas traditionnel dans un restaurant,11.1.1.1.1,2012,2024,ECOICOP 2016,tva_taux_intermediaire
Restaurants et hôtels,Services de restauration,"Restaurants, cafés et établissements similaires","Restaurants, cafés et établissements de danse",Repas en libre service,11.1.1.1.2,2012,2024,ECOICOP 2016,tva_taux_intermediaire
Restaurants et hôtels,Services de restauration,"Restaurants, cafés et établissements similaires","Restaurants, cafés et établissements de danse",Cafés et autres boissons chaudes consommés dans les cafés,11.1.1.1.3,2012,2024,ECOICOP 2016,tva_taux_intermediaire
Restaurants et hôtels,Services de restauration,"Restaurants, cafés et établissements similaires","Restaurants, cafés et établissements de danse",Vin consommés dans les cafés,11.1.1.1.4,2012,2024,ECOICOP 2016,tva_taux_intermediaire
Restaurants et hôtels,Services de restauration,"Restaurants, cafés et établissements similaires","Restaurants, cafés et établissements de danse",Bière et cidre consommés dans les cafés,11.1.1.1.5,2012,2024,ECOICOP 2016,tva_taux_intermediaire
Restaurants et hôtels,Services de restauration,"Restaurants, cafés et établissements similaires","Restaurants, cafés et établissements de danse",Spiritueux consommés dans les cafés,11.1.1.1.6,2012,2024,ECOICOP 2016,tva_taux_intermediaire
Restaurants et hôtels,Services de restauration,"Restaurants, cafés et établissements similaires","Restaurants, cafés et établissements de danse",Boissons non alcoolisées consommés dans les cafés,11.1.1.1.7,2012,2024,ECOICOP 2016,tva_taux_intermediaire
Restaurants et hôtels,Services de restauration,"Restaurants, cafés et établissements similaires","Restaurants, cafés et établissements de danse",Cocktails consommés dans les cafés,11.1.1.1.8,2012,2024,ECOICOP 2016,tva_taux_intermediaire
Restaurants et hôtels,Services de restauration,"Restaurants, cafés et établissements similaires",Services de restauration rapide et à emporter,Services de restauration rapide et à emporter,11.1.1.2.1,2012,2024,ECOICOP 2016,tva_taux_intermediaire
Restaurants et hôtels,Services de restauration,Cantines,Cantines,Repas dans un restaurant scolaire ou universitaire,11.1.2.0.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Restaurants et hôtels,Services de restauration,Cantines,Cantines,Repas dans un restaurant d'entreprise ou d'admin.,11.1.2.0.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Restaurants et hôtels,Services d'hébergement,Services d'hébergement,"Hôtels, motels, auberges et hébergements similaires",Locations de chambres,11.2.0.1.1,1994,2011,ECOICOP 2016,tva_taux_reduit
Restaurants et hôtels,Services d'hébergement,Services d'hébergement,"Hôtels, motels, auberges et hébergements similaires",Pensions et demi-pensions dans les hôtels,11.2.0.1.2,1994,2011,ECOICOP 2016,tva_taux_reduit
Restaurants et hôtels,Services d'hébergement,Services d'hébergement,"Centres de vacances, camping, auberges de jeunesse et hébergements similaires",Centres de vacances ou de loisirs,11.2.0.2.1,1994,2011,ECOICOP 2016,tva_taux_reduit
Restaurants et hôtels,Services d'hébergement,Services d'hébergement,"Centres de vacances, camping, auberges de jeunesse et hébergements similaires",Campings et auberges de jeunesse,11.2.0.2.2,1994,2011,ECOICOP 2016,tva_taux_reduit
Restaurants et hôtels,Services d'hébergement,Services d'hébergement,"Centres de vacances, camping, auberges de jeunesse et hébergements similaires",Location des résidences de vacances et gîtes ruraux,11.2.0.2.3,1994,2011,ECOICOP 2016,tva_taux_reduit
Restaurants et hôtels,Services d'hébergement,Services d'hébergement,Autres services d'hébergement,Autres services d'hébergement,11.2.0.3.1,1994,2011,ECOICOP 2016,tva_taux_reduit
Biens et services divers,Soins corporels,Salons de coiffure et instituts de soins et de beauté,Coiffure pour hommes et enfants,Coiffure pour hommes et enfants,12.1.1.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Soins corporels,Salons de coiffure et instituts de soins et de beauté,Coiffure pour femmes,Coiffure pour femmes,12.1.1.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Soins corporels,Salons de coiffure et instituts de soins et de beauté,Soins de beauté corporels,Soins de beauté corporels,12.1.1.3.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Soins corporels,Appareils électriques pour soins corporels,Appareils électriques pour soins corporels,Appareils électriques pour soins corporels,12.1.2.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Soins corporels,Appareils électriques pour soins corporels,Réparation d'appareils électriques pour soins corporels,Réparation d'appareils électriques pour soins corporels,12.1.2.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Soins corporels,"Autres appareils, articles et produits pour soins corporels",Articles de soins corporels non électriques,Articles de soins corporels non électriques,12.1.3.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Soins corporels,"Autres appareils, articles et produits pour soins corporels","Article d'hygiène corporelle, de bien être et produits de beauté",Parfums et eaux de toilette,12.1.3.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Soins corporels,"Autres appareils, articles et produits pour soins corporels","Article d'hygiène corporelle, de bien être et produits de beauté",Produits de maquillage et de soin de la peau,12.1.3.2.2,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Soins corporels,"Autres appareils, articles et produits pour soins corporels","Article d'hygiène corporelle, de bien être et produits de beauté","Savons, dentifrices et produits de toilette",12.1.3.2.3,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Soins corporels,"Autres appareils, articles et produits pour soins corporels","Article d'hygiène corporelle, de bien être et produits de beauté",Shampooings et produits capillaires divers,12.1.3.2.4,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Soins corporels,"Autres appareils, articles et produits pour soins corporels","Article d'hygiène corporelle, de bien être et produits de beauté",Articles d'hygiène à base de papier ou de coton,12.1.3.2.5,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Prostitution,Prostitution,Prostitution,Prostitution,12.2.0.0.1,1994,2024,ECOICOP 2016,
Biens et services divers,Effets personnels n.c.a.,Articles de bijouterie et horlogerie,Bijouterie,Bijouterie,12.3.1.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Effets personnels n.c.a.,Articles de bijouterie et horlogerie,Horlogerie et montres,Horlogerie et montres,12.3.1.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Effets personnels n.c.a.,Articles de bijouterie et horlogerie,"Réparation de bijoux, horloges et montres","Réparation de bijoux, horloges et montres",12.3.1.3.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Effets personnels n.c.a.,Autres effets personnels,Articles de voyage,Articles de voyage,12.3.2.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Effets personnels n.c.a.,Autres effets personnels,Articles de puériculture,Articles de puériculture,12.3.2.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Effets personnels n.c.a.,Autres effets personnels,Réparation d'autres effets personnels,Réparation d'autres effets personnels,12.3.2.3.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Effets personnels n.c.a.,Autres effets personnels,Autres effets personnels n.c.a.,Autres effets personnels n.c.a.,12.3.2.9.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Protection sociale,Protection sociale,Services de garde d'enfants,Services de garde d'enfants,12.4.0.1.1,1994,1999,ECOICOP 2016,tva_taux_plein
Biens et services divers,Protection sociale,Protection sociale,Maisons de retraite pour personnes âgées et foyers pour handicapés,Maisons de retraite,12.4.0.2.1,1994,1999,ECOICOP 2016,tva_taux_plein
Biens et services divers,Protection sociale,Protection sociale,Maisons de retraite pour personnes âgées et foyers pour handicapés,Etablissements pour personnes handicapées,12.4.0.2.2,1994,1999,ECOICOP 2016,tva_taux_plein
Biens et services divers,Protection sociale,Protection sociale,Aides à domicile,Aides à domicile,12.4.0.3.1,1994,1999,ECOICOP 2016,tva_taux_plein
Biens et services divers,Protection sociale,Protection sociale,Services de conseil,Services de conseil,12.4.0.4.1,1994,1999,ECOICOP 2016,tva_taux_plein
Biens et services divers,Assurance,Assurance-vie,Assurance-vie,Assurance-vie,12.5.1.0.1,1994,2024,ECOICOP 2016,autres_assurances
Biens et services divers,Assurance,Assurance habitation,Assurance habitation,Assurance habitation,12.5.2.0.1,1994,2024,ECOICOP 2016,autres_assurances
Biens et services divers,Assurance,Assurance santé,Assurance santé publique,Assurance santé publique,12.5.3.1.1,1994,2024,ECOICOP 2016,assurance_sante
Biens et services divers,Assurance,Assurance santé,Assurance complémentaire santé,Assurance complémentaire santé,12.5.3.2.1,1994,2024,ECOICOP 2016,assurance_sante
Biens et services divers,Assurance,Assurance transport,Assurance véhicule à moteur,Assurance véhicule à moteur,12.5.4.1.1,1994,2024,ECOICOP 2016,assurance_transport
Biens et services divers,Assurance,Assurance transport,Assurance voyage,Assurance voyage,12.5.4.2.1,1994,2024,ECOICOP 2016,assurance_transport
Biens et services divers,Assurance,Autres assurances,Autres assurances,Autres assurances,12.5.5.0.1,1994,2024,ECOICOP 2016,autres_assurances
Biens et services divers,Services financiers n.c.a.,Services d'intermédiation financière (sifim),Services d'intermédiation financière (sifim),Services d'intermédiation financière (sifim),12.6.1.0.1,1994,2024,ECOICOP 2016,
Biens et services divers,Services financiers n.c.a.,Autres services financiers n.c.a.,Frais de banques et de change,Frais de banques et de change,12.6.2.1.1,1994,2024,ECOICOP 2016,
Biens et services divers,Services financiers n.c.a.,Autres services financiers n.c.a.,Conseils et courtage financiers,Conseils et courtage financiers,12.6.2.2.1,1994,2024,ECOICOP 2016,
Biens et services divers,Autres services n.c.a.,Autres services n.c.a.,Frais administratifs n.c.a.,Frais administratifs n.c.a.,12.7.0.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Autres services n.c.a.,Autres services n.c.a.,Services juridiques et de comptabilité,Services juridiques et de comptabilité,12.7.0.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Autres services n.c.a.,Autres services n.c.a.,Services funéraires,Services funéraires,12.7.0.3.1,1994,2024,ECOICOP 2016,tva_taux_plein
Biens et services divers,Autres services n.c.a.,Autres services n.c.a.,Autres frais et services n.c.a.,Autres frais et services n.c.a.,12.7.0.4.1,1994,2024,ECOICOP 2016,tva_taux_plein
