;code_coicop;label_poste;divisions;groupes;classes;sous_classes;postes
98;03.1.2.3.3;Jupes, robes et ensembles pour enfants;3;1;2;3;3
99;03.1.2.4.1;Vêtements de sport ou de loisirs pour hommes et garçonnets;3;1;2;4;1
100;03.1.2.4.2;Vêtements de sport ou de loisir pour femmes et fillettes;3;1;2;4;2
101;03.1.2.5.1;Chemises pour hommes;3;1;2;5;1
102;03.1.2.5.2;Sous-vêtements et vêtements de nuit pour hommes;3;1;2;5;2
103;03.1.2.5.3;Chaussettes pour hommes;3;1;2;5;3
104;03.1.2.5.4;Tricots et pull-overs pour hommes;3;1;2;5;4
105;03.1.2.6.1;Chemisiers et tuniques pour femmes;3;1;2;6;1
106;03.1.2.6.2;Lingerie, vêtements de nuit pour femmes;3;1;2;6;2
107;03.1.2.6.3;Collants, bas et chaussettes pour femmes;3;1;2;6;3
108;03.1.2.6.4;Tricots et pull-overs pour femmes;3;1;2;6;4
109;03.1.2.7.1;Chemises, sous- vêtements et vêtements de nuit enfants;3;1;2;7;1
110;03.1.2.7.2;Collants et chaussettes pour enfants;3;1;2;7;2
111;03.1.2.7.3;Tricots et pull-overs pour enfants;3;1;2;7;3
112;03.1.2.7.4;Layette;3;1;2;7;4
113;03.1.3.1.1;Accessoires du vêtement et vêtements de travail;3;1;3;1;1
114;03.1.3.1.2;Laines et mercerie;3;1;3;1;2
115;03.1.4.1.1;Blanchissage et nettoyage de vêtements;3;1;4;1;1
116;03.1.4.1.2;Réparations de vêtements;3;1;4;1;2
117;03.2.1.1.1;Chaussures de ville pour hommes;3;2;1;1;1
118;03.2.1.1.2;Chaussures de ville pour femmes;3;2;1;1;2
119;03.2.1.1.3;Chaussures de ville pour enfants;3;2;1;1;3
120;03.2.1.2.1;Chaussures de sport;3;2;1;2;1
121;03.2.1.2.2;Autres articles chaussants;3;2;1;2;2
122;03.2.1.2.3;Réparation de chaussures;3;2;1;2;3
123;04.1.1.1.1;Loyers des résidences principales;4;1;1;1;1
124;04.1.1.2.1;Loyers des résidences de vacances et gîtes ruraux;4;1;1;2;1
125;04.3.1.1.1;Peintures, vernis et papiers peints;4;3;1;1;1
126;04.3.1.1.2;Art. de quincaillerie, fournitures pour bricolage;4;3;1;1;2
127;04.3.1.1.3;Articles en bois;4;3;1;1;3
128;04.3.2.1.1;Pose de revêtement de sols et murs;4;3;2;1;1
129;04.3.2.2.1;Services d'entretien du logement;4;3;2;2;1
130;04.4.1.1.1;Distribution d'eau;4;4;1;1;1
131;04.4.1.2.1;Enlèvement des ordures ménagères;4;4;1;2;1
132;04.4.1.3.1;Service d'assainissement;4;4;1;3;1
133;04.4.1.4.1;Ramonage, gardiennage et entretien des ascenseurs;4;4;1;4;1
134;04.5.1.1.1;Électricité;4;5;1;1;1
135;04.5.2.1.1;Gaz de ville;4;5;2;1;1
136;04.5.2.2.1;Gaz liquéfiés;4;5;2;2;1
137;04.5.3.1.1;Fiouls domestiques;4;5;3;1;1
138;04.5.4.1.1;Autres combustibles solides;4;5;4;1;1
139;04.5.5.1.1;Chauffage urbain;4;5;5;1;1
140;05.1.1.1.1;Chambres d'enfants;5;1;1;1;1
141;05.1.1.1.2;Chambres d'adultes;5;1;1;1;2
142;05.1.1.1.3;Sommiers;5;1;1;1;3
143;05.1.1.2.1;Étagères et éléments modulables;5;1;1;2;1
144;05.1.1.2.2;Buffets, livings, bahuts, bibliothèques;5;1;1;2;2
145;05.1.1.2.3;Tables et chaises de salle à manger;5;1;1;2;3
146;05.1.1.3.1;Mobilier de cuisine et de salle de bains;5;1;1;3;1
147;05.1.1.4.1;Fauteuils et canapés;5;1;1;4;1
148;05.1.1.5.1;Luminaires;5;1;1;5;1
149;05.1.1.5.2;Articles de décoration;5;1;1;5;2
150;05.1.1.5.3;Meubles de jardin;5;1;1;5;3
151;05.1.1.5.4;Réparation des meubles;5;1;1;5;4
152;05.1.2.1.1;Tapis et autres revêtements de sol;5;1;2;1;1
153;05.2.1.1.1;Linge de lit;5;2;1;1;1
154;05.2.1.1.2;Couvertures et accessoires de literie;5;2;1;1;2
155;05.2.1.1.3;Literie;5;2;1;1;3
156;05.2.1.2.1;Tissus d'ameublement, voilages;5;2;1;2;1
157;05.2.1.2.2;Linge de toilette et de table, torchons;5;2;1;2;2
158;05.3.1.1.1;Lave-linge, sèche-linge;5;3;1;1;1
159;05.3.1.1.2;Lave-vaisselle;5;3;1;1;2
160;05.3.1.2.1;Appareils de cuisson;5;3;1;2;1
161;05.3.1.3.1;Réfrigérateurs, congélateurs;5;3;1;3;1
162;05.3.1.4.1;Aspirateurs et autres gros appareils ménagers;5;3;1;4;1
163;05.3.1.4.2;Appareils de chauffage;5;3;1;4;2
164;05.3.2.1.1; petits appareils électroménagers;5;3;2;1;1
165;05.3.3.1.1;Réparation d'appareils ménagers;5;3;3;1;1
166;05.4.1.1.1;Faïence et porcelaine;5;4;1;1;1
167;05.4.1.1.2;Verrerie;5;4;1;1;2
168;05.4.1.2.1;Couverts et autres ustensiles de cuisine en métal;5;4;1;2;1
169;05.4.1.2.2;Orfèvrerie;5;4;1;2;2
170;05.4.1.3.1;Autres ustensiles de ménage;5;4;1;3;1
171;05.5.1.1.1;Outillage à moteur;5;5;1;1;1
172;05.5.1.1.2;Piles;5;5;1;1;2
173;05.5.1.1.3;Lampes et autres petits matériels électriques;5;5;1;1;3
174;05.5.1.1.4;Outillage à main, ustensiles de jardin;5;5;1;1;4
175;05.5.1.1.5;Autres petits matériels pour la maison;5;5;1;1;5
176;05.6.1.1.1;Petits articles pour l'entretien du logement;5;6;1;1;1
177;05.6.1.1.2;Petits articles de quincaillerie et de couture;5;6;1;1;2
178;05.6.1.2.1;Savons de ménage et détergents;5;6;1;2;1
179;05.6.1.2.2;Produits d'entretien de la maison;5;6;1;2;2
180;05.6.2.1.1;Employé de maison;5;6;2;1;1
181;05.6.2.2.1;Locations d'appareils de nettoyage et de bricolage;5;6;2;2;1
182;05.6.2.2.2;Blanchissage et nettoyage d'articles textiles hors vêtements;5;6;2;2;2
183;06.1.1.1.1;Produits pharmaceutiques;6;1;1;1;1
184;06.1.1.2.1;Parapharmacie;6;1;1;2;1
185;06.1.1.3.1;Optique médicale;6;1;1;3;1
186;06.1.1.3.2;Appareils orthopédiques et prothèses;6;1;1;3;2
187;06.2.1.1.1;Médecins;6;2;1;1;1
188;06.2.2.1.1;Dentistes;6;2;2;1;1
189;06.2.3.1.1;Analyses de laboratoire;6;2;3;1;1
190;06.2.3.1.2;Auxiliaires médicaux;6;2;3;1;2
191;06.2.3.1.3;Transports sanitaires;6;2;3;1;3
192;06.2.3.1.4;Cures thermales privées;6;2;3;1;4
193;07.1.1.1.1;Automobiles neuves;7;1;1;1;1
194;07.1.1.2.1;Automobiles d'occasion;7;1;1;2;1
195;07.1.2.1.1;Motocycles;7;1;2;1;1
196;07.1.2.1.2;Cycles;7;1;2;1;2
197;07.2.1.1.1;Pneumatiques;7;2;1;1;1
198;07.2.1.2.1;Autres grosses pièces de rechange  pour véhicules;7;2;1;2;1
199;07.2.1.2.2;Accessoires et petites pièces de rechange pour véhicules;7;2;1;2;2
200;07.2.2.1.1;Supercarburants;7;2;2;1;1
201;07.2.2.1.2;Gazole et gpl;7;2;2;1;2
202;07.2.2.2.1;Lubrifiants;7;2;2;2;1
203;07.2.3.1.1;Entretien de véhicules personnels;7;2;3;1;1
204;07.2.3.2.1;Réparation de véhicules personnels (heure de m.o.);7;2;3;2;1
205;07.2.3.2.2;Réparation de véhicules personnels (forfait pièces et m.o.);7;2;3;2;2
206;07.2.4.1.1;Péages;7;2;4;1;1
207;07.2.4.1.2;Parkings;7;2;4;1;2
208;07.2.4.2.1;Auto-écoles;7;2;4;2;1
209;07.2.4.2.2;Locations de véhicules privés;7;2;4;2;2
210;07.2.4.2.3;Formalités administratives liées au véhicule personnel;7;2;4;2;3
211;07.3.1.1.1;Transports ferroviaires de voyageurs;7;3;1;1;1
212;07.3.2.1.1;Transports routiers interurbains de voyageurs;7;3;2;1;1
213;07.3.2.1.2;Transports routiers urbains et suburbains de voyageurs;7;3;2;1;2
214;07.3.2.2.1;Taxis;7;3;2;2;1
