,label_division,label_groupe,label_classe,label_sous_classe,label_poste,code_coicop
188,"Ameublement, équipement ménager et entretien courant de la maison","Meubles, articles d'ameublement, tapis et autres revêt. de sol y.c.réparation",Meubles et articles d'ameublement,Mobilier de séjour,Étagères et éléments modulables,5.1.1.2.1
189,"Ameublement, équipement ménager et entretien courant de la maison","Meubles, articles d'ameublement, tapis et autres revêt. de sol y.c.réparation",Meubles et articles d'ameublement,Mobilier de séjour,"Buffets, livings, bahuts, bibliothèques",5.1.1.2.2
190,"Ameublement, équipement ménager et entretien courant de la maison","Meubles, articles d'ameublement, tapis et autres revêt. de sol y.c.réparation",Meubles et articles d'ameublement,Mobilier de séjour,Tables et chaises de salle à manger,5.1.1.2.3
191,"Ameublement, équipement ménager et entretien courant de la maison","Meubles, articles d'ameublement, tapis et autres revêt. de sol y.c.réparation",Meubles et articles d'ameublement,Mobilier de cuisine et salle de bains,Mobilier de cuisine et de salle de bains,5.1.1.3.1
192,"Ameublement, équipement ménager et entretien courant de la maison","Meubles, articles d'ameublement, tapis et autres revêt. de sol y.c.réparation",Meubles et articles d'ameublement,Fauteuils et canapés,Fauteuils et canapés,5.1.1.4.1
193,"Ameublement, équipement ménager et entretien courant de la maison","Meubles, articles d'ameublement, tapis et autres revêt. de sol y.c.réparation",Meubles et articles d'ameublement,"Accessoires du mobilier, meubles de jardin et réparation de meubles",Luminaires,5.1.1.5.1
194,"Ameublement, équipement ménager et entretien courant de la maison","Meubles, articles d'ameublement, tapis et autres revêt. de sol y.c.réparation",Meubles et articles d'ameublement,"Accessoires du mobilier, meubles de jardin et réparation de meubles",Articles de décoration,5.1.1.5.2
195,"Ameublement, équipement ménager et entretien courant de la maison","Meubles, articles d'ameublement, tapis et autres revêt. de sol y.c.réparation",Meubles et articles d'ameublement,"Accessoires du mobilier, meubles de jardin et réparation de meubles",Meubles de jardin,5.1.1.5.3
196,"Ameublement, équipement ménager et entretien courant de la maison","Meubles, articles d'ameublement, tapis et autres revêt. de sol y.c.réparation",Meubles et articles d'ameublement,"Accessoires du mobilier, meubles de jardin et réparation de meubles",Réparation des meubles,5.1.1.5.4
197,"Ameublement, équipement ménager et entretien courant de la maison","Meubles, articles d'ameublement, tapis et autres revêt. de sol y.c.réparation",Tapis et autres revêtements de sol,Tapis et autres revêtements de sol,Tapis et autres revêtements de sol,5.1.2.1.1
198,"Ameublement, équipement ménager et entretien courant de la maison",Articles de ménage en textile,Articles de ménage en textile,Articles pour literie,Linge de lit,5.2.1.1.1
199,"Ameublement, équipement ménager et entretien courant de la maison",Articles de ménage en textile,Articles de ménage en textile,Articles pour literie,Couvertures et accessoires de literie,5.2.1.1.2
200,"Ameublement, équipement ménager et entretien courant de la maison",Articles de ménage en textile,Articles de ménage en textile,Articles pour literie,Literie,5.2.1.1.3
201,"Ameublement, équipement ménager et entretien courant de la maison",Articles de ménage en textile,Articles de ménage en textile,Autres articles textiles,"Tissus d'ameublement, voilages",5.2.1.2.1
202,"Ameublement, équipement ménager et entretien courant de la maison",Articles de ménage en textile,Articles de ménage en textile,Autres articles textiles,"Linge de toilette et de table, torchons",5.2.1.2.2
203,"Ameublement, équipement ménager et entretien courant de la maison",Appareils ménagers,Gros appareils ménagers électriques ou non,Appareils de lavage,"Lave-linge, sèche-linge",5.3.1.1.1
204,"Ameublement, équipement ménager et entretien courant de la maison",Appareils ménagers,Gros appareils ménagers électriques ou non,Appareils de lavage,Lave-vaisselle,5.3.1.1.2
205,"Ameublement, équipement ménager et entretien courant de la maison",Appareils ménagers,Gros appareils ménagers électriques ou non,Appareils de cuisson,Appareils de cuisson,5.3.1.2.1
206,"Ameublement, équipement ménager et entretien courant de la maison",Appareils ménagers,Gros appareils ménagers électriques ou non,"Réfrigérateurs, congélateurs","Réfrigérateurs, congélateurs",5.3.1.3.1
207,"Ameublement, équipement ménager et entretien courant de la maison",Appareils ménagers,Gros appareils ménagers électriques ou non,Autres appareils,Aspirateurs et autres gros appareils ménagers,5.3.1.4.1
208,"Ameublement, équipement ménager et entretien courant de la maison",Appareils ménagers,Gros appareils ménagers électriques ou non,Autres appareils,Appareils de chauffage,5.3.1.4.2
209,"Ameublement, équipement ménager et entretien courant de la maison",Appareils ménagers,Petits appareils électroménagers,Petits appareils électroménagers, petits appareils électroménagers,5.3.2.1.1
210,"Ameublement, équipement ménager et entretien courant de la maison",Appareils ménagers,Réparation d'appareils ménagers,Réparation d'appareils ménagers,Réparation d'appareils ménagers,5.3.3.1.1
211,"Ameublement, équipement ménager et entretien courant de la maison","Verrerie, vaisselle et ustensiles de ménage","Verrerie, vaisselle et ustensiles de ménage","Verrerie, faïence et porcelaine",Faïence et porcelaine,5.4.1.1.1
212,"Ameublement, équipement ménager et entretien courant de la maison","Verrerie, vaisselle et ustensiles de ménage","Verrerie, vaisselle et ustensiles de ménage","Verrerie, faïence et porcelaine",Verrerie,5.4.1.1.2
213,"Ameublement, équipement ménager et entretien courant de la maison","Verrerie, vaisselle et ustensiles de ménage","Verrerie, vaisselle et ustensiles de ménage",Ustensiles de ménage en métal,Couverts et autres ustensiles de cuisine en métal,5.4.1.2.1
214,"Ameublement, équipement ménager et entretien courant de la maison","Verrerie, vaisselle et ustensiles de ménage","Verrerie, vaisselle et ustensiles de ménage",Ustensiles de ménage en métal,Orfèvrerie,5.4.1.2.2
215,"Ameublement, équipement ménager et entretien courant de la maison","Verrerie, vaisselle et ustensiles de ménage","Verrerie, vaisselle et ustensiles de ménage",Autres articles de ménage,Autres ustensiles de ménage,5.4.1.3.1
216,"Ameublement, équipement ménager et entretien courant de la maison",Outillage et autres matériels pour la maison et le jardin,Outillage et autres matériels pour la maison et le jardin,Outillage et autres matériels pour la maison et le jardin,Outillage à moteur,5.5.1.1.1
217,"Ameublement, équipement ménager et entretien courant de la maison",Outillage et autres matériels pour la maison et le jardin,Outillage et autres matériels pour la maison et le jardin,Outillage et autres matériels pour la maison et le jardin,Piles,5.5.1.1.2
218,"Ameublement, équipement ménager et entretien courant de la maison",Outillage et autres matériels pour la maison et le jardin,Outillage et autres matériels pour la maison et le jardin,Outillage et autres matériels pour la maison et le jardin,Lampes et autres petits matériels électriques,5.5.1.1.3
219,"Ameublement, équipement ménager et entretien courant de la maison",Outillage et autres matériels pour la maison et le jardin,Outillage et autres matériels pour la maison et le jardin,Outillage et autres matériels pour la maison et le jardin,"Outillage à main, ustensiles de jardin",5.5.1.1.4
220,"Ameublement, équipement ménager et entretien courant de la maison",Outillage et autres matériels pour la maison et le jardin,Outillage et autres matériels pour la maison et le jardin,Outillage et autres matériels pour la maison et le jardin,Autres petits matériels pour la maison,5.5.1.1.5
221,"Ameublement, équipement ménager et entretien courant de la maison",Biens et services pour l'entretien courant de l'habitation,Articles de ménage non durables,Petits articles pour l'entretien du logement,Petits articles pour l'entretien du logement,5.6.1.1.1
222,"Ameublement, équipement ménager et entretien courant de la maison",Biens et services pour l'entretien courant de l'habitation,Articles de ménage non durables,Petits articles pour l'entretien du logement,Petits articles de quincaillerie et de couture,5.6.1.1.2
223,"Ameublement, équipement ménager et entretien courant de la maison",Biens et services pour l'entretien courant de l'habitation,Articles de ménage non durables,Savons de ménage et produits d'entretien,Savons de ménage et détergents,5.6.1.2.1
224,"Ameublement, équipement ménager et entretien courant de la maison",Biens et services pour l'entretien courant de l'habitation,Articles de ménage non durables,Savons de ménage et produits d'entretien,Produits d'entretien de la maison,5.6.1.2.2
225,"Ameublement, équipement ménager et entretien courant de la maison",Biens et services pour l'entretien courant de l'habitation,Services domestiques et autres services pour l'habitation,Services domestiques,Employé de maison,5.6.2.1.1
226,"Ameublement, équipement ménager et entretien courant de la maison",Biens et services pour l'entretien courant de l'habitation,Services domestiques et autres services pour l'habitation,Autres services pour l'habitation,Locations d'appareils de nettoyage et de bricolage,5.6.2.2.1
227,"Ameublement, équipement ménager et entretien courant de la maison",Biens et services pour l'entretien courant de l'habitation,Services domestiques et autres services pour l'habitation,Autres services pour l'habitation,Blanchissage et nettoyage d'articles textiles hors vêtements,5.6.2.2.2
228,Santé,"Médicaments et autres prod. pharmaceutiques, appareils et mat. thérapeutiques",Préparations et produits pharmaceutiques,Produits pharmaceutiques,Produits pharmaceutiques,6.1.1.1.1
229,Santé,"Médicaments et autres prod. pharmaceutiques, appareils et mat. thérapeutiques",Préparations et produits pharmaceutiques,Parapharmacie,Parapharmacie,6.1.1.2.1
230,Santé,"Médicaments et autres prod. pharmaceutiques, appareils et mat. thérapeutiques",Préparations et produits pharmaceutiques,Appareils et matériels thérapeutiques,Optique médicale,6.1.1.3.1
231,Santé,"Médicaments et autres prod. pharmaceutiques, appareils et mat. thérapeutiques",Préparations et produits pharmaceutiques,Appareils et matériels thérapeutiques,Appareils orthopédiques et prothèses,6.1.1.3.2
232,Santé,Médecine non hospitalière et services paramédicaux (services ambulatoires),Service des médecins,Médecins,Médecins,6.2.1.1.1
233,Santé,Médecine non hospitalière et services paramédicaux (services ambulatoires),Service des dentistes,Dentistes,Dentistes,6.2.2.1.1
234,Santé,Médecine non hospitalière et services paramédicaux (services ambulatoires),Services paramédicaux,Services paramédicaux,Analyses de laboratoire,6.2.3.1.1
235,Santé,Médecine non hospitalière et services paramédicaux (services ambulatoires),Services paramédicaux,Services paramédicaux,Auxiliaires médicaux,6.2.3.1.2
236,Santé,Médecine non hospitalière et services paramédicaux (services ambulatoires),Services paramédicaux,Services paramédicaux,Transports sanitaires,6.2.3.1.3
237,Santé,Médecine non hospitalière et services paramédicaux (services ambulatoires),Services paramédicaux,Services paramédicaux,Cures thermales privées,6.2.3.1.4
238,Transport,Achats de véhicules,Automobiles neuves et d'occasion,Automobiles neuves,Automobiles neuves,7.1.1.1.1
239,Transport,Achats de véhicules,Automobiles neuves et d'occasion,Automobiles d'occasion,Automobiles d'occasion,7.1.1.2.1
240,Transport,Achats de véhicules,"Motos, cycles",Motos et cycles,Motocycles,7.1.2.1.1
241,Transport,Achats de véhicules,"Motos, cycles",Motos et cycles,Cycles,7.1.2.1.2
242,Transport,Utilisation de véhicules personnels,"Pièces détachées et accessoires, hors montage, pour véhicules personnels",Pneumatiques,Pneumatiques,7.2.1.1.1
243,Transport,Utilisation de véhicules personnels,"Pièces détachées et accessoires, hors montage, pour véhicules personnels",Pièces de rechange et accessoires,Autres grosses pièces de rechange  pour véhicules,7.2.1.2.1
244,Transport,Utilisation de véhicules personnels,"Pièces détachées et accessoires, hors montage, pour véhicules personnels",Pièces de rechange et accessoires,Accessoires et petites pièces de rechange pour véhicules,7.2.1.2.2
245,Transport,Utilisation de véhicules personnels,Carburants et lubrifiants,Carburants,Supercarburants,7.2.2.1.1
246,Transport,Utilisation de véhicules personnels,Carburants et lubrifiants,Carburants,Gazole et gpl,7.2.2.1.2
247,Transport,Utilisation de véhicules personnels,Carburants et lubrifiants,Lubrifiants,Lubrifiants,7.2.2.2.1
248,Transport,Utilisation de véhicules personnels,Entretien et réparation de véhicules personnels,Entretien de véhicules personnels,Entretien de véhicules personnels,7.2.3.1.1
249,Transport,Utilisation de véhicules personnels,Entretien et réparation de véhicules personnels,Réparation de véhicules personnels,Réparation de véhicules personnels (heure de m.o.),7.2.3.2.1
250,Transport,Utilisation de véhicules personnels,Entretien et réparation de véhicules personnels,Réparation de véhicules personnels,Réparation de véhicules personnels (forfait pièces et m.o.),7.2.3.2.2
251,Transport,Utilisation de véhicules personnels,Autres services liés aux véhicules personnels,Péages et parkings,Péages,7.2.4.1.1
252,Transport,Utilisation de véhicules personnels,Autres services liés aux véhicules personnels,Péages et parkings,Parkings,7.2.4.1.2
253,Transport,Utilisation de véhicules personnels,Autres services liés aux véhicules personnels,Autres services pour véhicules personnels,Auto-écoles,7.2.4.2.1
254,Transport,Utilisation de véhicules personnels,Autres services liés aux véhicules personnels,Autres services pour véhicules personnels,Locations de véhicules privés,7.2.4.2.2
255,Transport,Utilisation de véhicules personnels,Autres services liés aux véhicules personnels,Autres services pour véhicules personnels,Formalités administratives liées au véhicule personnel,7.2.4.2.3
256,Transport,Services de transport,Transports ferroviaires de voyageurs,Transports ferroviaires de voyageurs,Transports ferroviaires de voyageurs,7.3.1.1.1
257,Transport,Services de transport,Transports routiers de voyageurs,Transports routiers de voyageurs,Transports routiers interurbains de voyageurs,7.3.2.1.1
258,Transport,Services de transport,Transports routiers de voyageurs,Transports routiers de voyageurs,Transports routiers urbains et suburbains de voyageurs,7.3.2.1.2
259,Transport,Services de transport,Transports routiers de voyageurs,Taxis,Taxis,7.3.2.2.1
260,Transport,Services de transport,Transports aériens de voyageurs,Transports aériens de voyageurs,Transports aériens de voyageurs,7.3.3.1.1
261,Transport,Services de transport,Transports combinés de voyageurs,Transports combinés de voyageurs,Transports combinés urbains et suburbains de voyageurs,7.3.5.1.1
262,Transport,Services de transport,Autres achats de services de transport y.c. transports maritimes et fluviaux,Autres achats de services de transport y.c. transports maritimes et fluviaux,Déménagement,7.3.6.1.1
263,Transport,Services de transport,Autres achats de services de transport y.c. transports maritimes et fluviaux,Autres achats de services de transport y.c. transports maritimes et fluviaux,Transports maritimes et fluviaux,7.3.6.1.2
264,Communications,Communications,Services postaux,Services postaux,Services postaux,8.1.1.1.1
265,Communications,Communications,Équipement et services de téléphone et de télécopie,Équipement de téléphone et de télécopie,Poste téléphonique,8.1.2.1.1
266,Communications,Communications,Équipement et services de téléphone et de télécopie,Service de télécommunications,Services de télécommunications,8.1.2.2.1
267,Loisirs et culture,"Équipements   audio-visuels, photographiques  et informatiques",Équipements audio-visuels,Équipements audio-visuels,Matériel vidéo,9.1.1.1.1
268,Loisirs et culture,"Équipements   audio-visuels, photographiques  et informatiques",Équipements audio-visuels,Équipements audio-visuels,Téléviseurs,9.1.1.1.2
269,Loisirs et culture,"Équipements   audio-visuels, photographiques  et informatiques",Équipements audio-visuels,Équipements audio-visuels,Autres appareils électro-acoustiques,9.1.1.1.3
270,Loisirs et culture,"Équipements   audio-visuels, photographiques  et informatiques","Équipements photo et cinéma, instruments d'optique",Équipements photo et cinéma,"Appareils de photo, inst. d'optique, d'observation",9.1.2.1.1
271,Loisirs et culture,"Équipements   audio-visuels, photographiques  et informatiques","Équipements photo et cinéma, instruments d'optique",Équipements photo et cinéma,Caméscope,9.1.2.1.2
272,Loisirs et culture,"Équipements   audio-visuels, photographiques  et informatiques",Matériels de traitement de l'information y.c. micro-ordinateurs,Matériels de traitement de l'information y.c. micro-ordinateurs,Matériel de traitement de l'info. yc micro-ordinateurs,9.1.3.1.1
273,Loisirs et culture,"Équipements   audio-visuels, photographiques  et informatiques",Supports d'enregistrements de l'image et du son,Supports d'enregistrements de l'image et du son,Disques et cassettes enregistrés,9.1.4.1.1
274,Loisirs et culture,"Équipements   audio-visuels, photographiques  et informatiques",Supports d'enregistrements de l'image et du son,Supports d'enregistrements de l'image et du son,Disquettes et cassettes vierges,9.1.4.1.2
275,Loisirs et culture,"Équipements   audio-visuels, photographiques  et informatiques",Supports d'enregistrements de l'image et du son,Supports d'enregistrements de l'image et du son,Produits photographiques,9.1.4.1.3
276,Loisirs et culture,"Équipements   audio-visuels, photographiques  et informatiques","Réparation de matériel audiovisuel, photographique et de traitement de l'information","Réparation de matériel audiovisuel, photographique et de traitement de l'information",Réparation d'appareils et d'accessoires récréatifs,9.1.5.1.1
277,Loisirs et culture,Autres biens durables importants pour les loisirs et la culture y.c. réparation,Autres biens durables importants pour les loisirs et la culture y.c. réparation,Autres biens durables importants pour les loisirs et la culture y.c. réparation,Caravanes,9.2.1.1.1
278,Loisirs et culture,Autres biens durables importants pour les loisirs et la culture y.c. réparation,Autres biens durables importants pour les loisirs et la culture y.c. réparation,Autres biens durables importants pour les loisirs et la culture y.c. réparation,Bateaux et accessoires,9.2.1.1.2
279,Loisirs et culture,Autres biens durables importants pour les loisirs et la culture y.c. réparation,Autres biens durables importants pour les loisirs et la culture y.c. réparation,Autres biens durables importants pour les loisirs et la culture y.c. réparation,Instruments de musique et autres articles pour les loisirs,9.2.1.1.3
280,Loisirs et culture,"Autres articles et équipements de loisirs, fleurs et animaux d'agrément",Jeux et jouets,Jeux et jouets,Jeux et jouets,9.3.1.1.1
281,Loisirs et culture,"Autres articles et équipements de loisirs, fleurs et animaux d'agrément","Équipement de sport, de camping et de loisirs de plein air","Équipement de sport, de camping et de loisirs de plein air","Articles de sport, armes et munitions",9.3.2.1.1
282,Loisirs et culture,"Autres articles et équipements de loisirs, fleurs et animaux d'agrément","Équipement de sport, de camping et de loisirs de plein air","Équipement de sport, de camping et de loisirs de plein air",Articles de camping,9.3.2.1.2
283,Loisirs et culture,"Autres articles et équipements de loisirs, fleurs et animaux d'agrément",Horticulture,Fleurs et plantes,Fleurs et plantes,9.3.3.1.1
284,Loisirs et culture,"Autres articles et équipements de loisirs, fleurs et animaux d'agrément",Horticulture,Plants et graines,Plants et graines yc engrais,9.3.3.2.1
285,Loisirs et culture,"Autres articles et équipements de loisirs, fleurs et animaux d'agrément",Horticulture,Plants et graines,Compositions  florales,9.3.3.2.2
286,Loisirs et culture,"Autres articles et équipements de loisirs, fleurs et animaux d'agrément",Animaux d'agrément y c. services vétérinaires et autres services,Animaux d'agrément y c. services,Aliments et produits d'hygiène pour animaux,9.3.4.1.1
287,Loisirs et culture,"Autres articles et équipements de loisirs, fleurs et animaux d'agrément",Animaux d'agrément y c. services vétérinaires et autres services,Animaux d'agrément y c. services,Achats d'animaux,9.3.4.1.2
288,Loisirs et culture,"Autres articles et équipements de loisirs, fleurs et animaux d'agrément",Animaux d'agrément y c. services vétérinaires et autres services,Animaux d'agrément y c. services,Soins pour animaux d'agrément,9.3.4.1.3
289,Loisirs et culture,Services récréatifs et culturels,Services récréatifs,Services récréatifs,Pratique d'un sport,9.4.1.1.1
290,Loisirs et culture,Services récréatifs et culturels,Services récréatifs,Services récréatifs,Assistance à des manifestations sportives,9.4.1.1.2
291,Loisirs et culture,Services récréatifs et culturels,Services récréatifs,Services récréatifs,Enseignement artistique et autres services récréatifs,9.4.1.1.3
292,Loisirs et culture,Services récréatifs et culturels,Services culturels,Cinémas,Cinémas,9.4.2.1.1
293,Loisirs et culture,Services récréatifs et culturels,Services culturels,Autres spectacles culturels et musées,"Théâtres, concerts et music-halls",9.4.2.2.1
294,Loisirs et culture,Services récréatifs et culturels,Services culturels,Autres spectacles culturels et musées,Visite de monument ou musée,9.4.2.2.2
295,Loisirs et culture,Services récréatifs et culturels,Services culturels,Redevance et abonnements télévision,Redevance et abonnements télévision,9.4.2.3.1
296,Loisirs et culture,Services récréatifs et culturels,Services culturels,Autres services culturels,Travaux photographiques,9.4.2.4.1
297,Loisirs et culture,Services récréatifs et culturels,Services culturels,Autres services culturels,Locations d'articles récréatifs,9.4.2.4.2
298,Loisirs et culture,"Presse, livres et papeterie",Livres,Livres,"Livres scolaires et parascolaires, dict., encyclo.",9.5.1.1.1
299,Loisirs et culture,"Presse, livres et papeterie",Livres,Livres,Ouvrages de littérature générale,9.5.1.1.2
300,Loisirs et culture,"Presse, livres et papeterie",Livres,Livres,"Livres pour la jeunesse, livres pratiques et autres",9.5.1.1.3
301,Loisirs et culture,"Presse, livres et papeterie",Journaux et périodiques,Journaux,Journaux,9.5.2.1.1
302,Loisirs et culture,"Presse, livres et papeterie",Journaux et périodiques,Magazines,Revues,9.5.2.2.1
303,Loisirs et culture,"Presse, livres et papeterie","Imprimés divers, articles de papeterie et de dessin",Articles à base de papier,Autres articles imprimés,9.5.3.1.1
304,Loisirs et culture,"Presse, livres et papeterie","Imprimés divers, articles de papeterie et de dessin",Articles à base de papier,Articles de papeterie,9.5.3.1.2
305,Loisirs et culture,"Presse, livres et papeterie","Imprimés divers, articles de papeterie et de dessin",Autres articles de bureau,"Stylos, crayons et encres",9.5.3.2.1
306,Loisirs et culture,"Presse, livres et papeterie","Imprimés divers, articles de papeterie et de dessin",Autres articles de bureau,Autres fournitures scolaires et de bureau,9.5.3.2.2
307,Loisirs et culture,Voyages touristiques tout compris,Voyages touristiques tout compris,Voyages touristiques tout compris,Voyages organisés,9.6.1.1.1
