posteCOICOP;annee;description;categoriefiscale;supplementaire
0116;2012;Fruits;2;0
0116;2013;Fruits;2;0
0116;2014;Fruits;2;0
0117;1994;Légumes;2;0
0117;1995;Légumes;2;0
0117;1996;Légumes;2;0
0117;1997;Légumes;2;0
0117;1998;Légumes;2;0
0117;1999;Légumes;2;0
0117;2000;Légumes;2;0
0117;2001;Légumes;2;0
0117;2002;Légumes;2;0
0117;2003;Légumes;2;0
0117;2004;Légumes;2;0
0117;2005;Légumes;2;0
0117;2006;Légumes;2;0
0117;2007;Légumes;2;0
0117;2008;Légumes;2;0
0117;2009;Légumes;2;0
0117;2010;Légumes;2;0
0117;2011;Légumes;2;0
0117;2012;Légumes;2;0
0117;2013;Légumes;2;0
0117;2014;Légumes;2;0
0118;1994;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;1995;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;1996;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;1997;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;1998;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;1999;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2000;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2001;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2002;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2003;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2004;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2005;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2006;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2007;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2008;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2009;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2010;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2011;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2012;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2013;Sucre, confiture, miel, chocolat et confiserie;2;0
0118;2014;Sucre, confiture, miel, chocolat et confiserie;2;0
01181;1994;Confiserie;3;1
01181;1995;Confiserie;3;1
01181;1996;Confiserie;3;1
01181;1997;Confiserie;3;1
01181;1998;Confiserie;3;1
01181;1999;Confiserie;3;1
01181;2000;Confiserie;3;1
01181;2001;Confiserie;3;1
01181;2002;Confiserie;3;1
01181;2003;Confiserie;3;1
01181;2004;Confiserie;3;1
01181;2005;Confiserie;3;1
01181;2006;Confiserie;3;1
01181;2007;Confiserie;3;1
01181;2008;Confiserie;3;1
01181;2009;Confiserie;3;1
01181;2010;Confiserie;3;1
01181;2011;Confiserie;3;1
01181;2012;Confiserie;3;1
01181;2013;Confiserie;3;1
01181;2014;Confiserie;3;1
0119;1994;Produits alimentaires non compris ailleurs;2;0
0119;1995;Produits alimentaires non compris ailleurs;2;0
0119;1996;Produits alimentaires non compris ailleurs;2;0
0119;1997;Produits alimentaires non compris ailleurs;2;0
0119;1998;Produits alimentaires non compris ailleurs;2;0
0119;1999;Produits alimentaires non compris ailleurs;2;0
0119;2000;Produits alimentaires non compris ailleurs;2;0
0119;2001;Produits alimentaires non compris ailleurs;2;0
0119;2002;Produits alimentaires non compris ailleurs;2;0
0119;2003;Produits alimentaires non compris ailleurs;2;0
0119;2004;Produits alimentaires non compris ailleurs;2;0
0119;2005;Produits alimentaires non compris ailleurs;2;0
0119;2006;Produits alimentaires non compris ailleurs;2;0
0119;2007;Produits alimentaires non compris ailleurs;2;0
0119;2008;Produits alimentaires non compris ailleurs;2;0
0119;2009;Produits alimentaires non compris ailleurs;2;0
0119;2010;Produits alimentaires non compris ailleurs;2;0
0119;2011;Produits alimentaires non compris ailleurs;2;0
0119;2012;Produits alimentaires non compris ailleurs;2;0
0119;2013;Produits alimentaires non compris ailleurs;2;0
0119;2014;Produits alimentaires non compris ailleurs;2;0
0121;1994;Café, thé et cacao;2;0
0121;1995;Café, thé et cacao;2;0
0121;1996;Café, thé et cacao;2;0
0121;1997;Café, thé et cacao;2;0
0121;1998;Café, thé et cacao;2;0
0121;1999;Café, thé et cacao;2;0
0121;2000;Café, thé et cacao;2;0
0121;2001;Café, thé et cacao;2;0
0121;2002;Café, thé et cacao;2;0
0121;2003;Café, thé et cacao;2;0
0121;2004;Café, thé et cacao;2;0
0121;2005;Café, thé et cacao;2;0
0121;2006;Café, thé et cacao;2;0
0121;2007;Café, thé et cacao;2;0
0121;2008;Café, thé et cacao;2;0
0121;2009;Café, thé et cacao;2;0
0121;2010;Café, thé et cacao;2;0
0121;2011;Café, thé et cacao;2;0
0121;2012;Café, thé et cacao;2;0
0121;2013;Café, thé et cacao;2;0
0121;2014;Café, thé et cacao;2;0
0122;1994;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;1995;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;1996;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;1997;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
