age_group_pr;precarite_energetique_depenses_tot;brde_m2_depenses_tot;froid_4_criteres_3_deciles;tee_10_3_deciles_depenses_tot
1;0.131343668246;0.0588042782368;0.0804286418501;0.0183814688052
2;0.100801420277;0.0515458848916;0.0427219104415;0.0366931861092
3;0.14273756851;0.0766181834752;0.0608444008525;0.0348932192007
4;0.132682125996;0.0643114916474;0.0552068743552;0.0493783516084
5;0.145739072077;0.0636439399306;0.0457118827104;0.0784975673176
6;0.266193531798;0.15007223524;0.0439898137598;0.152749243532
