niveau_vie_decile;precarite_energetique_depenses_tot;brde_m2_depenses_tot;froid_4_criteres_3_deciles;tee_10_3_deciles_depenses_tot
1;0.410640349201;0.164128237545;0.195854013064;0.184641883019
2;0.446995565187;0.178289704672;0.180547041827;0.255064709133
3;0.374460751028;0.123888828482;0.161719245617;0.209245163051
