;before;after
rattrapage_diesel;0.0030248105084035013;-0.00063131769887056445
taxe_carbone;0.0028717234354063799;-0.0015965257549293013
cce_2015_in_2014;0.00045983714026292605;-0.0004184068037899219
cce_2016_in_2014;0.00082738289675801321;-0.00043816810242039916
