age_group_pr;precarite_energetique_rev_disponible;brde_m2_rev_disponible;froid_4_criteres_3_deciles;tee_10_3_deciles_rev_disponible
1;0.206749300387;0.117688036325;0.0804286418501;0.0481326471962
2;0.113192251515;0.0633334844967;0.0427219104415;0.0353412468104
3;0.131744438726;0.0694213391281;0.0608444008525;0.036201787287
4;0.130225896329;0.0626741371625;0.0552068743552;0.0549689512301
5;0.13027535935;0.039040914252;0.0457118827104;0.0709302592755
6;0.154784348768;0.0104841659527;0.0439898137598;0.118497935572
