niveau_vie_decile;precarite_energetique_rev_disponible;brde_m2_rev_disponible;froid_4_criteres_3_deciles;tee_10_3_deciles_rev_disponible
1;0.647602626708;0.346511139974;0.195854013064;0.306192457085
2;0.494182005767;0.226373684089;0.180547041827;0.182766966542
3;0.277106824402;0.0;0.161719245617;0.130191677762
